taxonomy_id	name	rank	USA.74b_ERR1713399_db6.diamond	USA.74a_ERR1713398_db6.diamond	USA.74d_ERR1713401_db6.diamond	USA.74c_ERR1713400_db6.diamond	USA.74_ERR1713397_db6.diamond
206351	Neisseriales	order	1945	1939	10958	46498	9384
481	Neisseriaceae	family	7901	14835	70219	738348	49828
28197	Aliarcobacter butzleri	species	2636	726	5225	12569	6987
2191	Methanomicrobiales	order	3994	2694	1066	843	1110
314275	Alteromonas mediterranea	species	2	3	8	15	5
1936988	Saprospirales	order	13047	1631	650	249	8343
12916	Acidovorax	genus	96553	234093	517462	290647	603685
356	Hyphomicrobiales	order	28962	37989	41602	38486	235959
33024	Phascolarctobacterium	genus	27369	40807	63414	66452	50427
39948	Dialister	genus	38904	55792	182893	130791	96648
1902408	Sphingorhabdus sp.	species	23398	275	169	515	2259
82802	Trichococcus	genus	92379	129791	140411	35466	34164
2812896	Leptolyngbya sp. 7M	species	5727	565	586	525	25438
1871048	Devosia sp.	species	978	713	211	146	750
141948	Thermomonas	genus	128549	15977	15131	16197	231515
41950	Candidatus Neomicrothrix parvicella	species	1862	31	10	9	138
20	Phenylobacterium	genus	9157	7384	5473	13554	21843
633392	Iamiaceae	family	4420	1546	394	305	16599
135621	Pseudomonadaceae	family	12868	22292	28801	25352	21394
237	Flavobacterium	genus	149013	144334	179927	77888	208755
1527608	Hydromonas duriensis	species	310	2523	2202	1078	4179
2944811	Caldimonas mangrovi	species	30	12	10	13	73
2752316	Rhodoferax sp. AJA081-3	species	4171	1155	569	141	361
171	Leptospira	genus	2201	168	309	433	1625
165696	Novosphingobium	genus	17938	4838	3277	1897	45962
1191515	Ornithinibacter	genus	43793	23908	257	112	306
2782231	Kaistella	genus	4726	19524	13564	1038	4704
2293	Desulfobacter postgatei	species	165	60	33	247	75
200643	Bacteroidia	class	23979	14741	11255	13845	48261
1550733	Aquisediminimonas profunda	species	12879	276	124	200	113587
2719034	Candidatus Neomicrothrix sp.	species	15620	213	156	124	1156
85006	Micrococcales	order	28911	30650	17662	5283	15217
306	Pseudomonas sp.	species	7851	5181	3717	1967	5014
76761	Pseudomonas veronii	species	88	235	113	54	45
1839	Nocardioides	genus	1502	1831	879	1116	2464
469	Acinetobacter	genus	98977	987083	343738	230126	382442
1871053	Phenylobacterium sp.	species	5995	5194	3746	4853	11733
1564515	Phaeodactylibacter	genus	971	157	55	37	767
28196	Arcobacter	genus	40691	5174	21988	18630	39471
909930	Acidaminococcaceae	family	13377	2117	3747	6407	45346
1760	Actinomycetes	class	157847	343787	127617	65660	267157
292628	Anaerolineaceae	family	28355	6455	5380	2216	10627
1971895	Thermomonas sp.	species	94100	3160	6043	3049	22538
2633022	unclassified Leptotrichia	no rank	983	1353	6013	4633	5459
239759	Alistipes	genus	13932	17433	21371	13640	14397
1434046	Sphingorhabdus	genus	44192	525	364	1550	2647
777	Coxiella burnetii	species	102	38	39	51	261
32033	Lysobacteraceae	family	107326	20293	29514	46717	243616
2511025	Glacieibacterium arshaanense	species	15509	1126	235	62	1559
768507	Cytophagales	order	36614	23092	2416	1708	20662
3436058	Pseudolactococcus	genus	46353	282419	783400	5267	110544
1870988	Pseudoflavonifractor phocaeensis	species	82	202	267	239	922
1524097	Massilia glaciei	species	47	18	17	11	72
49546	Flavobacteriaceae	family	51281	33514	39805	20962	56526
848	Fusobacterium	genus	1426	1700	7035	9097	6395
1874826	Novosphingobium sp.	species	8281	2234	947	700	50049
543	Enterobacteriaceae	family	21007	24729	118532	65135	35193
203491	Fusobacteriales	order	9202	10618	54151	32728	48122
2699834	Thermovirga sp.	species	340	82	10	52	16
1678840	Flexilinea flocculi	species	1727	462	488	392	17114
2897176	Aquaspirillaceae	family	1160	593	3272	3211	11831
2024851	Planktomarina sp.	species	115	55	144	131	319
468	Moraxellaceae	family	21567	88010	66200	100583	269639
1783272	Bacillati	kingdom	74780	112044	179220	132979	302277
28216	Betaproteobacteria	class	148267	107242	162690	294395	367911
1843490	Sporomusaceae	family	29906	1961	47428	17984	33849
203557	Verrucomicrobiaceae	family	51746	5428	1181	3796	36857
186826	Lactobacillales	order	23742	82016	260080	71520	46803
32068	Sebaldella	genus	5484	6345	33423	225393	57796
171549	Bacteroidales	order	73675	171475	177171	155447	335356
1648491	Aquihabitans	genus	7522	2156	541	431	20476
252130	Uruburuella suis	species	9278	14433	90447	632655	56499
1005039	Fimbriimonas ginsengisoli	species	1172	134	145	174	5089
224756	Methanomicrobia	class	1696	754	1150	1794	2145
544645	Butyricimonas virosa	species	49	48	76	107	438
1658518	Nitrospira sp. ND1	species	10847	95	68	36	5365
1184151	Termitidicoccus mucosus	species	247	40	36	149	168
1813946	Acidovorax sp. GW101-3H11	species	68	234	339	68	221
39485	Lachnospira eligens	species	1134	2839	5273	7964	8626
216572	Oscillospiraceae	family	13370	78627	111406	73753	107168
2109915	Simplicispira suum	species	9055	7306	369	166	313
45657	Desulfonema ishimotonii	species	132	24	23	163	76
1239	Bacillota	phylum	174704	327967	617731	639308	799371
2808963	Arcobacteraceae	family	69784	14715	109772	279860	157835
204457	Sphingomonadales	order	85872	33774	29149	27593	182742
99656	[Clostridium] fimetarium	species	500	130	259	145	3662
200940	Thermodesulfobacteriota	phylum	21019	6600	7971	39067	10602
201174	Actinomycetota	phylum	26858	17199	13577	9458	136746
3031852	Epsilonproteobacteria	class	2636	697	3591	10185	6823
360412	Longilinea arvoryzae	species	2819	432	3566	291	905
286	Pseudomonas	genus	31924	256127	140717	60193	34680
105	Runella	genus	9064	403	188	58	509
2912054	Stella sp.	species	1318	3	5	8	86
84647	Candidatus Odyssella thessalonicensis	species	285	37	80	153	391
669	Vibrio harveyi	species	205	570	610	520	714
451457	Pseudolactococcus chungangensis	species	4426	5242	29712	486	3568
165435	uncultured Flavobacterium sp.	species	761	856	1802	3418	3087
49	Polyangiaceae	family	2377	151	158	112	10594
134625	Kiritimatiellota	phylum	9022	976	390	1133	300
445219	Reyranella	genus	17969	1216	2192	6313	28609
1852019	Flavobacterium solisilvae	species	727	190	253	1222	665
649777	Synergistaceae	family	28065	7641	9765	39521	17372
990	Breznakibacter xylanolyticus	species	322	164	257	1198	737
857335	Candidatus Dactylopiibacterium carminicum	species	16	9	37	128	70
1904254	Hydrogenophaga sp.	species	2674	2199	2507	1318	2840
48463	Prosthecobacter	genus	24639	4086	446	1180	8747
826	Sebaldella termitidis	species	2167	2676	14821	156481	38917
649776	Synergistales	order	33219	4071	4733	23445	5435
41949	Candidatus Neomicrothrix	genus	33781	424	190	184	1352
204455	Rhodobacterales	order	32493	43660	29389	14748	62557
33983	Luteococcus	genus	2738	2033	9172	67	4708
1965321	Methyloceanibacter sp.	species	125	58	39	43	2142
213115	Desulfovibrionales	order	1645	621	4497	23323	4699
2818505	Myxococcota	phylum	7382	545	546	339	23284
75787	Rhodocyclaceae	family	2009	1027	2407	8272	7639
359407	Methylotenera	genus	10819	291	332	192	121686
1986204	Candidatus Brevifilum fermentans	species	6581	48296	1359	452	827
1872635	Arenimonas sp.	species	1340	176	182	336	1546
53	Nannocystis	genus	2955	308	164	157	13459
2315688	Simplicispira hankyongi	species	2186	4726	191	74	146
795748	Ignavibacteriales	order	846	203	311	277	384
2970925	Sphingobium sp. JS3065	species	108	14	14	8	117
2316020	Mediterraneibacter	genus	1580	9019	25666	38578	8964
1235591	Pseudorhodoplanes sinuspersici	species	42	17	33	28	569
169669	Pseudomonas extremorientalis	species	14	21	14	20	11
49181	Zoogloea sp.	species	11170	2592	5346	2834	10286
84993	Acidimicrobiales	order	11804	3649	1014	642	28221
2644732	unclassified Novosphingobium	no rank	10139	1227	1182	495	10626
2810280	Coprobacillaceae	family	1502	8293	23169	25729	10693
3230487	Luteolibacter sp. Populi	species	176	61	22	30	81
2782232	Chryseobacterium group	no rank	17532	57508	49382	14122	45714
2004800	Luteitalea sp.	species	5826	116	81	162	1582
760260	Oligosphaera ethanolica	species	4824	1353	679	529	372
2591109	Casimicrobium huifangae	species	20730	337	378	260	16783
1427172	Aminivibrio	genus	33119	2099	1424	10097	781
119060	Burkholderiaceae	family	7281	49229	46976	13248	45664
1937960	Lewinellaceae	family	860	118	38	24	681
186802	Eubacteriales	order	37935	249314	261271	272913	259654
2782229	Epilithonimonas	genus	1046	3564	5273	1317	10584
1907725	Limnohabitans sp.	species	569	492	690	534	878
134623	Opitutaceae	family	4614	538	905	3030	4155
99479	Nostocoides	genus	4546	1182	348	180	390
2207	Methanosarcina	genus	868	106	398	180	2048
2805397	Daejeonella sp.	species	3885	176	193	85	332
52972	Polaromonas	genus	16286	17409	7581	624	2140
940149	Dongia rigui	species	171	13	35	55	1164
2919601	Vitreimonas	genus	1050	9	11	46	1649
549	Pantoea agglomerans	species	43	50	59	43	59
28198	Aliarcobacter cryaerophilus	species	2506	891	10641	32832	9083
508460	Cloacibacillus evryensis	species	492	242	608	1882	1026
36849	Oxobacter pfennigii	species	72	30	43	81	154
3085775	Priestia sp. SIMBA_032	species	872	1700	2272	1963	2224
29510	Turneriella parva	species	5065	164	316	158	18725
185300	Paludibacter propionicigenes	species	3086	1792	4868	1661	36658
2049022	Catenibacterium sp.	species	1373	4178	9236	11957	10014
2640670	unclassified Phenylobacterium	no rank	2401	3542	2695	3559	7332
1030	Thiothrix	genus	12351	1053	1442	29182	6988
2624949	unclassified Gemella	no rank	8	6	15	22	31
106	Runella slithyformis	species	210	48	10	15	38
1443919	Tabrizicola	genus	2224	1874	1132	759	1246
872	Desulfovibrio	genus	24185	6152	50669	273233	87752
1463158	Thermomonas carbonis	species	3461	173	150	129	563
1872489	Aminivibrio sp.	species	9588	499	557	2183	340
330834	Nostocoides jenkinsii	species	2980	129	137	11	238
3018035	Bdellovibrionota	phylum	767	226	390	325	1317
2750657	Pontiella	genus	5602	563	240	721	265
3242472	Pelosinus sp. sgz500959	species	4413	390	1717	416	691
363846	Dokdonella ginsengisoli	species	32	52	51	50	192
1970189	Marinilabiliales	order	3767	2890	948	1793	2826
141693	Nocardiopsis kunsanensis	species	2	0	0	0	1
622664	Ornithinibacter aureus	species	11056	5738	92	46	111
1350	Enterococcus	genus	6835	28085	33300	12755	19879
1960881	Runella sp.	species	3728	118	52	50	301
2321111	Aliarcobacter	genus	11014	4739	60650	211450	57182
3141190	Dialister sp. i34-0019-2H8	species	5035	3199	16951	10356	6379
2508720	Oleiharenicola lentus	species	416	56	51	94	402
219574	Pseudomonas proteolytica	species	115	151	106	132	3234
85	Hyphomonas	genus	2831	34	33	171	1047
186803	Lachnospiraceae	family	18520	98152	198598	174504	148798
1965333	Prosthecobacter sp.	species	27821	3323	483	943	12714
335928	Xanthobacteraceae	family	96	399	420	494	1065
191863	Chthoniobacter flavus	species	960	151	56	84	1191
263370	Peredibacter	genus	395	1493	1761	608	1116
154046	Hungatella hathewayi	species	62	212	453	649	518
47054	Dethiosulfovibrio	genus	430	41	58	280	52
398037	Segetibacter koreensis	species	91	41	8	4	49
2005166	Tabrizicola sp.	species	3499	7619	1845	599	3748
34062	Faucicola osloensis	species	885	5285	6251	6149	33025
245	Flavobacterium aquatile	species	98	77	59	109	141
864	Pectinatus	genus	645	284	1889	3190	3235
239	Flavobacterium sp.	species	32405	16908	23555	15141	31032
292629	Anaerolineales	order	12010	2560	2059	928	4190
1903412	Hafniaceae	family	139	113	439	109	129
171550	Rikenellaceae	family	1519	1585	2029	3196	3672
33035	Blautia producta	species	62	67	166	147	399
2638319	unclassified Polaromonas	no rank	5406	5012	2243	330	950
2862748	Ornithinibacter sp.	species	15689	8654	169	64	143
135614	Lysobacterales	order	29402	5491	7847	10309	64305
2804314	Desulfovibrio sp. UIB00	species	86	6	126	905	258
207244	Anaerostipes	genus	1317	17209	30459	36959	13181
55	Polyangium	genus	1671	86	133	63	11118
50421	Rhodoferax sp.	species	6315	3378	3418	1795	3183
2320850	Mycolicibacterium sp.	species	204	136	184	230	1922
2002775	Tepidimonas sp.	species	41	72	227	184	349
3416354	Candidatus Pollutiaquabacter sp.	species	6884	713	232	150	7652
2993316	Thermomonas mangrovi	species	1311	58	55	147	1880
1783270	FCB group	clade	6875	3728	2360	2115	11255
3391832	Horticoccus sp. 23ND18S-11	species	1404	86	103	121	1124
2528018	Saltatorellus ferox	species	407	24	9	24	769
10	Cellvibrio	genus	1055	396	1219	584	1269
2633299	unclassified Ihubacter	no rank	19	35	36	23	169
2268138	Pricia sp.	species	93	3	1	1	2
200644	Flavobacteriales	order	40641	66092	103116	128679	237147
56455	Xanthomonas hyacinthi	species	7	6	3	10	25
1929293	Ideonella sp.	species	312	95	107	58	412
2862869	Horticoccus luteus	species	293	35	29	78	156
2684926	unclassified Acidovorax	no rank	36149	60588	88584	14328	40582
145357	Dermacoccaceae	family	63	78	72	22	80
32	Myxococcus	genus	163	24	25	31	428
2807512	Humisphaera borealis	species	587	79	66	84	788
1766253	Agathobacter	genus	7556	26003	97543	79955	21608
2984131	Thiovibrio frasassiensis	species	44	21	10	40	21
327159	Candidatus Accumulibacter	genus	10484	419	748	1244	3715
85023	Microbacteriaceae	family	6568	42814	8562	5261	14411
116071	Micropruina	genus	10262	2326	2465	1811	4100
95818	Candidatus Saccharimonadota	phylum	5594	2467	8047	6760	14277
33057	Thauera	genus	6830	1310	2959	29419	2708
1004301	Flavihumibacter	genus	717	510	312	1187	1319
1234	Nitrospira	genus	17027	508	441	316	107011
1176535	Lysobacter hankyongensis	species	5282	1210	1565	437	1717
1004303	Ferruginibacter	genus	9926	5198	372	216	8699
125614	Thiolinea disciformis	species	6148	25	30	556	140
1783257	PVC group	clade	37107	5058	1845	4357	29633
82803	Trichococcus flocculiformis	species	2717	4060	4170	1090	1327
2026885	Candidatus Bipolaricaulis anaerobius	species	56	13	77	11	17
3120395	Acetobacterales	order	7934	6059	5161	4326	16140
229920	Leptolinea tardivitalis	species	1278	224	398	208	579
2160	Methanobacterium	genus	688	520	10176	1067	5874
42353	Nitrosomonas sp.	species	582	108	120	281	2968
29465	Veillonella	genus	12855	6623	46894	25571	23984
1982626	Faecalibacillus intestinalis	species	498	2016	4092	6033	3794
1129771	Leptotrichiaceae	family	32664	39708	192146	107792	171613
3388566	Candidatus Nanosalina sp. VS9-1	species	13	3	0	0	6
41275	Brevundimonas	genus	5986	9969	18193	28824	47599
83618	Pseudoxanthomonas	genus	8352	6484	9196	37875	48786
349	Zoogloea	genus	8725	5231	10934	4714	32375
2291710	Dokdonella sp.	species	16691	2141	3112	2651	6740
2067065	Aquella oligotrophica	species	835	26	78	63	222
642	Aeromonas	genus	22896	4763	33830	25687	21237
2422	Fervidobacterium	genus	341	20	291	230	57
816	Bacteroides	genus	17142	24438	62236	66195	52732
909932	Negativicutes	class	43528	10960	34276	68179	107006
171552	Prevotellaceae	family	38130	130864	107411	41767	172155
39491	Agathobacter rectalis	species	925	3562	10692	9482	3120
2051956	Methylotenera sp.	species	4003	108	187	185	29571
83766	Propionivibrio	genus	6762	3326	7655	25328	25585
1849015	Arcobacter acticola	species	14770	436	627	2004	920
290731	Aminiphilus	genus	3257	117	127	1716	83
2849779	Aquihabitans sp. G128	species	1629	430	140	109	8502
2222	Methanothrix	genus	7060	2110	7676	19574	11908
1955812	Castellaniella sp.	species	144	162	184	217	226
2738446	Anaerostipes faecalis	species	4	7	17	14	16
213849	Campylobacterales	order	15508	3204	20506	49037	32642
1689272	Vitreoscilla massiliensis	species	4530	24548	88304	41321	50282
2762318	Weeksellaceae	family	18695	40716	72658	85676	165157
3132265	Bacillus sp. 1P10SD	species	2	1	0	0	1
84642	Aeromonadaceae	family	1809	348	2367	4574	3646
76831	Myroides	genus	81	79	363	85	191
2957809	Sebaldella sp. S0638	species	485	591	3201	19274	4726
416	Methylomonas	genus	163	66	86	172	339
1736528	Rhizobacter sp. Root404	species	1429	335	189	16	358
666505	Phycisphaerae	class	357	51	33	107	788
1146845	Dongia	genus	2234	116	151	620	37346
376150	Paraliomyxa miuraensis	species	2263	31	47	40	8366
80882	Simplicispira psychrophila	species	2154	924	1480	321	593
3377529	Fidelibacter multiformis	species	215	642	61	45	122
286142	uncultured Catenibacterium sp.	species	571	1159	2362	5541	4155
2056	Sphaerobacter	genus	62	36	13	17	202
85021	Intrasporangiaceae	family	39617	23670	1563	641	2066
2527968	Aureliella helgolandensis	species	373	24	28	46	819
48461	Verrucomicrobiales	order	3548	1561	1023	1489	2332
1204385	Litorilinea aerophila	species	1747	88	684	134	6794
1365	Pseudolactococcus plantarum	species	874	3851	24884	91	6778
1550073	Sphingomonas sp. 37zxx	species	8	1	0	2	34
3036359	Aurantibacillus circumpalustris	species	4383	401	1482	161	4041
375288	Parabacteroides	genus	4883	5376	16126	18784	14441
213483	Pseudobdellovibrionaceae	family	2787	639	1177	914	4751
2801844	Arachnia	genus	160	40	58	68	60
472	Acinetobacter sp.	species	1577	3027	2081	1683	3090
1052257	Aquihabitans daechungensis	species	3499	1355	258	173	4307
204475	Gemmiger	genus	2650	20461	30369	45957	16929
1934947	Immundisolibacter	genus	773	11	8	45	76
76008	Fusibacter	genus	446	212	290	1028	259
1827	Rhodococcus	genus	455	370035	590	378	1050
445	Legionella	genus	1736	285	351	998	2307
2053492	Accumulibacter sp.	species	4795	720	1316	3441	7772
2219161	Putridiphycobacter roseus	species	129	32	9	6	62
456827	Candidatus Cloacimonas acidaminovorans	species	23353	24311	4830	406	420
3071705	Polaromonas sp. CG_9.5	species	7506	8639	3128	202	594
2202	Methanospirillum	genus	1786	532	917	3986	1731
46254	Oenococcus	genus	33	8	82	7	7
92713	Parachlamydiaceae	family	385	62	62	399	437
2676247	Aquirufa	genus	170	27	46	33	223
2021234	Ahniella affigens	species	901	40	32	36	1323
70799	Nodularia spumigena	species	206	12	19	122	977
1706372	Halieaceae	family	1930	37	45	92	2251
3140364	Roseomonas sp. CAU 1739	species	87	134	134	53	340
622671	Desulfobotulus alkaliphilus	species	60	21	9	12	11
1940610	Phreatobacter stygius	species	8	11	13	7	59
265	Paracoccus	genus	2729	12285	21368	17714	49091
72273	Thiotrichales	order	7940	206	426	14206	2665
92487	Thiothrix eikelboomii	species	2468	20	22	400	127
186828	Carnobacteriaceae	family	9298	13303	21679	4495	3806
80816	Haliangium ochraceum	species	690	21	22	30	2612
84567	Pedobacter	genus	1163	3131	3841	686	4032
2650926	Aestuariivirga sp.	species	7494	734	199	350	9646
712359	Leptotrichia sp. oral taxon 215	species	217	275	1287	1090	1399
2908004	Terrimonas ginsenosidimutans	species	459	76	36	29	273
1898957	Gemmobacter sp.	species	161	916	390	278	351
1940281	Hoeflea sp.	species	52	28	24	23	119
1485	Clostridium	genus	10354	8375	38099	19560	43133
40323	Stenotrophomonas	genus	2959	5087	10594	11251	26565
31957	Propionibacteriaceae	family	22228	8061	17929	4685	22833
1843491	Selenomonadaceae	family	9146	4730	8192	13747	32943
1759059	Candidatus Viadribacter manganicus	species	2418	33	35	39	18182
153232	Oceanicaulis	genus	17	2	2	3	27
506	Alcaligenaceae	family	4433	2626	6854	3849	4494
2518605	Segatella hominis	species	286	1215	1784	855	1978
156973	Dysgonomonas	genus	1767	860	6067	12594	11668
194924	Desulfovibrionaceae	family	6918	2050	15755	75149	20229
91604	Candidatus Odyssella acanthamoebae	species	476	37	69	210	374
346096	Paludibacter	genus	1958	1190	2384	1382	15328
2774145	Pseudomarimonas arenosa	species	170	2	13	11	185
2039240	Anaerotignum	genus	218	550	934	473	1070
46429	Sphingobium chlorophenolicum	species	13	12	8	11	29
1706369	Cellvibrionales	order	831	51	129	89	693
2974251	Segatella	genus	3886	16984	30543	11287	15569
186831	Acetoanaerobium	genus	4310	2587	30213	520675	3205
84566	Sphingobacteriaceae	family	3732	2653	3283	1693	6271
2978348	Ferruginibacter sp. SUN106	species	4786	907	123	55	6425
35833	Bilophila wadsworthia	species	488	377	1333	3828	938
2795779	Rosistilla	genus	78	9	7	12	144
1853230	Crocinitomicaceae	family	767	367	305	74	395
1366	Pseudolactococcus raffinolactis	species	9963	96873	237379	1310	33189
815	Bacteroidaceae	family	18995	45589	91299	67348	57434
44249	Paenibacillus	genus	2848	1401	2478	2252	5418
296051	Terrimonas	genus	2227	377	163	67	1221
1565605	Rugosibacter aromaticivorans	species	4663	50	44	57	5305
2782351	Chryseosolibacter indicus	species	153	46	11	10	122
3031712	Polyangiales	order	840	67	72	28	2135
838	Prevotella	genus	1016	1365	3126	1089	5363
1246981	Tolypothrix bouteillei	species	1093	2349	2649	2573	2516
203683	Planctomycetia	class	14620	2765	1403	2760	71568
181663	Desulfosudis oleivorans	species	349	146	48	82	97
2989684	Fontivita pretiosa	species	834	106	91	145	1218
547	Enterobacter	genus	1864	1923	3378	6001	4774
28065	Rhodoferax	genus	6234	7120	5142	667	2391
233191	Caldilinea	genus	2095	120	332	245	3939
2709660	Flavobacterium lotistagni	species	321	111	9	17	83
196821	unclassified Pseudomonas	no rank	1112	6094	1942	949	1152
2630407	unclassified Simplicispira	no rank	3125	2834	2650	333	1025
117506	Comamonas denitrificans	species	3859	5742	21143	64137	16223
244582	Candidatus Paracaedibacter symbiosus	species	659	133	242	517	1798
28219	Brachymonas	genus	846	972	3272	13917	8004
3141702	Leadbetterellaceae	family	2030	141	275	62	358
165179	Segatella copri	species	2414	48160	18844	8129	14065
229919	Anaerolinea thermolimosa	species	1020	190	126	74	321
59732	Chryseobacterium	genus	2929	9852	12286	7351	22322
913107	Pelolinea submarina	species	1338	397	289	476	826
2721559	Pseudoalteromonas sp. HF66	species	1	0	0	0	0
47500	Aneurinibacillus migulanus	species	11	6	9	4	144
1471398	Prolixibacteraceae	family	6541	8707	1572	1255	3974
591373	Paracholeplasma manati	species	1466	1025	1113	865	1338
2212460	Propionivibrio sp.	species	9538	3936	9378	48287	29626
879969	Macellibacteroides fermentans	species	5281	2839	3778	27145	15303
2094020	Trichococcus shcherbakoviae	species	1272	2126	2025	351	385
574963	Wandonia haliotis	species	113	34	29	19	67
2715735	Candidatus Chazhemtobacterium aquaticus	species	2775	324	434	116	728
2093818	Candidatus Saccharimonadia	class	630	291	607	546	1250
2737536	Micropruina sp.	species	3550	2306	3013	2101	4305
1476464	Pedobacter xixiisoli	species	20	1	8	6	20
1484693	Rhodoferax saidenbachensis	species	238	347	238	122	383
1962667	Nannocystis sp.	species	4447	256	132	83	8345
453161	Candidatus Nitrotoga	genus	2001	14	23	23	141
218538	Dialister invisus	species	3753	5318	18492	12529	10135
342448	Pelotomaculum isophthalicicum	species	104	24	21	26	43
31977	Veillonellaceae	family	4231	4373	17273	11526	18367
1898956	Ottowia sp.	species	9610	68372	41340	27799	69859
2480087	Rhodopila sp.	species	161	50	23	51	450
136849	Pseudomonas syringae group	species group	25	171	98	52	50
190972	Sedimentibacter	genus	4785	3132	600	464	556
3014562	Polluticaenibacter yanchengensis	species	390	33	31	13	114
115860	unclassified Rheinheimera	no rank	17	9	41	87	20
2448023	Ilumatobacteraceae	family	2135	83	204	33	1632
574697	Butyricimonas	genus	474	922	1224	880	822
1647173	Acetobacteroides	genus	94	45	137	3449	3269
1918511	Frisingicoccus	genus	51	72	313	190	238
2593015	Candidatus Syntrophosphaera thermopropionivorans	species	14842	4228	1331	226	195
185243	Propionicimonas paludicola	species	202	277	244	62	613
90728	Desulfatiglans anilini	species	522	109	52	113	130
45989	Methanoculleus	genus	1335	4111	925	152	151
1159323	Macellibacteroides	genus	1099	589	779	5563	3227
1396141	Haloferula sp. BvORR071	species	218	83	67	75	185
172900	Victivallis	genus	2336	516	552	739	731
2010995	Salibacter sp.	species	15	5	4	4	19
1155385	Proteiniclasticum	genus	924	739	1842	2692	993
43773	Syntrophus	genus	10062	3196	1298	393	484
1300	Streptococcaceae	family	10220	63175	207124	25657	28123
2760872	Tenuifilaceae	family	1134	435	84	386	314
81463	Anaeromusa	genus	5103	143	9728	2353	4877
2824118	Ideonella alba	species	63	44	30	10	201
498	Psychrobacter immobilis	species	172	140	81	149	281
526525	Erysipelotrichales	order	641	2800	6838	7698	7166
1458463	Butyrivibrio sp. AE2032	species	2004	302	278	336	3805
482	Neisseria	genus	714	1240	3228	151925	3855
3238481	Minisyncoccus archaeiphilus	species	1984	371	491	130	840
2741673	Tabrizicola sp. SY72	species	3220	412	605	120	495
136	Spirochaetales	order	2282	3227	1037	1691	3758
1915315	Thioclava sp. F28-4	species	1	2	0	0	0
665874	Limnohabitans	genus	780	126	262	212	440
342942	Mediterraneibacter glycyrrhizinilyticus	species	57	295	637	630	550
3387407	Leptospira sp. 'Mane'	species	9	0	2	1	10
68	Lysobacter	genus	4580	1316	1592	5611	2631
41294	Nitrobacteraceae	family	6216	9756	4139	2459	58669
39488	Anaerobutyricum hallii	species	449	4549	5592	3625	3988
3108223	Benzoatithermus flavus	species	700	42	71	133	11863
2349	Haliscomenobacter	genus	5206	128	50	39	984
1181271	Endobacter medicaginis	species	13	28	63	16	212
1640674	Williamwhitmania taraxaci	species	758	408	697	1011	2034
165695	Sphingobium	genus	7252	2016	989	1378	5601
885	Desulfovibrio sp.	species	2366	490	5328	28150	9922
490567	Arenimonas	genus	4565	452	418	379	1097
1882749	Opitutus sp. GAS368	species	743	41	51	33	720
2746961	Streptomyces caniscabiei	species	1552	696	1344	871	2743
1506599	uncultured Agitococcus sp.	species	1286	484	364	1833	6193
392610	Sphingorhabdus lacus	species	8595	20	9	23	58
1649169	Taibaiella soli	species	174	105	67	18	140
