taxonomy_id	name	rank	LVA.31_ERR1713373_db6.diamond	MDA.65_ERR1713374_db6.diamond	MLT.63_ERR1713376_db6.diamond	MKD.62_ERR1713375_db6.diamond	KAZ.6_ERR1713368_db6.diamond	KEN.72_ERR1713369_db6.diamond	KHM.21_ERR1713370_db6.diamond	LUX.32_ERR1713372_db6.diamond	LKA.40_ERR1713371_db6.diamond	ITA.30_ERR1713367_db6.diamond
261299	Intestinibacter bartlettii	species	2927	2857	3872	5476	5542	4400	5329	4136	1676	1649
898	Desulfomicrobium	genus	2661	3044	6487	2844	3632	1074	2481	5517	190	7071
35832	Bilophila	genus	2326	2337	16902	5224	3536	3556	17142	12389	1691	1661
1852363	Beduinella massiliensis	species	1381	1566	1579	2052	1588	7485	2489	3646	468	1589
141948	Thermomonas	genus	18958	18531	8599	15200	24214	32349	60008	60108	9817	59697
1155385	Proteiniclasticum	genus	3722	11264	1456	4922	6145	5549	1683	1425	114	2677
142586	Eubacterium sp.	species	407	570	314	903	702	867	551	927	270	537
1300	Streptococcaceae	family	8925	17755	998	8661	79501	26515	1012	13720	8057	7902
128827	Erysipelotrichaceae	family	2501	6087	3112	1457	4109	10276	4800	2362	1255	2870
3385906	Roseomonadaceae	family	610	623	344	513	834	1074	4981	2058	509	1289
526525	Erysipelotrichales	order	2707	2822	1409	2107	2876	10580	5197	3155	1839	1275
69823	Selenomonas sputigena	species	48	77	54	26	49	162	410	44	124	34
2375	Sporomusa	genus	857	620	1383	1322	1310	4087	26107	639	1160	1614
826	Sebaldella termitidis	species	10334	25288	60660	13449	21671	39249	1884	9224	918	9897
1783270	FCB group	clade	1662	1869	3826	2668	5889	4438	17304	3841	1149	19937
357276	Phocaeicola dorei	species	239	146	668	434	466	228	164	1265	255	488
2562311	Roseomonas sp. AR75	species	9	7	1	2	6	12	30	5	6	32
451457	Pseudolactococcus chungangensis	species	1317	677	81	950	12064	1166	71	657	176	743
239745	uncultured Desulfobulbus sp.	species	35169	34248	73386	26350	49892	76032	231861	24874	4048	34276
69824	Thomasclavelia cocleata	species	434	589	504	797	615	992	341	615	225	430
2005166	Tabrizicola sp.	species	574	730	375	467	857	360	282	3703	129	9127
2207	Methanosarcina	genus	881	116	216	240	1797	2836	1790	493	201	488
1783272	Bacillati	kingdom	56916	78008	64281	87774	119187	213883	296509	119349	48780	112736
3376063	Roseovarius salis	species	2	1	0	1	2	0	7	3	0	2
2782229	Epilithonimonas	genus	12404	7637	1230	11487	20980	13828	498	13135	3270	12486
3400919	Variovorax sp. VNK109	species	24	28	10	120	62	52	26	601	6	362
375288	Parabacteroides	genus	9073	8444	133138	14824	18177	7583	8762	70408	8417	18348
853	Faecalibacterium prausnitzii	species	5597	4948	3239	12276	4730	7629	1292	19836	1030	2473
31957	Propionibacteriaceae	family	4557	5897	631	3156	13734	27632	11736	7770	4792	4253
186831	Acetoanaerobium	genus	13913	18709	2882	17165	17692	69825	35966	6819	1349	22174
904	Acidaminococcus	genus	1323	2754	3212	1645	1613	6325	7917	2729	2027	2647
79681	Tissierella creatinophila	species	88	70	208	70	79	426	59	181	9	54
91347	Enterobacterales	order	11745	18129	85739	10813	33561	43332	28075	33128	1326802	15977
29523	Bacteroides sp.	species	1658	1153	3572	3753	3473	2369	3645	2605	1000	3421
1348	Streptococcus parauberis	species	88	101	10	23	1040	325	30	122	31	50
28219	Brachymonas	genus	4140	6095	15147	4299	16782	117617	14802	4335	3965	12739
848	Fusobacterium	genus	2223	3760	82546	4725	5651	4680	4281	2648	1276	2208
3382695	Solilutibacter	genus	1718	520	1240	880	1419	5041	11086	5328	1587	989
86331	Mogibacterium	genus	513	446	587	206	406	2337	2439	358	107	173
79328	Chitinophaga	genus	215	259	307	214	1120	710	1420	480	181	4232
259357	unclassified Alcaligenes	no rank	3	2	89	10	5	23	53	22	13	9
1917873	Pygmaiobacter massiliensis	species	234	115	262	306	260	938	846	133	165	392
485888	Pseudomonas vlassakiae	species	4	5	3	5	5	4	2	6	8	5
2630407	unclassified Simplicispira	no rank	771	1458	308	1852	3490	1196	82	11844	157	19225
119977	Acidithiobacillus	genus	526	171	165	161	837	189	310	433	410	399
481	Neisseriaceae	family	45261	114571	275070	69794	93318	363031	3913	120377	11436	72035
1230389	Reyranella soli	species	9	10	19	10	11	21	139	101	4	100
206389	Rhodocyclales	order	6516	7855	17517	18758	28903	32284	9365	27842	4636	70061
84998	Coriobacteriia	class	4050	7107	4894	6348	5969	25323	41522	6564	5395	3213
218538	Dialister invisus	species	6301	9491	4932	16567	7945	9019	1208	13857	810	2903
644	Aeromonas hydrophila	species	183	162	1560	299	780	307	180	478	200	770
41949	Candidatus Neomicrothrix	genus	503	189	140	256	270	282	255	561	361	268258
165697	Sphingopyxis	genus	8633	16987	9865	10026	9509	8481	17901	77951	3634	17651
206351	Neisseriales	order	3192	10146	18403	7033	10194	22648	1039	10648	1024	9926
2591381	Dysosmobacter	genus	1003	1899	347	1595	1576	1745	357	4891	220	1225
1335613	Gordonibacter urolithinfaciens	species	24	35	59	69	44	89	94	60	17	36
328412	Pseudaeromonas sharmana	species	2312	498	19834	2185	7179	2022	516	2224	4774	5554
841	Roseburia	genus	3828	12208	3386	19324	5660	29971	1171	28206	1820	4456
2853160	Streptococcus vulneris	species	46	74	6	64	151	52	14	68	29	21
128785	Pseudoxanthomonas mexicana	species	1889	2987	736	1828	3168	702	357	2898	235	3050
2957809	Sebaldella sp. S0638	species	1837	5939	12240	4092	6044	11589	412	2621	211	2232
1159323	Macellibacteroides	genus	4278	7271	14619	7482	19826	5758	1839	1294	287	28287
394935	Chromobacterium haemolyticum	species	15	25	90	58	97	67	31	151	12	124
84642	Aeromonadaceae	family	2895	1430	28778	3166	12663	3240	1121	3672	8487	9490
40214	Acinetobacter johnsonii	species	1995	92870	28781	13590	21268	7084	6960	21979	3395	31604
203492	Fusobacteriaceae	family	1095	2739	11047	4219	3809	1532	1276	1889	171	2236
57665	Sulfurospirillum	genus	5461	7820	3400	7118	26499	14010	7595	4870	1172	6307
2041042	Chiayiivirga sp.	species	988	692	60	478	499	275	148	1535	144	25530
633	Yersinia pseudotuberculosis	species	7	20	27	8	12	23	10	21	41	19
78120	Succinispira mobilis	species	3773	1844	57255	3113	3433	20759	85350	2676	840	2678
1872578	Aquabacterium sp.	species	836	1705	1305	5127	3368	3431	1299	14341	409	25631
158846	Megamonas	genus	2441	5705	3946	7492	6978	10463	49516	7476	4115	2128
219182	Ottowia thiooxydans	species	234	605	333	1111	998	719	150	7344	106	1757
2135633	Acidovorax sp. 94	species	130	200	15	304	426	250	11	730	29	545
86661	Bacillus cereus group	species group	73	119	95	176	379	205	415	148	37	195
3439066	Leucobacter sp. Z1108	species	7	30	9	19	61	25	44	128	2	49
135621	Pseudomonadaceae	family	25106	42531	262363	27788	62040	43553	7951	54492	922118	78886
1981982	Aerococcus sp. 1KP-2016	species	70	73	7	63	136	17	12	72	2	7
1870990	Paenibacillus bouchesdurhonensis	species	340	580	234	397	1103	649	999	650	453	339
207745	Variovorax sp. WDL1	species	12	17	41	19	32	52	4	82	1	52
1965304	Intestinibacter sp.	species	1742	1327	3687	5354	3832	3693	9280	2663	1308	1765
2049021	Butyricicoccus sp.	species	756	968	552	1216	776	2815	552	2626	205	652
237258	Cloacibacterium normanense	species	2841	6534	8790	2825	55721	17950	625	1100	1567	15283
59734	Empedobacter	genus	1063	20706	15039	4972	60933	16415	533	6540	1055	17566
2737536	Micropruina sp.	species	1377	973	196	668	1341	2054	925	6440	556	724
80878	Acidovorax temperans	species	6061	32817	5395	28371	123206	99224	949	54816	2402	103602
164400	Thauera phenylacetica	species	448	364	1081	699	856	249	103	1343	32	2058
1926877	Proteiniphilum sp.	species	285	193	2230	189	545	778	223	161	124	658
59	Vitreoscilla	genus	4713	31351	11874	15003	27743	14711	487	45999	594	21615
3085636	Lachnospirales	order	645	583	1044	1279	870	2499	1448	1312	335	1016
83614	Luteimonas	genus	3055	2560	15989	2288	2515	10630	8511	7290	1475	2807
872	Desulfovibrio	genus	14896	12232	81548	12045	28168	103947	757972	20007	79462	15673
1905344	Ruthenibacterium	genus	1824	1692	7309	5736	2728	6703	3247	4856	809	1839
33025	Phascolarctobacterium faecium	species	1108	2243	3251	3081	2243	4847	6769	4024	580	1296
185294	Segatella paludivivens	species	1855	1337	548	1082	2544	2544	263	1254	324	1379
885	Desulfovibrio sp.	species	1345	972	6271	1211	3001	10712	96638	1404	10700	1693
1983755	Sphingobium sp. LB126	species	4	1	1	1	0	2	4	20	2	10
2975441	Sphaerotilaceae	family	871	1128	501	1541	2775	8099	979	8543	548	23479
75385	Micropruina glycogenica	species	1769	1732	350	1391	1772	3328	1068	3856	1146	1331
266128	Stenotrophomonas koreensis	species	1639	6267	12051	2328	1010	2717	195	1557	144	2533
1385	Bacillales	order	4124	7194	5657	6826	10632	10955	22589	7466	2198	7989
306	Pseudomonas sp.	species	1779	4747	2227	8695	18672	1899	2801	37250	38761	32927
189665	uncultured Trichococcus sp.	species	1416	2278	73	1971	2893	370	81	2200	523	611
76892	Caulobacteraceae	family	4432	6528	5176	4469	4582	3723	9298	25820	1794	12370
501571	Butyricicoccus pullicaecorum	species	264	398	421	439	421	714	504	689	3502	434
20	Phenylobacterium	genus	11740	17133	7920	6101	10805	5524	21921	44022	2188	12431
398199	Proteiniclasticum ruminis	species	596	2473	305	1040	1187	956	399	303	24	613
28117	Alistipes putredinis	species	3420	3542	6765	8676	7735	4295	12303	9572	3459	3984
1736505	Acidovorax sp. Root267	species	29	55	13	129	132	61	5	434	10	221
664909	Paenibacillus sediminis	species	4	6	0	4	20	3	12	2	3	3
28197	Aliarcobacter butzleri	species	3450	5392	11724	12468	29616	5692	1302	4888	565	32213
2981636	Huintestinicola	genus	272	278	56	675	259	466	110	1630	46	570
2049022	Catenibacterium sp.	species	4034	3483	4680	10056	7282	7293	12082	7489	3462	2440
1763549	uncultured Holdemanella sp.	species	242	221	162	375	378	959	669	368	106	167
2094020	Trichococcus shcherbakoviae	species	2057	3170	91	2595	3705	450	116	3747	421	926
1643826	Eggerthellaceae	family	1179	2401	1614	3213	2027	9685	16757	2227	1011	1234
1913682	Cloacibacterium sp.	species	4712	5506	5613	3952	139521	53437	1517	2344	6711	17630
3392036	Neisseria sp. CCUG17229	species	32	35	165	38	45	378	1	69	8	32
3103958	Flavobacterium psychraquaticum	species	1456	534	142	910	2766	144	80	4962	78	2786
1872524	Anaerorhabdus sp.	species	931	1049	505	1796	2301	1212	2215	1307	132	1300
397864	Barnesiella	genus	3971	2314	2650	4004	10055	916	174	16321	2596	6562
2831106	Devosiaceae	family	145	192	312	140	178	260	1138	1573	68	3151
433323	Aminicella lysinilytica	species	318	437	460	533	516	2003	1314	176	228	628
172900	Victivallis	genus	359	386	4930	879	2173	2458	6437	2209	1183	1968
102106	Collinsella	genus	5778	7667	7005	9004	7659	24940	38093	8870	6021	4129
1573535	Holdemanella	genus	3526	2842	1367	1638	2336	14649	5668	3414	1267	963
495	Neisseria elongata	species	31	169	146	84	140	592	13	225	25	115
687430	Pseudonocardia sp. TMWB2A	species	811	524	825	894	880	2194	1536	4001	360	900
490567	Arenimonas	genus	990	1542	378	2126	1130	715	614	3626	192	12847
28198	Aliarcobacter cryaerophilus	species	6956	26534	59132	37707	68646	9094	1674	16021	1153	83414
1276755	Acidovorax sp. JHL-3	species	385	1771	164	3962	2919	397	39	14290	62	9577
2758709	Psychrobacter sp. GP33	species	26	13	14	5	19	7	12	77	8	14
1648146	Flavobacterium buctense	species	6	5	10	15	32	16	5	20	5	153
2302939	Paludibacter sp. 221	species	1316	1036	191	1782	3487	1455	592	675	290	6364
350894	Flavobacterium suncheonense	species	659	353	82	285	821	123	33	301	20	580
995019	Sutterellaceae	family	2421	2447	2796	8592	4148	2851	1021	8526	2887	2085
85009	Propionibacteriales	order	2918	3227	467	2136	6898	13063	6670	8133	3318	3459
626933	Odoribacter laneus	species	429	28	164	97	135	32	95	189	27	133
