taxonomy_id	name	rank	CAN.22a_ERR1713340_db6.diamond	CAN.22_ERR1713339_db6.diamond	AUS.18a_ERR1713333_db6.diamond	AUS.18_ERR1713332_db6.diamond	AUT.70_ERR1713334_db6.diamond	BWA.19_ERR1713338_db6.diamond	BRA.53_ERR1713336_db6.diamond	BGR.66_ERR1713335_db6.diamond	BRA.53a_ERR1713337_db6.diamond	ALB.17_ERR1713331_db6.diamond
561	Escherichia	genus	22	60	241	189	590	422	303	386	539	548
292	Burkholderia cepacia	species	13	13	33	162	125	107	204	247	131	219
1184396	Mesotoga	genus	417	5	9	4	11	76	12	37	209	22
1434046	Sphingorhabdus	genus	410	430	80	653	3719	1467	1014	1743	5314	2572
32033	Lysobacteraceae	family	7505	23656	10378	55135	98230	91186	46002	87072	74787	68938
445219	Reyranella	genus	871	679	742	1186	1596	43325	2072	1161	3271	2336
135621	Pseudomonadaceae	family	2610	6654	2137	11795	38863	11602	13552	30723	18523	83325
203683	Planctomycetia	class	1027	247	648	712	1676	42683	1261	660	15777	2934
2024840	Methylophaga sp.	species	154	70	52	116	422	669	115	357	444	860
970	Selenomonas	genus	158	264	1401	917	4953	12503	4442	1165	6126	1551
2625155	unclassified Verrucomicrobium	no rank	16	3	4	10	15	61	11	5	91	19
1904254	Hydrogenophaga sp.	species	257	281	396	1378	2173	1066	1379	11536	1999	13494
2807096	Neotabrizicola shimadae	species	20	6	5	23	279	90	32	209	276	162
3073565	Hominilimicola	genus	483	445	2376	2119	10501	1811	5963	1497	1125	5049
1448857	Campylobacter corcagiensis	species	2	0	0	3	0	1	14	7	44	1
239934	Akkermansia	genus	6212	11615	11071	12703	60605	34910	27552	16440	15620	27349
2005520	Dysgonomonadaceae	family	429	937	733	1292	2057	1301	1037	1975	14399	1265
1783257	PVC group	clade	2510	572	562	1071	2192	20621	1219	1271	37332	3441
2212460	Propionivibrio sp.	species	906	4306	7683	6755	3772	40679	10203	13874	53015	11912
106654	Acinetobacter nosocomialis	species	13	17	60	278	448	64	282	572	57	1965
83618	Pseudoxanthomonas	genus	5269	18801	5149	26847	65754	78322	24656	65242	26503	61651
760260	Oligosphaera ethanolica	species	283	72	45	61	100	679	125	277	5909	349
84034	Propionispira	genus	103	130	178	98	407	1015	398	698	901	484
82803	Trichococcus flocculiformis	species	1142	4437	214	387	6239	194	203	1707	384	8413
88874	Luteococcus peritonei	species	25	3	11	1	13	2	4	24	11	10
468	Moraxellaceae	family	5425	7943	208806	598164	57350	46511	1549535	331486	10618	255474
562	Escherichia coli	species	768	1247	5538	8785	14889	13889	17702	14819	11990	27793
3140593	Candidatus Villigracilis	genus	156	48	85	1150	2166	681	195	142	3231	184
50421	Rhodoferax sp.	species	255	274	337	1062	3320	1897	1486	10813	3670	9111
216851	Faecalibacterium	genus	6631	9981	25577	7199	661801	10737	62047	36260	19211	67875
301375	Methanothrix harundinacea	species	396	1	5	7	8	167	12	4	144	14
2691359	Lacipirellulaceae	family	164	38	47	63	93	4303	100	58	1044	205
84109	Slackia exigua	species	11	0	2	0	12	6	6	1	26	24
28065	Rhodoferax	genus	375	305	157	686	3595	568	719	21882	1408	16558
1883	Streptomyces	genus	103	95	134	216	774	2063	425	540	2364	970
28216	Betaproteobacteria	class	12218	24726	47309	123086	111871	222474	302355	280663	419978	271732
367298	Phycicoccus	genus	427	114	735	1615	3257	540	3709	4556	1373	395
879969	Macellibacteroides fermentans	species	562	4499	3137	11115	2680	6305	4456	15729	124126	6619
1947281	Proteiniphilum sp. UBA5463	species	32	12	100	217	57	422	338	148	533	181
501783	Cloacibacterium	genus	5437	10310	48073	408370	57380	76574	407804	277621	195771	26816
2810280	Coprobacillaceae	family	895	1284	5043	1948	13652	7827	14172	1745	4054	19661
1130046	Oceanivirga miroungae	species	14	15	7	4	12	4	9	7	6	69
2528022	Botrimarina mediterranea	species	11	13	5	10	51	146	38	13	110	53
292628	Anaerolineaceae	family	5595	739	1175	1084	635	5868	1109	609	28287	1971
666507	Phycisphaeraceae	family	28	16	8	37	73	87	16	45	196	58
263370	Peredibacter	genus	196	256	116	543	1168	247	404	2617	1193	3019
102106	Collinsella	genus	633	845	3280	2706	10401	14564	9242	3206	6674	22130
1030	Thiothrix	genus	1008	294	743	4246	408	1208	4561	2021	16076	4364
278064	uncultured Dialister sp.	species	866	2137	2517	3269	9733	11720	8323	6845	2733	13100
301301	Roseburia hominis	species	705	487	236	982	7475	609	870	1309	385	1280
41297	Sphingomonadaceae	family	158	269	428	1355	1358	940	2065	4159	6059	1755
115544	Parasporobacterium paucivorans	species	10	17	50	27	31	94	16	72	597	147
872	Desulfovibrio	genus	2089	6632	27463	7227	12666	138449	30234	13976	167532	10223
2750658	Pontiella sulfatireligans	species	129	37	20	48	23	799	48	43	1643	115
2094020	Trichococcus shcherbakoviae	species	421	1005	68	146	2484	60	74	574	143	3812
3031632	Paraburkholderia sp. RL17-347-BIC-D	species	2	0	0	0	1	0	2	2	3	1
2049022	Catenibacterium sp.	species	769	1529	2083	2124	12838	15490	7634	3893	4109	8155
1485	Clostridium	genus	614	922	2273	1209	6164	8681	7160	5393	13586	17086
1505657	Intestinibacter	genus	18	17	79	48	326	329	113	65	110	174
84022	Clostridium aceticum	species	2	2	22	47	57	61	63	66	54	91
3018035	Bdellovibrionota	phylum	77	58	49	180	360	326	194	485	1506	599
649777	Synergistaceae	family	2709	4302	4018	3184	5501	45340	4374	4078	45969	9590
194924	Desulfovibrionaceae	family	1363	3048	8463	4492	7203	69469	8945	4725	64733	5437
1618113	Saccharicrinis	genus	9	67	6	12	15	3	4	5	106	23
1891224	Acinetobacter celticus	species	192	167	61	194	21987	197	401	24210	592	42551
518753	Luteolibacter	genus	164	80	167	286	491	752	177	273	1999	501
28196	Arcobacter	genus	1226	3067	530	10221	8591	895	1969	149608	88135	44341
76113	Thauera terpenica	species	453	2095	146	1051	3173	169	286	4759	1130	3094
84405	Hippea maritima	species	6	0	0	1	1	14	5	5	124	6
909930	Acidaminococcaceae	family	197	611	1218	1182	3023	14740	4553	2792	8981	7203
687430	Pseudonocardia sp. TMWB2A	species	168	501	133	432	1487	523	276	614	4012	1057
200643	Bacteroidia	class	2182	3567	1893	4769	5947	5788	3470	11342	153900	14387
875041	Neogemmobacter tilapiae	species	10	5	3	10	73	38	10	17	17	48
59	Vitreoscilla	genus	4582	2762	6749	24292	14267	1206	23782	13526	718	40810
504481	Sediminibacterium	genus	24	8	19	329	307	102	124	201	1604	245
2691417	Lacipirellula	genus	676	58	44	68	214	1391	117	61	495	153
2735562	Candidatus Absconditicoccus praedator	species	41	14	9	36	72	35	38	141	879	65
216572	Oscillospiraceae	family	2644	3872	12544	11948	145152	21996	27196	26221	47611	49371
359407	Methylotenera	genus	1111	306	105	421	198	439	145	1876	503	2603
2698682	Solilutibacter oculi	species	88	284	224	553	847	923	206	2980	621	580
690879	Terrimicrobium sacchariphilum	species	134	144	224	483	659	2497	671	305	2488	1050
909932	Negativicutes	class	1881	4442	21477	8231	24826	87362	32547	22494	417501	50896
283	Comamonas	genus	4873	4792	28789	116860	58967	10925	157394	142064	23884	151345
3453719	Hydrogenophaga sp. MI9	species	7	10	7	61	74	36	170	127	19	128
2172	Methanobrevibacter	genus	986	863	4744	3659	10900	10332	26639	3953	17857	82829
85007	Mycobacteriales	order	539	406	795	1649	1052	4393	3322	1745	5348	2778
2918299	Comamonas sp. B21-038	species	4	1	1	6	17	7	16	22	13	62
1872122	Acidovorax sp.	species	544	606	679	4572	7893	1107	5539	19027	1543	15101
1352	Enterococcus faecium	species	157	359	379	177	1658	873	400	651	543	1531
1453544	Tahibacter	genus	18	52	49	899	163	88	102	885	527	92
360411	Bellilinea caldifistulae	species	120	13	21	20	14	106	21	9	502	32
2782232	Chryseobacterium group	no rank	6083	7505	6959	69464	131892	6820	23385	138606	12285	210782
33951	Acetobacterium	genus	700	1885	2002	737	1414	1322	1124	1533	2339	4344
2808963	Arcobacteraceae	family	4772	7335	4346	33484	65466	13563	26307	429589	828944	180817
70997	Flavilitoribacter nigricans	species	15	5	2	24	53	79	18	29	162	26
134625	Kiritimatiellota	phylum	1062	175	158	161	135	4639	277	180	7057	486
1434702	Taibaiella	genus	7	41	8	288	84	27	19	119	75	28
2750657	Pontiella	genus	635	100	83	102	111	2598	177	125	5108	298
41294	Nitrobacteraceae	family	496	347	888	2546	3272	7003	1668	1403	5375	1492
456827	Candidatus Cloacimonas acidaminovorans	species	1188	111	36	84	122	122	193	239	1787	109
1869339	Polaromonas sp.	species	147	159	114	492	1105	440	439	4701	576	2620
141948	Thermomonas	genus	2984	5877	3515	14915	25934	27255	20174	18048	57038	13095
960	Bacteriovorax stolpii	species	105	106	81	804	552	401	514	1564	756	1127
996	Flavobacterium columnare	species	28	48	15	159	295	49	104	643	298	691
1159323	Macellibacteroides	genus	128	883	623	2304	579	1138	929	3099	25855	1280
2754	Synergistes jonesii	species	44	44	73	41	120	669	86	51	583	158
93172	Candidatus Entotheonella palauensis	species	20	8	8	20	49	441	31	31	582	108
2779366	Acidovorax sp. IB03	species	150	352	496	2970	3083	1322	5047	5616	592	2147
33882	Microbacterium	genus	1237	2034	2785	5144	26243	7414	3867	11743	10337	52617
487173	Dialister succinatiphilus	species	82	80	296	153	2428	2112	1210	1366	1745	3170
1981510	Monoglobus pectinilyticus	species	143	325	345	377	1495	325	623	273	297	297
2772226	Sulfuricellaceae	family	4	1	0	12	4	21	9	23	85	28
572511	Blautia	genus	1088	1738	10534	2468	23005	11960	27928	3980	8624	21391
1890424	Synechococcales	order	24	16	18	22	88	591	29	35	394	12125
1495854	Brevundimonas sp. EAKA	species	416	321	1195	463	479	956	951	559	1169	1402
2774660	Enterococcus sp. DIV1314a	species	74	90	26	37	1183	14	29	60	18	730
2645906	unclassified Pseudoxanthomonas	no rank	108	373	96	596	880	792	453	1012	500	921
31977	Veillonellaceae	family	759	1237	5532	1867	15363	8333	8687	5220	7003	21561
986	Flavobacterium johnsoniae	species	4	5	1	41	42	9	11	46	16	49
211457	uncultured Bosea sp.	species	5	7	18	27	88	43	67	35	20	35
204457	Sphingomonadales	order	3528	6523	4432	19286	29502	17099	22270	39869	76465	35009
179636	Alicycliphilus denitrificans	species	80	120	197	1328	1231	506	1461	2631	2097	1617
292629	Anaerolineales	order	2492	329	474	755	432	2557	511	274	11660	875
186831	Acetoanaerobium	genus	1653	3698	15245	11876	4269	39619	26802	6640	5148	33771
33057	Thauera	genus	786	2453	750	4322	6326	14935	2199	15073	8937	14310
41949	Candidatus Neomicrothrix	genus	509	185	643	235	3804	1828	156	202	245	223
53345	Enterococcus durans	species	9	17	51	4	73	15	18	68	7	64
83766	Propionivibrio	genus	615	2439	4902	3793	2324	19390	9114	10948	64207	8686
1301	Streptococcus	genus	3600	3913	275280	84491	41535	56391	467429	31069	28268	22179
84566	Sphingobacteriaceae	family	912	743	568	3100	3847	557	1355	6395	4690	2285
299568	Uruburuella	genus	1023	4261	6582	7388	6052	11329	28004	4776	724	16821
1972642	Sphaerochaeta sp.	species	13	10	14	9	41	217	40	44	312	60
48461	Verrucomicrobiales	order	258	173	210	362	1117	1214	463	347	1519	762
2653714	Rectinema subterraneum	species	65	31	29	43	54	144	87	79	3711	90
1471398	Prolixibacteraceae	family	484	339	182	918	426	874	560	759	69119	2160
472	Acinetobacter sp.	species	206	278	649	4182	3329	3521	2592	6380	12196	14180
200940	Thermodesulfobacteriota	phylum	2115	3526	3185	4248	2871	85068	4986	2876	155589	7290
120831	Dyadobacter	genus	190	66	39	325	639	157	93	1722	678	1068
2816950	Ottowia testudinis	species	133	326	282	959	3377	1314	669	2907	396	1779
75	Caulobacter	genus	235	200	140	834	673	182	1088	1623	745	808
2645907	unclassified Pleurocapsa	no rank	1	0	0	0	1	0	0	0	13	19
2699834	Thermovirga sp.	species	157	2	3	2	5	49	2	5	64	10
663243	unclassified Variovorax	no rank	85	104	98	306	1104	320	335	1520	576	1514
2223	Methanothrix soehngenii	species	460	27	220	81	91	1365	134	58	1221	297
1929267	Flavobacterium sp. FPG59	species	7	0	1	37	112	5	1	135	5	81
768507	Cytophagales	order	655	381	308	1879	2814	2677	1059	3545	10395	3365
2981630	Anthropogastromicrobium	genus	21	57	549	76	771	90	2558	460	1265	963
2586637	Streptomyces sp. NP160	species	1	0	0	0	2	3	0	6	3	1
1911565	Marispirochaeta	genus	13	0	6	10	6	63	6	14	486	34
204475	Gemmiger	genus	749	986	5870	2680	30134	21428	10106	5134	5142	22808
74201	Verrucomicrobiota	phylum	1093	386	412	1239	1969	6733	1196	1216	20731	4065
171552	Prevotellaceae	family	2988	3091	6336	7878	69523	43558	40754	60301	183192	186892
2948575	Anatilimnocola floriformis	species	97	16	42	14	37	1030	26	17	354	58
2638319	unclassified Polaromonas	no rank	189	162	70	220	936	284	315	12742	493	2661
45200	Methanospirillum sp.	species	112	12	23	18	43	307	71	56	1216	211
188786	Thermaceae	family	19	8	27	37	141	92	27	69	268	45
119060	Burkholderiaceae	family	996	1834	6542	18698	7027	31385	102887	28794	17683	256420
33024	Phascolarctobacterium	genus	1538	2503	4410	9431	49453	29329	44330	25116	53727	42581
255205	Pseudoclavibacter helvolus	species	135	31	16	49	2495	23	27	236	29	6656
3385990	Gudongella sp. SC589	species	5	27	43	16	66	55	35	22	248	67
446	Legionella pneumophila	species	23	30	85	138	189	244	216	258	429	423
2981530	Prosthecodimorpha	genus	22	1	10	27	116	124	13	10	65	13
2039240	Anaerotignum	genus	12	19	72	42	432	181	228	206	645	204
1762	Mycobacteriaceae	family	1278	1134	3566	4659	2058	17985	26615	1778	17326	10959
2045100	Puia sp.	species	3	0	3	29	11	27	4	18	63	6
1969733	Geothermobacter hydrogeniphilus	species	33	2	2	8	6	77	16	3	1587	15
2606439	Candidatus Manganitrophus noduliformans	species	20	9	5	12	18	144	15	23	497	37
173675	Sphingopyxis witflariensis	species	72	182	8	45	138	14	32	126	28	292
165696	Novosphingobium	genus	381	337	419	2266	1951	1084	1707	3683	14160	5851
1902408	Sphingorhabdus sp.	species	90	91	37	156	1458	1271	273	506	1278	834
3237012	Paraburkholderia sp. EG287A	species	3	5	1	24	15	16	12	59	81	16
349	Zoogloea	genus	331	622	718	4583	2014	17398	7823	8427	33656	15583
2731219	Alkaliphilus sp. B6464	species	2	1	5	7	5	5	8	8	45	6
1913682	Cloacibacterium sp.	species	385	692	4946	26739	3367	3629	29367	28672	9608	2491
2593015	Candidatus Syntrophosphaera thermopropionivorans	species	429	54	12	31	48	64	86	116	680	57
2067065	Aquella oligotrophica	species	4	2	6	22	40	19	18	569	367	607
31953	Bifidobacteriaceae	family	338	547	2017	1297	7470	9148	3652	1476	3467	11179
1385	Bacillales	order	882	1481	3050	1329	8164	5323	3040	3003	20949	8348
815	Bacteroidaceae	family	1500	2992	4242	8063	89883	15152	9064	89478	37742	41618
2290931	Stenosarchaea group	clade	11	7	8	3	10	154	12	10	410	43
196869	unclassified Flavobacterium	no rank	923	1474	621	13798	16792	1928	1498	37477	2343	14523
28050	Lachnospira	genus	252	399	1442	956	13327	1489	9583	4405	3499	7294
577310	Parasutterella	genus	230	390	226	873	15562	1552	1997	7135	2155	1636
1870990	Paenibacillus bouchesdurhonensis	species	48	155	211	112	483	303	352	240	999	610
99656	[Clostridium] fimetarium	species	17	37	52	43	115	64	165	297	845	546
2569097	Anaerobutyricum	genus	327	587	1927	459	8132	3773	6606	708	916	8504
196816	unclassified Acinetobacter	no rank	1803	1106	1350	9699	25912	1747	11504	77976	2404	322342
85023	Microbacteriaceae	family	1434	1194	1515	3119	10329	4563	2478	3880	5132	16617
200795	Chloroflexota	phylum	2577	418	637	860	1394	28651	1110	481	13867	1446
1872489	Aminivibrio sp.	species	1288	335	103	136	184	1207	153	238	1964	375
2005166	Tabrizicola sp.	species	276	341	112	739	3531	465	471	1107	545	1389
3438785	Gallicola sp. Sow4_E12	species	41	89	220	87	345	325	268	103	410	369
40214	Acinetobacter johnsonii	species	700	739	1190	17385	14047	745	3510	19839	811	89041
363952	Comamonas thiooxydans	species	89	104	390	1643	932	349	3004	2489	467	1875
162	Treponema phagedenis	species	7	0	9	7	7	18	6	9	60	13
1643949	Petrotogaceae	family	76	189	245	155	26	170	10	27	160	206
893	Desulfobulbus	genus	741	5906	2735	4484	2726	123008	5923	3115	66237	13702
31989	Paracoccaceae	family	1129	894	920	4060	13021	6227	3599	5038	6020	24255
1766253	Agathobacter	genus	1737	2518	8993	3889	52617	6523	26744	8465	7594	32277
261299	Intestinibacter bartlettii	species	349	708	1499	1639	10079	7085	3369	2259	2108	4792
1207057	Ottowia beijingensis	species	552	1509	5778	24593	11624	105120	24258	10745	10838	9327
558415	Marinilabiliaceae	family	236	817	179	389	350	755	169	727	4765	1088
777	Coxiella burnetii	species	14	8	8	70	80	71	43	93	87	237
