taxonomy_id	name	rank	AUS.18a_ERR1713333_db1.kraken2.kraken2.report	AUS.18_ERR1713332_db1.kraken2.kraken2.report	AUT.70_ERR1713334_db1.kraken2.kraken2.report	BWA.19_ERR1713338_db1.kraken2.kraken2.report	BRA.53_ERR1713336_db1.kraken2.kraken2.report	BRA.53a_ERR1713337_db1.kraken2.kraken2.report	BGR.66_ERR1713335_db1.kraken2.kraken2.report	ALB.17_ERR1713331_db1.kraken2.kraken2.report	CAN.22_ERR1713339_db1.kraken2.kraken2.report	CAN.22a_ERR1713340_db1.kraken2.kraken2.report	CAN.22b_ERR1713341_db1.kraken2.kraken2.report	COL.2_ERR1713346_db1.kraken2.kraken2.report	CIV.13_ERR1713345_db1.kraken2.kraken2.report	DEU.27_ERR1713348_db1.kraken2.kraken2.report	CAN.22c_ERR1713342_db1.kraken2.kraken2.report	CZE.23_ERR1713347_db1.kraken2.kraken2.report	CHN.64_ERR1713344_db1.kraken2.kraken2.report	DNK.71_RL_ERR1713351_db1.kraken2.kraken2.report	DNK.71_RA_ERR1713349_db1.kraken2.kraken2.report	DNK.71_RD_ERR1713350_db1.kraken2.kraken2.report	ESP.75_ERR1713354_db1.kraken2.kraken2.report	ETH.24_ERR1713355_db1.kraken2.kraken2.report	ECU.14a_ERR1713353_db1.kraken2.kraken2.report	FIN.25_ERR1713356_db1.kraken2.kraken2.report	IND.11_ERR1713362_db1.kraken2.kraken2.report	GHA.4_ERR1713358_db1.kraken2.kraken2.report	IRN.12_ERR1713364_db1.kraken2.kraken2.report	ISR.29_ERR1713366_db1.kraken2.kraken2.report	ISL.28_ERR1713365_db1.kraken2.kraken2.report	CHE.67_ERR1713343_db1.kraken2.kraken2.report	GEO.59_ERR1713357_db1.kraken2.kraken2.report	KAZ.6_ERR1713368_db1.kraken2.kraken2.report	HUN.61_ERR1713361_db1.kraken2.kraken2.report	IRL.69_ERR1713363_db1.kraken2.kraken2.report	HRV.68_ERR1713360_db1.kraken2.kraken2.report	KHM.21_ERR1713370_db1.kraken2.kraken2.report	KEN.72_ERR1713369_db1.kraken2.kraken2.report	ITA.30_ERR1713367_db1.kraken2.kraken2.report	LKA.40_ERR1713371_db1.kraken2.kraken2.report	NLD.43_ERR1713379_db1.kraken2.kraken2.report	LVA.31_ERR1713373_db1.kraken2.kraken2.report	MKD.62_ERR1713375_db1.kraken2.kraken2.report	MDA.65_ERR1713374_db1.kraken2.kraken2.report	MLT.63_ERR1713376_db1.kraken2.kraken2.report	NGA.50_ERR1713378_db1.kraken2.kraken2.report	NOR.34_ERR1713380_db1.kraken2.kraken2.report	LUX.32_ERR1713372_db1.kraken2.kraken2.report	NPL.33_ERR1713381_db1.kraken2.kraken2.report	MYS.54_ERR1713377_db1.kraken2.kraken2.report	SGP.52_ERR1713387_db1.kraken2.kraken2.report	PAK.7_ERR1713384_db1.kraken2.kraken2.report	SEN.8_ERR1713386_db1.kraken2.kraken2.report	POL.36_ERR1713383_db1.kraken2.kraken2.report	PER.35_ERR1713385_db1.kraken2.kraken2.report	SWE.41_ERR1713391_db1.kraken2.kraken2.report	SRB.37_ERR1713388_db1.kraken2.kraken2.report	SVK.9_ERR1713389_db1.kraken2.kraken2.report	TCD.1_ERR1713393_db1.kraken2.kraken2.report	SVN.38_ERR1713390_db1.kraken2.kraken2.report	USA.74a_ERR1713398_db1.kraken2.kraken2.report	TUR.46_ERR1713395_db1.kraken2.kraken2.report	SWE.41a_ERR1713392_db1.kraken2.kraken2.report	USA.74c_ERR1713400_db1.kraken2.kraken2.report	USA.74b_ERR1713399_db1.kraken2.kraken2.report	USA.74g_ERR1713404_db1.kraken2.kraken2.report	USA.74_ERR1713397_db1.kraken2.kraken2.report	USA.74i_ERR1713406_db1.kraken2.kraken2.report	USA.74e_ERR1713402_db1.kraken2.kraken2.report	USA.74f_ERR1713403_db1.kraken2.kraken2.report	USA.74d_ERR1713401_db1.kraken2.kraken2.report	XK.60_ERR1713408_db1.kraken2.kraken2.report	ZAF.39_ERR1713409_db1.kraken2.kraken2.report	ZMB.49_ERR1713410_db1.kraken2.kraken2.report	ZMB.49b_ERR1713411_db1.kraken2.kraken2.report	ECU.14_ERR1713352_db1.kraken2.kraken2.report	NZL.56_ERR1713382_db1.kraken2.kraken2.report	TZA.15_ERR1713396_db1.kraken2.kraken2.report	TGO.44_ERR1713394_db1.kraken2.kraken2.report	USA.74h_ERR1713405_db1.kraken2.kraken2.report	VNM.48_ERR1713407_db1.kraken2.kraken2.report
3120518	Acinetobacter sp. KS-LM10	species	1	1	3	0	0	0	7	45	0	0	0	0	0	3	3	31	1	9	14	17	0	6	1	1	0	0	0	0	2	1	9	12	0	21	0	76	0	5	24	1	0	3	10	21	1	26	11	0	0	11	1	9	3	17	18	1	4	1	3	3	30	18	8	0	1	0	0	1	0	0	11	0	0	0	732	180	1	1	3	43
3425693	Acinetobacter sp. CE-15	species	1	6	0	0	0	0	2	17	0	0	1	0	0	0	3	0	1	0	0	1	3	1	0	4	0	0	0	0	0	0	0	1	0	12	0	0	0	0	7	0	0	0	4	0	0	7	3	0	0	0	0	8	0	0	4	0	2	1	0	26	9	16	0	2	1	5	0	1	0	5	0	0	1	0	7	10	0	2	1	4
710648	Acinetobacter sp. Tol 5	species	1	5	8	1	7	1	27	59	0	0	4	1	2	3	5	13	2	7	7	20	1	8	0	2	1	0	7	0	3	0	25	10	1	77	0	6	1	39	1	0	1	14	69	28	0	9	17	0	2	2	4	201	4	4	10	14	3	1	9	10	13	20	2	2	3	3	7	1	1	2	53	1	3	3	26	6	4	2	9	40
1407071	Acinetobacter sp. TGL-Y2	species	1	15	31	0	1	0	10	102	2	2	3	2	0	0	4	11	1	15	22	23	0	2	0	8	0	1	3	1	6	4	66	19	0	208	8	75	4	15	2	0	2	4	60	2	0	16	18	7	0	1	1	3	6	49	19	20	5	2	14	8	74	64	3	1	0	6	2	4	0	9	47	0	0	0	30	48	2	0	3	13
3003393	Acinetobacter sp. TR11	species	1	6	13	5	15	1	14	25	0	0	4	0	3	6	2	8	4	5	17	18	2	9	2	1	0	0	7	0	27	5	18	21	1	24	9	15	13	18	1	1	6	6	17	3	4	13	29	5	6	4	2	60	2	11	20	18	9	1	17	11	11	10	2	0	1	12	5	12	0	6	21	4	7	3	33	8	48	1	22	11
2079596	Acinetobacter sp. SWBY1	species	1	7	0	12	21	2	5	7	0	0	1	0	31	0	3	1	1	1	3	3	2	7	4	0	1	10	4	3	0	0	8	8	0	6	0	1	6	8	0	0	2	1	2	11	8	2	10	0	1	1	20	113	3	13	4	1	1	6	7	0	7	4	2	0	1	1	0	19	1	0	14	12	10	3	16	10	86	35	0	76
40214	Acinetobacter johnsonii	species	369	5084	4179	152	846	233	5649	26985	190	195	1185	216	195	477	1746	4440	665	1934	2015	3899	1554	3978	173	608	130	153	2814	337	2022	508	13498	4847	106	14930	1475	816	2334	8240	1514	116	565	3813	34748	9674	134	2616	5599	517	137	272	578	97079	760	1672	3836	5864	990	3115	1754	2821	6182	5836	407	271	340	1055	1878	1319	274	1310	21960	781	509	394	13939	4595	2371	458	3317	29368
1879050	Acinetobacter wuhouensis	species	86	211	179	8	556	13	140	868	6	8	104	7	88	45	108	166	138	111	202	329	126	486	31	36	18	11	436	16	65	81	33	285	15	398	117	61	1016	511	78	14	34	141	546	276	26	140	437	25	28	75	171	305	40	155	137	655	46	31	148	139	66	267	80	19	40	145	210	3261	13	89	1236	85	82	56	494	92	6400	503	209	534
909768	Acinetobacter calcoaceticus/baumannii complex	species group	36	129	112	44	118	19	152	572	14	6	64	1	121	25	58	100	29	49	90	144	37	107	27	39	73	18	114	5	88	14	201	168	8	290	44	22	135	210	53	3	23	112	372	127	125	77	148	18	41	55	63	1587	29	88	120	161	45	19	80	219	102	216	57	11	20	90	55	179	12	256	770	62	91	36	214	118	317	299	114	288
470	Acinetobacter baumannii	species	18	165	132	28	174	15	242	839	9	13	86	8	117	21	71	159	59	99	122	221	59	126	31	39	45	22	171	16	79	36	242	338	5	555	101	114	215	364	35	13	31	176	587	190	42	193	313	24	50	60	81	1634	36	127	192	329	70	25	162	104	283	360	57	15	41	90	95	300	23	252	952	92	83	40	552	461	498	195	166	387
1401639	Acinetobacter baumannii NCGM 237	strain	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0
106654	Acinetobacter nosocomialis	species	14	23	14	1	8	1	9	38	2	1	7	0	14	8	10	5	4	11	5	25	6	9	3	6	10	6	11	1	83	2	24	14	0	159	12	2	28	16	13	1	7	5	29	25	54	12	77	1	11	22	2	126	4	13	16	13	6	0	27	40	155	59	8	2	1	22	10	13	3	21	15	6	9	1	24	133	51	29	15	45
48296	Acinetobacter pittii	species	11	38	66	12	51	1	102	409	3	5	21	5	43	18	19	85	23	70	57	109	21	84	13	24	8	4	84	6	64	18	81	126	1	137	40	8	73	202	20	2	27	80	267	66	11	46	101	4	25	32	27	1430	19	31	81	171	22	6	40	39	35	154	41	7	17	36	40	93	6	22	558	31	28	15	188	26	201	59	70	252
1530123	Acinetobacter seifertii	species	2	20	15	4	29	2	30	107	1	0	8	1	8	10	6	14	3	9	11	41	14	13	2	10	4	3	14	0	10	3	36	42	0	52	7	59	19	27	16	1	6	25	46	32	24	22	101	5	6	8	8	178	5	15	30	35	10	21	16	81	22	64	22	1	5	32	14	149	5	25	130	15	13	5	48	28	102	9	32	53
3045147	Acinetobacter corruptisaponis	species	77	466	410	52	185	12	639	334	54	7	83	14	165	290	122	230	130	406	376	668	85	183	47	172	15	6	368	9	1846	76	49	616	39	226	188	13	544	324	48	9	337	316	312	60	246	185	516	57	449	410	130	212	161	119	643	529	442	2	783	47	8	410	250	26	47	261	159	261	33	82	761	352	162	45	251	156	610	44	458	206
28090	Acinetobacter lwoffii	species	75	289	335	31	144	11	378	1526	19	10	76	23	95	44	99	564	49	186	269	452	69	411	26	59	11	25	198	17	364	35	1144	376	5	671	157	374	399	463	131	16	46	315	2682	768	17	203	393	47	30	39	160	4449	68	261	1634	337	81	4996	226	214	418	594	67	19	30	92	124	163	18	77	2077	59	74	28	651	631	646	107	238	342
202956	Acinetobacter towneri	species	57	239	149	530	1415	48	223	619	13	15	80	8	2392	104	53	147	120	139	140	285	72	395	295	84	48	581	493	11	297	42	205	417	23	604	87	136	1015	362	66	10	123	129	605	660	275	205	281	48	98	354	1253	7032	108	830	272	359	116	160	509	74	273	394	508	20	142	80	145	1426	58	49	828	425	570	284	597	178	7278	1661	158	1471
