taxonomy_id	name	rank	USA.74g_ERR1713404_db6.diamond	USA.74f_ERR1713403_db6.diamond	USA.74e_ERR1713402_db6.diamond	USA.74i_ERR1713406_db6.diamond	USA.74h_ERR1713405_db6.diamond
909932	Negativicutes	class	12804	20600	47144	92212	131856
3350256	Comamonas trifloxystrobinivorans	species	573	145	21498	1570	1460
3385990	Gudongella sp. SC589	species	92	40	166	63	504
826	Sebaldella termitidis	species	21650	31762	85371	54162	268487
644	Aeromonas hydrophila	species	69	47	224	881	2948
894	Desulfobulbus propionicus	species	508	1224	1356	1961	4570
2762318	Weeksellaceae	family	21568	10994	92120	46885	141389
292628	Anaerolineaceae	family	1065	34941	2392	2698	5710
213849	Campylobacterales	order	27906	2978	12640	19772	221675
1129771	Leptotrichiaceae	family	16302	12004	63717	56966	483307
1678	Bifidobacterium	genus	12663	28310	56990	42869	159839
12916	Acidovorax	genus	73985	60882	303525	474532	1605072
572511	Blautia	genus	15110	18561	66835	18371	54177
1653435	Merdimonas faecis	species	53	69	225	141	226
216572	Oscillospiraceae	family	15538	8469	42911	59883	136751
186831	Acetoanaerobium	genus	55752	42876	152477	22152	236939
1030	Thiothrix	genus	11340	1222	10875	136359	24009
872	Desulfovibrio	genus	22393	120487	134092	217177	355147
39491	Agathobacter rectalis	species	3280	738	5614	2439	6561
1806837	Massilibacillus massiliensis	species	193	243	653	792	901
171552	Prevotellaceae	family	17202	6211	26742	67106	273179
816	Bacteroides	genus	17884	4589	46175	52732	502623
1898956	Ottowia sp.	species	3307	10807	19987	48348	169329
507	Alcaligenes	genus	584	1018	1569	1442	7975
59310	Streptococcus macedonicus	species	19	25	343	26	31
418240	Blautia wexlerae	species	1329	1626	5379	1687	4421
475	Moraxella	genus	12891	2659	88552	6920	2826
459529	Sphingobacterium siyangense	species	9	7	41	43	104
194924	Desulfovibrionaceae	family	8420	31416	32276	31848	127582
1775411	Rhodanobacteraceae	family	376	877	1342	3109	8076
356	Hyphomicrobiales	order	4856	20494	49721	205225	70145
914	Nitrosomonas	genus	206	197	602	1536	1535
84999	Coriobacteriales	order	1231	2620	6118	3639	13614
32033	Lysobacteraceae	family	8206	30039	35853	143537	217771
352450	Simplicispira	genus	460	306	751	4708	5504
186802	Eubacteriales	order	40124	48836	165173	154391	349657
207244	Anaerostipes	genus	10314	4760	21261	20727	29341
1982626	Faecalibacillus intestinalis	species	1204	1704	3576	3488	3721
1263	Ruminococcus	genus	2197	572	2854	10176	15083
1082851	Comamonas serinivorans	species	229	135	1150	1804	4826
32068	Sebaldella	genus	27768	40807	113750	87745	425785
291645	Bacteroides nordii	species	944	4765	4585	3153	6223
80878	Acidovorax temperans	species	5762	4898	25203	14626	88939
481	Neisseriaceae	family	49941	134668	554893	216357	874919
468	Moraxellaceae	family	19472	12488	150091	125936	78743
1427172	Aminivibrio	genus	1112	4990	5497	1484	23275
3031852	Epsilonproteobacteria	class	8578	677	3258	3784	46203
375288	Parabacteroides	genus	3972	2089	9202	10599	50324
1776382	Neglectibacter timonensis	species	239	163	871	498	1835
745369	Acetoanaerobium noterae	species	9438	7044	22384	3684	36952
239	Flavobacterium sp.	species	3500	3520	16464	15024	56985
189330	Dorea	genus	3546	3904	10883	7791	19827
283	Comamonas	genus	13279	9369	84251	223762	227427
186826	Lactobacillales	order	12716	10239	92775	54969	180018
1550733	Aquisediminimonas profunda	species	243	212	675	360	194
1541063	Prolixibacter denitrificans	species	8	5	5	14	132
86180	Malikia spinosa	species	27	39	104	486	617
28216	Betaproteobacteria	class	39534	50785	181809	349363	883581
1485	Clostridium	genus	5875	2375	14101	6541	30520
2654171	Poseidonibacter ostreae	species	118	16	58	83	1161
278064	uncultured Dialister sp.	species	2741	12673	12125	8140	18919
1843490	Sporomusaceae	family	3592	5500	15051	10193	37796
2292985	Blautia sp. OM07-19	species	7	4	10	5	9
335929	Erythrobacteraceae	family	1410	2673	3880	7135	4173
84566	Sphingobacteriaceae	family	668	555	1209	4515	5770
472	Acinetobacter sp.	species	526	647	2619	2472	4010
2684926	unclassified Acidovorax	no rank	5381	4653	14605	189049	387499
52225	Mitsuokella	genus	2350	428	1605	1344	4585
59	Vitreoscilla	genus	2608	1662	33909	41082	136277
649776	Synergistales	order	2513	9334	11052	12163	38438
165697	Sphingopyxis	genus	2977	15177	21468	22742	50559
543	Enterobacteriaceae	family	14611	12535	78835	31868	116343
28251	Ornithobacterium rhinotracheale	species	20	34	78	58	158
28211	Alphaproteobacteria	class	13331	56662	118279	296298	186661
2716334	Paraflavitalea devenefica	species	4	15	5	45	112
204455	Rhodobacterales	order	2847	18787	35400	100242	63675
115783	Trichlorobacter thiogenes	species	63	5	34	37	198
2292220	Collinsella sp. AF19-7AC	species	4	2	6	1	13
1582259	Gudongella oleilytica	species	594	400	1163	727	1422
204475	Gemmiger	genus	7147	7052	28003	17419	34827
171549	Bacteroidales	order	43088	20138	108866	155947	1012934
474960	Hydrogenoanaerobacterium saccharovorans	species	88	31	264	254	1077
2211183	Evtepia gabavorous	species	196	35	296	495	670
2619054	unclassified Candidatus Accumulibacter	no rank	33	36	75	819	736
49546	Flavobacteriaceae	family	8101	6895	26377	34241	140241
203492	Fusobacteriaceae	family	1217	348	1159	3342	51773
1632	Limosilactobacillus oris	species	6	18	35	51	45
1843491	Selenomonadaceae	family	4784	3293	9803	31736	24487
32067	Leptotrichia	genus	4007	2418	12411	12988	83690
204457	Sphingomonadales	order	6793	19401	34374	156797	61255
111564	Kineosphaera limosa	species	22	28	192	170	2784
1432051	Eisenbergiella	genus	332	740	1782	1452	3367
209	Helicobacter	genus	210	42	73	156	442
526525	Erysipelotrichales	order	1637	2063	5033	4001	9418
3036128	Diaphorobacter limosus	species	453	461	3422	2093	5370
3373071	Acinetobacter sp. ULE_I064	species	36	19	358	151	267
2593640	unclassified Desulfovibrio	no rank	1793	9553	14255	8064	26167
2212460	Propionivibrio sp.	species	6240	5140	15718	20495	184317
57665	Sulfurospirillum	genus	5135	1063	7903	5397	160724
2891210	Thiothrix litoralis	species	87	12	80	205	282
3140682	Candidatus Villigracilis affinis	species	62	408	71	892	147
893	Desulfobulbus	genus	4953	12177	14217	15986	71438
301301	Roseburia hominis	species	672	400	4672	1440	2727
117506	Comamonas denitrificans	species	14927	9762	40039	351263	253115
2051956	Methylotenera sp.	species	79	78	132	490	627
33024	Phascolarctobacterium	genus	8737	6922	41356	58481	83923
28453	Sphingobacterium	genus	357	539	1497	3002	3397
1306	Streptococcus sp.	species	13740	17039	198138	14794	8859
895	Desulfobulbus sp.	species	267	668	797	784	10851
2593671	unclassified Arcobacter	no rank	98	11	56	52	681
239745	uncultured Desulfobulbus sp.	species	10961	29683	29448	43988	91799
2903107	Paracholeplasma	genus	1893	1180	3546	1876	2843
41275	Brevundimonas	genus	3661	27918	36428	42184	63367
2569097	Anaerobutyricum	genus	2387	1885	4870	11989	7830
91347	Enterobacterales	order	11954	10923	69483	24724	109661
970	Selenomonas	genus	1673	780	3402	5969	5809
3024411	Desulfobulbales	order	2235	6262	8135	6686	40465
2841523	Acetivibrio sp. MSJd-27	species	22	9	27	79	147
1871086	Brevundimonas sp.	species	424	2974	3210	6835	11354
497	Psychrobacter	genus	12943	17024	20998	660799	83642
815	Bacteroidaceae	family	19269	7145	65277	32152	235295
222991	Alkanindiges	genus	2731	231	3193	515	549
83766	Propionivibrio	genus	3764	3470	8472	9936	107652
346096	Paludibacter	genus	618	214	987	1478	54395
202952	Acinetobacter gerneri	species	616	304	55151	471	778
99907	Alkalibacterium olivapovliticus	species	133	3	1	15	44
1100891	Paenalcaligenes	genus	1729	103	213	220	2150
59732	Chryseobacterium	genus	1891	1489	7894	4105	11754
35832	Bilophila	genus	1369	3062	3511	6031	22765
1822464	Paraburkholderia	genus	92	172	482	1037	1124
909656	Phocaeicola	genus	3904	876	13246	4510	33532
2491048	Leptotrichia sp. OH3620_COT-345	species	344	236	1025	1402	8297
2700082	Pontibacter fetidus	species	1	0	1	10	18
913108	Aggregatilinea lenta	species	6	48	31	182	59
135617	Thiotrichaceae	family	385	47	398	2006	312
2487072	Epilithonimonas vandammei	species	81	56	308	385	1020
72273	Thiotrichales	order	5740	452	4855	47745	2072
135621	Pseudomonadaceae	family	7323	4560	15288	23523	120972
91061	Bacilli	class	12471	10978	66626	36656	79076
33042	Coprococcus	genus	3086	1926	8525	6719	17256
687430	Pseudonocardia sp. TMWB2A	species	236	1480	1060	1264	6591
864	Pectinatus	genus	470	266	1529	1555	3670
31977	Veillonellaceae	family	1959	4607	9800	9856	25382
2591382	Dysosmobacter sp.	species	496	217	1370	2747	4145
33958	Lactobacillaceae	family	739	1210	4195	3093	6295
1643826	Eggerthellaceae	family	916	1707	4819	3531	8530
2039241	Anaerotignum sp.	species	55	42	185	249	824
2810280	Coprobacillaceae	family	5828	6496	15166	11860	31101
286142	uncultured Catenibacterium sp.	species	1097	3611	3247	1459	4309
2060095	Aminipila sp.	species	28	17	59	108	349
1307	Streptococcus suis	species	1607	1785	17435	2607	1396
33039	[Ruminococcus] torques	species	190	144	562	245	1002
68239	Streptomyces mirabilis	species	101	179	288	741	1148
1654	Actinomyces	genus	222	619	1075	966	3664
2071632	Cetobacterium sp.	species	187	119	525	465	2668
1783272	Bacillati	kingdom	26338	48633	107782	244169	247269
34102	Sphaerotilus	genus	1525	669	6214	11346	7820
213121	Desulfobulbaceae	family	3292	9362	10855	10011	50733
135614	Lysobacterales	order	1771	5575	7059	31700	44002
2593015	Candidatus Syntrophosphaera thermopropionivorans	species	266	7878	101	130	1793
2593683	Ancrocorticia	genus	252	605	1483	511	3576
2614943	unclassified Sphingopyxis	no rank	397	2026	2565	3460	6864
239759	Alistipes	genus	3628	1495	10259	15434	63962
85023	Microbacteriaceae	family	747	4954	5380	27933	14493
482	Neisseria	genus	7630	10290	98851	13398	24235
853	Faecalibacterium prausnitzii	species	1680	1251	5249	5083	12935
213115	Desulfovibrionales	order	2551	9421	8489	8459	44077
69541	Desulfuromonadales	order	51	345	164	438	1344
187979	Mitsuokella jalaludinii	species	124	41	163	246	406
31979	Clostridiaceae	family	808	472	1700	1725	6813
1872530	Anaerostipes sp.	species	134	67	239	277	378
360807	Roseburia inulinivorans	species	2069	377	6360	2770	7513
2316020	Mediterraneibacter	genus	5660	7417	24223	4849	27066
102106	Collinsella	genus	4436	9498	22827	10930	48586
1243002	Vibrio olivae	species	332	1643	1399	833	2743
1207057	Ottowia beijingensis	species	6380	11761	64399	14629	48459
2981630	Anthropogastromicrobium	genus	2975	335	7568	1315	8677
879969	Macellibacteroides fermentans	species	6666	2048	11619	28361	213188
795748	Ignavibacteriales	order	77	102	279	3639	444
841	Roseburia	genus	3013	958	20369	4464	23138
180295	Atopostipes suicloacalis	species	2359	9	7	35	54
196869	unclassified Flavobacterium	no rank	958	758	3853	2838	23918
1245	Leuconostoc mesenteroides	species	19	38	179	122	195
1400857	Candidatus Competibacteraceae	family	1123	1949	2842	991778	11546
378404	Bosea sp. CRIB-10	species	4	16	29	169	153
72763	Tessaracoccus	genus	783	1488	4082	7098	13989
39485	Lachnospira eligens	species	1831	1517	5041	3390	6389
2648079	unclassified Blautia	no rank	245	209	774	637	811
3082720	Peptostreptococcales	order	1568	1325	4095	1352	17932
1681	Bifidobacterium bifidum	species	112	143	306	334	1433
2809020	Paralysiella testudinis	species	1276	4146	11223	5508	38080
563835	Chitinophagaceae	family	1378	976	3150	16628	15578
249409	Hydrogenophaga atypica	species	42	47	178	729	918
181070	Proteocatella sphenisci	species	6153	4302	6446	10701	296595
1629	Weissella viridescens	species	1306	1447	1470	1459	2096
2902797	Epilithonimonas sp. JDS	species	18	8	45	47	132
2173	Methanobrevibacter smithii	species	458	747	1324	3351	2588
649777	Synergistaceae	family	4568	14638	18586	52314	110421
735512	uncultured Reyranella sp.	species	19	62	56	26969	112
256616	Parvibaculum	genus	105	203	212	268	355
122277	Pectobacterium	genus	11	10	54	58	206
81463	Anaeromusa	genus	545	657	2433	1419	2183
3074372	Selenobaculum	genus	328	446	1180	2021	1224
2981649	Anthropogastromicrobium sp.	species	163	27	430	82	462
96345	Flavobacterium psychrophilum	species	222	238	1340	626	7404
237258	Cloacibacterium normanense	species	1544	568	5089	2381	5311
1971895	Thermomonas sp.	species	986	2468	4232	35898	27756
1299340	Flavobacterium longum	species	4	7	21	26	24
1078050	Seleniivibrio woodruffii	species	36	16	21	57	588
1930784	Aurantimicrobium sp.	species	2297	1243	8346	1409	24210
1357	Lactococcus	genus	1324	709	4211	1824	11160
2986831	Flavobacterium sp. N2270	species	19	8	55	30	285
287	Pseudomonas aeruginosa	species	944	1096	5320	6153	15029
219574	Pseudomonas proteolytica	species	46	43	84	946	219
1159323	Macellibacteroides	genus	1350	384	2375	5832	44252
2782232	Chryseobacterium group	no rank	5190	4498	16285	31531	98365
1945593	Oscillibacter sp.	species	146	129	415	1500	1133
83618	Pseudoxanthomonas	genus	4318	28695	30049	61780	184730
200643	Bacteroidia	class	4721	2986	8687	19838	259114
366522	Sulfurospirillum cavolei	species	237	19	246	213	2267
577310	Parasutterella	genus	1652	1006	3856	804	4938
76008	Fusibacter	genus	349	170	698	667	3432
1054498	Rivihabitans pingtungensis	species	4202	260	3189	459	3316
219181	Ottowia	genus	8444	19261	72650	72749	230679
3436058	Pseudolactococcus	genus	4903	2488	5717	5683	423787
106654	Acinetobacter nosocomialis	species	39	42	307	231	420
222	Achromobacter	genus	353	682	1079	1666	3802
186817	Bacillaceae	family	1147	1483	5039	4375	13646
1578	Lactobacillus	genus	1037	2517	13530	4525	7666
218144	Vagococcus carniphilus	species	15	2	33	682	247
1577474	Raineyella antarctica	species	11	11	19	727	63
200940	Thermodesulfobacteriota	phylum	4738	19382	15651	19574	70892
1676125	Thermogutta	genus	36	492	150	327	228
1501662	Streptococcus parasuis	species	1224	1320	12748	1895	1582
2496270	Seramator thermalis	species	89	8284	154	370	13271
712	Pasteurellaceae	family	5661	4889	34988	5700	39095
1265	Ruminococcus flavefaciens	species	81	30	77	471	347
487175	Parasutterella excrementihominis	species	277	350	1333	436	3222
1871053	Phenylobacterium sp.	species	968	14147	4400	5970	12214
437739	uncultured Lutibacter sp.	species	18	34	135	70	118
136846	Stutzerimonas stutzeri group	species group	15	13	23	60	164
82802	Trichococcus	genus	8861	6944	19429	152028	493826
3064195	Brotocaccenecus cirricatena	species	1522	694	6367	6040	13943
1986146	Desulfobulbus oralis	species	584	2700	2114	1941	5942
3068315	Uliginosibacterium sp. 31-16	species	15	15	36	59	1272
2303491	Candidatus Amarolinea	genus	165	122	54	861	77
52972	Polaromonas	genus	355	330	487	2253	4288
219182	Ottowia thiooxydans	species	130	527	426	1149	2980
78120	Succinispira mobilis	species	2071	1247	5944	14954	58742
1850250	Rhodobacter xanthinilyticus	species	70	42	6455	152	26
2762385	Daejeonella	genus	122	49	82	1955	419
1165852	Melaminivora alkalimesophila	species	48	34	149	198	351
2710587	Pseudomonas iridis	species	1	3	3	52	22
642	Aeromonas	genus	6639	3773	14100	23929	365283
31989	Paracoccaceae	family	863	5649	7260	25175	23543
2710881	Sphingobacterium sp. SGG-5	species	2	0	4	20	45
1918536	Longicatena	genus	134	32	141	91	1125
1506	Clostridium sp.	species	528	579	1176	3371	4624
848	Fusobacterium	genus	1828	1113	4354	4630	30669
3156435	Variovorax sp. PvP013	species	69	6	12	22	41
521720	Denitrificimonas caeni	species	671	108	266	1104	19502
2644629	unclassified Exiguobacterium	no rank	6	9	18	22	56
186828	Carnobacteriaceae	family	2601	869	2441	16469	52895
1643824	Atopobiaceae	family	238	544	1475	1178	2822
745368	Gemmiger formicilis	species	1481	1573	5239	3524	7478
2981721	Brotomerdimonas butyrica	species	50	71	242	245	734
203491	Fusobacteriales	order	5145	3984	19362	15329	160524
81412	Aminomonas paucivorans	species	1201	2069	5835	806	2809
286	Pseudomonas	genus	9032	25889	53979	30377	55375
13687	Sphingomonas	genus	2614	1761	4454	3587	7430
2981640	Suilimivivens	genus	313	439	911	1227	1962
1853231	Odoribacteraceae	family	264	51	710	922	3789
454154	Paraprevotella clara	species	94	87	180	392	984
31953	Bifidobacteriaceae	family	1713	3968	7927	6250	22412
2086583	Pseudoruminococcus massiliensis	species	269	631	773	626	1712
299568	Uruburuella	genus	5283	20591	57270	31714	141723
562	Escherichia coli	species	3039	3627	16916	13333	27849
546	Citrobacter freundii	species	247	202	1244	649	1863
2010828	Aquipluma nitroreducens	species	212	147	368	654	12900
2897176	Aquaspirillaceae	family	2314	325	6373	500	7887
171	Leptospira	genus	681	174	223	15143	899
88431	Dorea longicatena	species	207	152	487	423	1050
2049027	Gemmiger sp.	species	653	1040	3102	1922	4787
876	Desulfovibrio desulfuricans	species	836	4507	4737	7856	15799
1573535	Holdemanella	genus	2320	2905	7521	3280	12851
290425	Advenella	genus	103	99	229	431	545
2773294	Desulfolutivibrio	genus	164	357	660	171	626
1762	Mycobacteriaceae	family	2535	5621	17215	131686	17113
2908000	Ramlibacter paludis	species	2	1	6	41	39
2639466	unclassified Butyrivibrio	no rank	158	350	609	2902	1156
191393	Deferribacterales	order	27	31	13	41	95
306	Pseudomonas sp.	species	639	629	1935	2931	22349
75	Caulobacter	genus	149	408	1904	833	1615
1350	Enterococcus	genus	2151	1335	25791	30769	30809
1940615	Collimonas antrihumi	species	1	3	2	4	48
76113	Thauera terpenica	species	666	942	1138	1736	30204
1689272	Vitreoscilla massiliensis	species	7683	6685	124700	109237	359756
1853276	Neisseria weixii	species	346	921	3651	1005	4168
2895353	Telluria group	no rank	432	86	332	765	783
28219	Brachymonas	genus	2103	2932	8803	61921	16359
136	Spirochaetales	order	392	792	867	1384	4902
1680	Bifidobacterium adolescentis	species	409	830	1574	1149	4664
265570	Sulfurovum	genus	134	31	437	146	967
2910983	Humidesulfovibrio	genus	122	48	169	111	4931
171550	Rikenellaceae	family	490	599	1585	6454	9619
187145	Caldithrix abyssi	species	26	122	49	239	163
185293	Xylanibacter oryzae	species	175	43	140	3304	1602
1912855	Faecalimonas umbilicata	species	272	492	1141	306	1380
215691	Thermomonas brevis	species	39	105	148	232	555
177972	Shuttleworthella satelles	species	4	7	7	37	21
3386177	Candidatus Skiveiella danica	species	500	2111	812	99939	34924
115782	Trichlorobacter	genus	771	280	707	905	2240
1965591	Cloacibacillus sp. An23	species	16	32	76	241	234
1583	Weissella confusa	species	24	44	92	55	106
3416354	Candidatus Pollutiaquabacter sp.	species	175	118	265	801	387
218538	Dialister invisus	species	1757	6443	9942	8703	37039
2171992	Candidatus Nanogingivalis gingivitcus	species	306	195	540	4133	3814
989	Marinilabilia salmonicolor	species	12	17	36	66	1115
1917865	Sediminibacterium sp.	species	51	41	86	4561	555
206351	Neisseriales	order	3629	7042	34693	14430	65425
2890311	Klebsiella/Raoultella group	no rank	993	546	4246	1702	6440
1602169	Prevotella pectinovora	species	81	74	217	388	891
1924097	Senegalia	genus	10	0	2	5	36
164759	Diaphorobacter nitroreducens	species	138	127	576	1511	2360
310297	Phocaeicola plebeius	species	2419	10338	11647	11421	16199
59195	Rickettsiella	genus	38	89	51	121	25
1609595	Microseira	genus	3	3	3	21	11
168471	Laribacter hongkongensis	species	1973	2562	5334	3577	57784
570	Klebsiella	genus	3286	1905	15607	3720	14311
85007	Mycobacteriales	order	467	1310	3370	32278	5075
69473	Paracholeplasma vituli	species	1334	851	2379	1234	2036
2024848	Parvibaculum sp.	species	155	104	115	474	421
2593645	unclassified Chryseobacterium	no rank	116	79	469	419	1173
1868793	Jeotgalibaca porci	species	374	63	274	1213	2624
2172	Methanobrevibacter	genus	1694	2086	12696	27704	24490
2678885	Faecalibacillus	genus	4814	7285	22588	7149	14635
1366	Pseudolactococcus raffinolactis	species	1438	675	1107	1651	135025
32013	Comamonas terrigena	species	21	41	132	164	218
525918	Thiothrix caldifontis	species	83	9	87	385	107
290309	Comamonas granuli	species	43	41	150	1496	673
1495854	Brevundimonas sp. EAKA	species	706	729	658	745	989
34062	Faucicola osloensis	species	1576	975	15902	2798	5081
84998	Coriobacteriia	class	2328	4815	12426	9487	25929
577309	Paraprevotella	genus	358	104	625	1099	4999
3141190	Dialister sp. i34-0019-2H8	species	2047	3746	7581	6206	13721
2924040	Parabacteroides faecalis	species	16	24	42	263	377
2004800	Luteitalea sp.	species	162	86	218	3898	130
2929491	Faecalibacterium wellingii	species	50	41	186	173	489
2633022	unclassified Leptotrichia	no rank	878	463	2338	3199	16068
90426	Methanothrix sp.	species	344	3574	920	982	1186
1527608	Hydromonas duriensis	species	162	94	466	257	1578
327575	Capnocytophaga leadbetteri	species	9	0	15	12	57
157	Treponema	genus	333	280	545	6436	3146
2049022	Catenibacterium sp.	species	2231	7225	6403	5608	12327
2292959	Blautia sp. AF17-9LB	species	17	10	73	32	69
1385	Bacillales	order	1773	2714	5917	9616	22143
286130	Sulfuricurvum	genus	925	55	495	170	5797
74426	Collinsella aerofaciens	species	343	610	1568	700	3008
358220	Acidovorax sp. KKS102	species	103	95	307	1580	1775
1155385	Proteiniclasticum	genus	1113	414	1682	6112	16263
644652	Gordonibacter	genus	147	267	788	510	1386
1907725	Limnohabitans sp.	species	108	131	408	3912	2480
2291710	Dokdonella sp.	species	387	866	1220	9696	6328
3390273	Klebsiella pneumoniae complex	species group	328	131	2017	283	1120
1581011	Sulfurospirillum sp. UCH001	species	280	44	356	161	2444
41297	Sphingomonadaceae	family	727	821	3830	12539	3341
39496	Eubacterium ventriosum	species	358	702	932	556	1741
2816950	Ottowia testudinis	species	200	447	1534	1345	7548
544	Citrobacter	genus	2043	2267	6591	5631	18717
2957809	Sebaldella sp. S0638	species	2442	3273	8589	11176	33374
2653143	Flavobacterium sp. 9R	species	39	23	59	104	1219
713	Actinobacillus	genus	150	76	197	70	174
3020847	Trichococcus sp. K1Tr	species	28	18	58	411	1485
1344552	Noviherbaspirillum	genus	21	14	44	154	236
31957	Propionibacteriaceae	family	897	1766	3667	6838	20227
2855764	Clostridium hydrogenum	species	13	7	23	18	45
33951	Acetobacterium	genus	3087	5115	10070	11422	92049
2484145	Sphingopyxis microcysteis	species	4	16	10	19	16
2293024	Clostridium sp. AM22-11AC	species	800	106	2395	246	4150
60893	Desulfobacca acetoxidans	species	11	72	24	106	52
979970	Acetobacteroides hydrogenigenes	species	331	1315	1769	199	3326
200795	Chloroflexota	phylum	738	19391	1565	17137	3646
1913682	Cloacibacterium sp.	species	1710	1236	6965	2275	11288
1322	Blautia hansenii	species	85	94	410	74	350
159272	uncultured Prevotella sp.	species	186	157	391	841	3657
2049	Actinomycetaceae	family	894	2119	5061	4942	16490
3073581	Hominenteromicrobium sp.	species	795	661	2458	2822	6397
1783257	PVC group	clade	1064	16507	3396	49785	10212
2771471	Sulfurimonadaceae	family	488	52	227	190	2710
1955243	Blautia sp.	species	440	371	1449	637	1820
1872520	Anaeromusa sp.	species	353	571	1747	851	2063
2714855	Nitrosophilus alvini	species	26	0	5	7	21
84567	Pedobacter	genus	343	281	557	1354	3872
1400860	Candidatus Contendibacter odensensis	species	427	731	1036	468075	4289
2981655	Gallintestinimicrobium sp.	species	1375	2752	7319	2893	8471
2701	Gardnerella	genus	152	305	790	529	1625
3073571	Hominilimicola sp.	species	245	257	1144	1155	2113
2820280	Sphingosinicellaceae	family	192	1521	1403	2372	4755
75385	Micropruina glycogenica	species	268	950	2062	1188	3050
490567	Arenimonas	genus	219	1113	565	1438	4636
445	Legionella	genus	205	687	1952	3164	1240
158846	Megamonas	genus	5470	1886	9108	9202	15160
292629	Anaerolineales	order	464	16804	1105	1693	2730
92793	Aquabacterium	genus	466	201	1221	3349	6230
573	Klebsiella pneumoniae	species	2961	3270	21216	9224	20663
2746961	Streptomyces caniscabiei	species	197	515	516	4703	1892
1872629	Arcobacter sp.	species	511	335	221	438	2808
2126740	Clostridium fessum	species	78	23	232	108	382
2782231	Kaistella	genus	763	539	1260	2675	8759
200	Campylobacter curvus	species	50	41	74	18	193
2719313	Enterocloster	genus	1085	285	4365	613	6498
558415	Marinilabiliaceae	family	422	300	877	2329	52830
1282863	Uruburuella testudinis	species	295	920	2880	1445	5441
292800	Flavonifractor plautii	species	132	123	439	542	1165
285	Comamonas testosteroni	species	119	111	796	1000	2413
2982024	Candidatus Brachybacter algidus	species	293	155	467	4637	2818
591373	Paracholeplasma manati	species	1015	713	1926	1019	1519
990	Breznakibacter xylanolyticus	species	193	208	508	481	31812
1934310	Diaphorobacter sp.	species	174	135	628	1874	2889
39483	Faecalitalea cylindroides	species	58	80	231	328	425
261933	Pleomorphomonas	genus	2327	9698	21121	4983	30392
2763661	Bianquea renquensis	species	101	64	365	209	610
1981031	uncultured Mailhella sp.	species	30	91	64	119	302
1329262	Mobilisporobacter senegalensis	species	10	9	28	46	142
3378803	Pilosibacter sp. HC1M1C21	species	43	37	318	80	526
41978	Ruminococcus sp.	species	987	519	2043	4439	6840
3155201	Kitasatospora sp. NPDC093558	species	114	169	527	850	1146
