	ALB.17_ERR1713331_db11.ganon_report.tre	AUS.18_ERR1713332_db11.ganon_report.tre	AUS.18a_ERR1713333_db11.ganon_report.tre	AUT.70_ERR1713334_db11.ganon_report.tre	BGR.66_ERR1713335_db11.ganon_report.tre	BRA.53_ERR1713336_db11.ganon_report.tre	BRA.53a_ERR1713337_db11.ganon_report.tre	BWA.19_ERR1713338_db11.ganon_report.tre	CAN.22_ERR1713339_db11.ganon_report.tre	CAN.22a_ERR1713340_db11.ganon_report.tre	CAN.22b_ERR1713341_db11.ganon_report.tre	CAN.22c_ERR1713342_db11.ganon_report.tre	CHE.67_ERR1713343_db11.ganon_report.tre	CHN.64_ERR1713344_db11.ganon_report.tre	CIV.13_ERR1713345_db11.ganon_report.tre	COL.2_ERR1713346_db11.ganon_report.tre	CZE.23_ERR1713347_db11.ganon_report.tre	DEU.27_ERR1713348_db11.ganon_report.tre	DNK.71_RA_ERR1713349_db11.ganon_report.tre	DNK.71_RD_ERR1713350_db11.ganon_report.tre	DNK.71_RL_ERR1713351_db11.ganon_report.tre	ECU.14_ERR1713352_db11.ganon_report.tre	ECU.14a_ERR1713353_db11.ganon_report.tre	ESP.75_ERR1713354_db11.ganon_report.tre	ETH.24_ERR1713355_db11.ganon_report.tre	FIN.25_ERR1713356_db11.ganon_report.tre	GEO.59_ERR1713357_db11.ganon_report.tre	GHA.4_ERR1713358_db11.ganon_report.tre	HRV.68_ERR1713360_db11.ganon_report.tre	HUN.61_ERR1713361_db11.ganon_report.tre	IND.11_ERR1713362_db11.ganon_report.tre	IRL.69_ERR1713363_db11.ganon_report.tre	IRN.12_ERR1713364_db11.ganon_report.tre	ISL.28_ERR1713365_db11.ganon_report.tre	ISR.29_ERR1713366_db11.ganon_report.tre	ITA.30_ERR1713367_db11.ganon_report.tre	KAZ.6_ERR1713368_db11.ganon_report.tre	KEN.72_ERR1713369_db11.ganon_report.tre	KHM.21_ERR1713370_db11.ganon_report.tre	LKA.40_ERR1713371_db11.ganon_report.tre	LUX.32_ERR1713372_db11.ganon_report.tre	LVA.31_ERR1713373_db11.ganon_report.tre	MDA.65_ERR1713374_db11.ganon_report.tre	MKD.62_ERR1713375_db11.ganon_report.tre	MLT.63_ERR1713376_db11.ganon_report.tre	MYS.54_ERR1713377_db11.ganon_report.tre	NGA.50_ERR1713378_db11.ganon_report.tre	NLD.43_ERR1713379_db11.ganon_report.tre	NOR.34_ERR1713380_db11.ganon_report.tre	NPL.33_ERR1713381_db11.ganon_report.tre	NZL.56_ERR1713382_db11.ganon_report.tre	PAK.7_ERR1713384_db11.ganon_report.tre	PER.35_ERR1713385_db11.ganon_report.tre	POL.36_ERR1713383_db11.ganon_report.tre	SEN.8_ERR1713386_db11.ganon_report.tre	SGP.52_ERR1713387_db11.ganon_report.tre	SRB.37_ERR1713388_db11.ganon_report.tre	SVK.9_ERR1713389_db11.ganon_report.tre	SVN.38_ERR1713390_db11.ganon_report.tre	SWE.41_ERR1713391_db11.ganon_report.tre	SWE.41a_ERR1713392_db11.ganon_report.tre	TCD.1_ERR1713393_db11.ganon_report.tre	TGO.44_ERR1713394_db11.ganon_report.tre	TUR.46_ERR1713395_db11.ganon_report.tre	TZA.15_ERR1713396_db11.ganon_report.tre	USA.74_ERR1713397_db11.ganon_report.tre	USA.74a_ERR1713398_db11.ganon_report.tre	USA.74b_ERR1713399_db11.ganon_report.tre	USA.74c_ERR1713400_db11.ganon_report.tre	USA.74d_ERR1713401_db11.ganon_report.tre	USA.74e_ERR1713402_db11.ganon_report.tre	USA.74f_ERR1713403_db11.ganon_report.tre	USA.74g_ERR1713404_db11.ganon_report.tre	USA.74h_ERR1713405_db11.ganon_report.tre	USA.74i_ERR1713406_db11.ganon_report.tre	VNM.48_ERR1713407_db11.ganon_report.tre	XK.60_ERR1713408_db11.ganon_report.tre	ZAF.39_ERR1713409_db11.ganon_report.tre	ZMB.49_ERR1713410_db11.ganon_report.tre	ZMB.49b_ERR1713411_db11.ganon_report.tre
Pseudoflavonifractor	87	14	23	391	54	35	24	40	8	2	71	100	48	56	26	59	149	43	221	568	264	13	42	74	38	186	2	7	37	16	42	98	48	65	27	70	81	66	19	23	336	67	54	184	72	72	67	8	112	124	30	87	137	130	27	27	202	110	415	429	209	0	47	1	138	100	153	15	154	225	98	14	18	202	150	6	277	84	103	85
Beggiatoa	8	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	7	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	0	9	0	1	1	0	0	0	1	0	8	0	0	0	3	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	13	1	0	31	0	0	0
Collinsella	9469	1111	1461	4642	1444	3598	2262	3644	381	244	2245	9175	1715	928	3922	10459	4578	1681	9481	25064	8778	756	5777	2848	22256	4998	282	225	2064	1207	12504	14631	1379	3127	1349	1766	3313	6628	13264	2154	3859	2493	3298	4286	3530	9409	9157	170	1553	58886	2330	12794	6365	6788	11142	1403	7550	4313	10609	16621	4678	41	257	587	2960	4824	6812	881	14810	17834	10737	4694	2144	22552	4688	237	8824	11447	4632	2993
Stanieria	0	0	0	0	0	0	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gloeocapsa	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1
Cyanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Avipoxvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Molluscipoxvirus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
Thiothrix	739	840	162	30	457	67	187	20	86	133	378	2839	529	677	162	16	275	432	28501	7984	2956	57	7	1825	1765	2170	85	28	9156	95	29	410	1481	3137	14	6762	836	1187	26	25	388	325	1465	325	57	623	156	41	3562	30	750	772	32	126	180	171	102	782	579	877	1524	2	42	55	113	920	194	400	923	299	464	169	275	8887	1895	186	125	183	229	1147
Varicellovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Afipia	41	22	11	26	13	9	15	45	2	0	7	21	5	75	52	15	20	27	5	11	6	7	78	8	12	29	0	50	9	4	45	7	15	1	5	14	19	17	83	10	41	7	13	3	18	34	98	1	11	62	26	35	6	23	36	41	31	22	122	52	28	0	0	6	15	37	22	14	23	32	21	8	2	27	48	16	17	33	9	21
Cytomegalovirus	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphocryptovirus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	6	2	2	2
Rhadinovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Erythrobacter	76	3653	8605	3530	44	111	7453	46	8	6	101	13072	45	448	497	19	96	4126	5767	127	5819	93	42	17	87	26	9	15552	4244	20	38	22	230	58	16	315	103	702	156	35	191	137	86	97	50	4696	29	4622	96	223	23	9316	200	140	9155	84	7678	82	140	199	45	5	578	4	35	94	5712	74	145	16	316	222	23	6891	96	68	185	106	377	132
Streptomonospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulophaga	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0
Tenacibaculum	1	2	1	10	5	0	0	3	0	3	1	2	3	17	1	0	1	0	23	15	9	59	6	0	1	4	1	2	8	0	3	13	4	19	0	5	7	4	0	0	6	7	0	6	11	0	0	0	2	3	58	4	8	4	1	1	2	1	2	10	21	0	6	31	2	0	3	1	0	1	1	0	0	7	0	29	5	0	6	1
Plasmavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphafusellovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Iridovirus	0	0	0	0	0	0	10	0	0	0	3	3	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	20	5	0	1	0	0	0	0	3	0	0	1	0	0	4	0	0	0	7	0	2	2	0	0	0	0	5	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Candidatus Moranella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloriridovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runella	19	47	0	6	24	10	25	1	0	1	2	16	59	274	6	1	13	1	51	35	23	109	4	9	5	8	241	4	12	5	15	12	1	480	0	320	11	5	0	0	19	9	5	14	16	2	1	11	14	0	15	21	6	7	1	3	18	2	3	28	43	1	95	7	8	13	5	47	1	6	1	1	2	15	24	2	16	0	7	3
Mastadenovirus	53	11	18	5	25	3	6	32	2	0	5	11	1	10	137	115	12	8	2	7	3	8	3	6	147	21	34	4	7	1	9	4	15	0	13	6	34	472	105	11	32	8	9	9	2	13	3	2	1	155	1	298	307	4	256	10	11	31	31	14	8	1	2	3	73	6	1	4	7	10	11	2	38	9	11	2	25	27	161	94
Ectothiorhodospira	9	11	0	23	15	15	13	44	3	0	11	224	20	28	41	5	10	25	35	59	43	2	16	14	20	15	1	122	23	7	13	10	16	21	1	33	20	9	16	2	53	32	20	26	9	14	46	0	7	3	4	55	20	14	41	18	33	17	30	46	17	0	649	2	48	14	4	6	34	11	17	6	3	66	28	53	26	22	41	24
Actimicrobium	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Purpureocillium	1	0	0	0	6	0	2	0	0	0	0	3	0	5	3	1	0	1	3	0	1	1	0	3	4	0	0	5	0	0	0	1	0	2	2	1	2	9	0	0	2	0	7	1	2	1	0	0	0	6	0	5	10	1	1	1	0	8	1	0	1	0	0	0	0	12	1	2	0	8	1	0	0	9	11	1	4	0	2	0
Sulfuritalea	2	2	0	3	0	1	19	3	1	1	1	17	4	99	0	1	26	0	13	7	31	4	0	2	7	1	0	1	4	16	17	5	1	3	0	143	7	6	2	0	1	2	2	2	2	1	0	156	9	12	0	0	0	60	5	3	1	3	0	25	0	0	1	1	4	9	0	24	0	2	0	1	0	11	16	7	0	4	2	4
Aviadenovirus	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
Aeribacillus	0	0	22	3	0	0	1	0	0	0	2	5	0	0	0	2	0	1	2	7	0	0	0	6	0	1	0	2	0	0	0	0	0	2	0	0	5	17	0	0	5	0	4	0	5	0	2	0	0	12	1	1	0	0	2	0	3	1	86	2	1	0	10	2	9	209	6	4	3	8	8	0	0	15	21	0	12	0	0	0
Sandaracinus	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Chitinolyticbacter	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	1	0	1	0	0	1	2
Thiocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	7	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	97	0	1	0	0	1	0	0	0	0	0	0	72	0	0	0	0	0
Rhodobacter	209	90	37	155	56	605	278	2982	10	18	132	386	72	677	3561	28	89	58	110	188	107	104	515	74	192	139	23	1030	426	32	285	121	597	90	22	437	365	338	379	57	290	172	349	67	320	258	146	20	56	81	105	2663	491	71	1398	256	144	92	217	258	129	1	748	30	651	212	127	40	318	87	12099	472	162	263	556	11331	190	253	1180	489
Pelistega	0	0	0	5	0	2	1	4	0	0	3	0	0	2	20	0	1	1	0	5	1	0	1	0	54	4	0	0	0	0	0	1	4	0	0	1	0	28	1	1	2	2	1	0	36	0	29	0	0	79	1	13	25	1	90	4	0	0	6	1	0	0	21	0	7	1	1	0	0	4	0	0	0	0	3	0	0	18	17	9
Caulimovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Badnavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus	1204	1550	568	1185	1819	2389	940	1048	149	57	1161	7848	682	1063	1837	82	1447	673	3961	4267	1797	1768	365	1032	4129	1491	164	861	1211	204	1767	1637	2225	910	155	3897	2165	2622	377	478	7670	560	1090	1357	1463	1021	1760	118	1617	336	1317	1111	918	565	711	1961	2978	2101	1193	2282	1457	17	972	2312	2572	2629	685	352	1311	1841	1067	245	214	5086	1514	1280	2008	936	1750	1557
Ensifer	25	40	14	36	19	76	11	184	4	8	24	131	5	20	26	24	28	7	30	52	24	25	131	36	105	35	3	1	23	14	13	34	40	22	7	31	13	37	24	5	161	11	7	13	13	32	30	4	9	23	16	18	176	41	493	5	36	39	38	45	16	0	6	33	4	360	71	18	545	110	545	290	57	185	45	516	23	434	191	49
Tequatrovirus	142	15	447	100	69	200	260	230	9	1	56	25	18	32	203	409	52	60	209	320	207	37	358	14	543	39	1	5	40	16	32	370	132	19	15	90	152	103	1628	544	262	63	211	91	63	18	19	8	48	695	25	5487	3910	113	199	90	115	91	278	147	58	9	9	13	387	45	7	26	115	48	49	8	26	185	93	11	149	298	641	190
Thioalkalivibrio	4	7	1	23	4	0	6	8	3	1	8	9	10	9	1	0	43	6	27	46	14	0	11	2	5	4	0	0	3	0	1	9	4	2	2	6	4	1	2	1	39	9	7	13	5	1	6	2	1	0	10	4	4	8	2	4	14	15	21	6	11	0	1	1	3	3	1	8	5	11	2	0	2	22	13	3	24	4	1	3
Rhodomicrobium	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Trueperella	10	4	7	9	1	3	1	7	2	1	18	15	1	0	26	7	3	4	9	21	4	1	10	0	27	1	0	6	0	0	1	13	0	3	0	2	2	43	4	7	6	3	3	5	1	0	15	0	0	92	1	66	11	15	49	0	15	1	8	13	7	0	2	0	11	16	0	1	1	9	3	3	1	31	6	0	8	7	8	5
Spirosoma	3	0	0	0	0	0	2	1	0	0	0	4	0	10	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	1	1	0	4	2	0	0	0	0	0	1	14	0	0	0	1	1	0	2	0	55	0	2	3	0	1	0	0	15	25	2	0	7	1	0	0	0	1	1	0	0	0	1
Halorussus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
