taxonomy_id	name	rank	ISR.29_ERR1713366_db6.diamond	HUN.61_ERR1713361_db6.diamond	HRV.68_ERR1713360_db6.diamond	FIN.25_ERR1713356_db6.diamond	IRN.12_ERR1713364_db6.diamond	ISL.28_ERR1713365_db6.diamond	GEO.59_ERR1713357_db6.diamond	IRL.69_ERR1713363_db6.diamond	IND.11_ERR1713362_db6.diamond	GHA.4_ERR1713358_db6.diamond
239934	Akkermansia	genus	31018	8694	19214	66542	30089	6689	3012	72945	31367	3274
131567	cellular organisms	cellular root	18634	55827	80689	134944	93985	61194	40598	100149	454232	1066892
265	Paracoccus	genus	2797	2710	11920	16943	16028	4686	1291	64852	7802	7091
310297	Phocaeicola plebeius	species	4944	1477	8979	21733	23731	1614	593	20300	13023	867
204475	Gemmiger	genus	5038	2885	4927	15527	12788	5697	950	34706	35857	1563
32068	Sebaldella	genus	5630	4726	37955	47483	81818	3648	1139	18434	2369	1847
186802	Eubacteriales	order	47103	23758	44873	170300	118430	46898	7304	234514	248411	128689
2742598	Limosilactobacillus	genus	629	158	259	532	406	221	97	642	13378	860
117506	Comamonas denitrificans	species	9608	12638	41802	45368	128920	15250	1711	27076	5639	10811
82802	Trichococcus	genus	21138	24106	248888	344659	7807	129057	33997	249736	7258	6344
80864	Comamonadaceae	family	26259	78792	967931	923049	860086	1254476	513134	1237448	173974	903240
1129771	Leptotrichiaceae	family	9200	4938	146996	174662	102861	21011	3907	36053	3918	3309
227290	Rhizobium/Agrobacterium group	no rank	597	401	1564	2666	1550	475	135	7235	855	557
33024	Phascolarctobacterium	genus	6853	4033	13710	22166	29993	5691	3650	48934	32924	7096
39948	Dialister	genus	33928	14774	48684	136727	89162	10344	13553	163270	194223	3466
1783272	Bacillati	kingdom	18880	30110	44377	129601	59957	29727	7100	88697	283800	501688
1689272	Vitreoscilla massiliensis	species	19782	5798	31967	61752	52243	8175	2713	80031	1732	1432
216572	Oscillospiraceae	family	13682	7506	15485	64383	41100	24812	3325	71233	103719	26362
237	Flavobacterium	genus	11027	21165	349847	238782	277557	1075514	1964290	1043088	29562	37843
2126740	Clostridium fessum	species	27	21	25	83	100	51	7	202	186	28
3046369	Aristaeella	genus	594	613	950	3520	1846	783	120	4629	2397	11218
186801	Clostridia	class	57198	52906	96487	264544	154465	88516	13696	320254	661054	337816
91061	Bacilli	class	11307	5216	27422	71742	20038	26774	8087	38113	45994	18692
261299	Intestinibacter bartlettii	species	1858	467	1250	3512	4364	412	214	5458	2587	460
2811411	Cypionkella sp.	species	7	18	1158	392	79	2880	1091	5310	51	64
561	Escherichia	genus	130	51	126	439	513	83	79	656	2389	64
376	Bradyrhizobium sp.	species	60	256	84	224	117	68	52	199	413	655
12916	Acidovorax	genus	14223	43106	666797	642284	902958	944642	217539	542137	61417	93806
1324796	Pseudoluteimonas lycopersici	species	1466	170	623	6786	475	272	60	253	816	87
2767887	Ligilactobacillus	genus	2721	159	347	926	2110	466	147	1777	30222	351
470	Acinetobacter baumannii	species	2125	675	7618	6079	16143	9454	13302	43305	5406	2201
1239	Bacillota	phylum	74920	72660	166176	426723	224241	98060	21956	329150	915972	583370
239759	Alistipes	genus	1511	2501	7419	26804	8185	22781	5960	17135	101564	7304
2981633	Gallintestinimicrobium	genus	10420	2303	6181	18686	12727	2823	1298	36234	6639	715
2653142	Flavobacterium sp. 9AF	species	5	10	32	24	44	56	98	53	11	9
2941505	Anaerotardibacter muris	species	107	76	178	562	169	149	25	602	330	39
81852	Enterococcaceae	family	1308	572	1722	6471	307	392	124	2094	409	347
2014367	Pseudobutyrivibrio sp.	species	10	20	50	56	69	12	4	39	391	343
33057	Thauera	genus	533	3840	11138	10566	18384	5831	788	12131	6409	283784
141948	Thermomonas	genus	4170	13749	18274	32239	11626	7446	3870	32869	20184	30595
2981636	Huintestinicola	genus	42	43	92	310	174	228	27	838	648	168
102106	Collinsella	genus	3161	2426	4586	11314	3643	6218	695	29460	40640	1105
186826	Lactobacillales	order	8868	6731	47470	153924	23313	31650	5768	55514	40947	4354
3435293	Faecalibacterium langellae	species	164	19	33	235	335	30	1	300	112	7
1730	Eubacterium	genus	838	1334	2318	13799	4002	4206	368	4979	6855	9681
572511	Blautia	genus	5598	4295	7074	13925	9436	8211	967	31355	34123	1851
219181	Ottowia	genus	4205	18986	38501	149373	35197	24876	4134	27502	26238	111199
3115210	Desulfobacterium sp. N47	species	6	125	36	36	60	29	19	15	387	989
481	Neisseriaceae	family	14522	11554	65638	85048	100971	13438	5061	126800	20376	6073
841	Roseburia	genus	1645	1811	2594	8319	7175	5897	516	10136	35360	688
171549	Bacteroidales	order	18321	31147	48618	101044	101546	70843	18607	80590	1151363	1292092
283	Comamonas	genus	8846	8801	49607	60396	145555	83610	36126	111712	32555	13707
745369	Acetoanaerobium noterae	species	951	727	4775	3096	7460	307	122	409	1051	4105
3064195	Brotocaccenecus cirricatena	species	889	327	949	5722	1914	1893	193	4817	6117	331
1030	Thiothrix	genus	1172	456	42964	7618	14917	7291	2037	2124	2393	739
32033	Lysobacteraceae	family	9332	25112	77847	106202	51359	21341	11238	125108	70038	169314
126	Planctomycetaceae	family	248	1098	171	438	165	169	79	279	795	5971
1501662	Streptococcus parasuis	species	219	177	723	4069	1690	401	57	252	995	814
162156	uncultured Bacteroides sp.	species	237	395	655	946	1385	497	137	765	10244	7699
3386177	Candidatus Skiveiella danica	species	676	4890	828	1132	1042	2027	757	966	614	505
2172	Methanobrevibacter	genus	14660	1385	6771	6547	12884	2904	2199	6666	25778	13298
544	Citrobacter	genus	421	124	566	2239	2290	440	362	3321	2714	334
28211	Alphaproteobacteria	class	11179	18076	53538	100952	59742	53596	11979	170836	107112	94023
3141190	Dialister sp. i34-0019-2H8	species	6929	614	1853	4630	38387	1683	5427	7913	37560	1643
1936988	Saprospirales	order	183	904	253	648	194	746	505	441	639	616
335929	Erythrobacteraceae	family	203	481	1310	1915	2613	1083	281	2202	3514	3978
1365	Pseudolactococcus plantarum	species	35	21	81	1757	29	1044	43	107	52	88
218538	Dialister invisus	species	2427	1545	5359	15010	4885	948	644	16588	1448	284
3071705	Polaromonas sp. CG_9.5	species	64	59	877	3669	80	3154	120	4161	62	83
872	Desulfovibrio	genus	3738	2891	13508	34744	15865	4429	1829	12572	415108	23596
28216	Betaproteobacteria	class	10661	26123	224581	265565	213568	389811	133108	222693	312219	274641
543	Enterobacteriaceae	family	7254	2340	9374	39150	33058	15959	12529	59577	161930	6243
92757	[Mycoplasma] cavipharyngis	species	1	0	2	0	1	0	0	1	5	5
31953	Bifidobacteriaceae	family	2326	1264	3738	8720	2347	2067	376	15133	66530	638
85007	Mycobacteriales	order	866	486	882	3934	1025	817	295	1535	7575	8391
186831	Acetoanaerobium	genus	5652	3925	28441	19835	41461	1498	753	2695	4912	8149
976	Bacteroidota	phylum	17922	93337	181260	240247	473255	404593	472091	487763	707772	2083570
1350	Enterococcus	genus	4020	4856	17415	59498	2326	2932	947	21935	4508	2272
970	Selenomonas	genus	601	198	662	7250	2453	882	145	6979	130485	2017
180162	Cetobacterium	genus	106	105	438	605	349	91	33	196	1360	99
1762	Mycobacteriaceae	family	2535	1415	1653	6479	3766	2399	655	5337	34840	7088
278064	uncultured Dialister sp.	species	3153	1055	4071	8591	5206	988	704	10181	11599	551
3143208	Coprococcus sp. RTP21281st1_F1_RTP21281_210402	species	12	3	5	6	34	13	3	28	9	3
1495854	Brevundimonas sp. EAKA	species	1183	266	570	932	1220	2745	930	2327	1644	2067
501783	Cloacibacterium	genus	4124	7051	154518	167418	1597899	506788	18683	20304	340376	21295
893	Desulfobulbus	genus	1280	1734	11703	17177	3389	1618	783	2194	5127	264694
34062	Faucicola osloensis	species	915	223	4061	3131	20957	6464	8667	7177	1644	656
1335613	Gordonibacter urolithinfaciens	species	29	9	26	79	38	4	3	75	65	132
108437	Comamonas nitrativorans	species	144	267	929	895	3209	472	67	728	546	559
2171986	Candidatus Saccharimonadaceae	family	140	196	627	1422	326	375	93	350	5928	3015
263370	Peredibacter	genus	113	248	3085	1156	2581	4777	406	2617	739	302
468	Moraxellaceae	family	7366	4316	59288	53559	159432	114463	234984	289729	22608	11302
2738	Vagococcus fluvialis	species	514	152	367	754	117	78	23	402	70	73
2815795	unclassified Bilifractor	no rank	19	7	14	21	28	3	2	15	378	53
2933270	Pseudomarimonas salicorniae	species	4	22	44	28	36	14	8	91	43	125
292629	Anaerolineales	order	321	3013	631	2417	458	950	196	284	9349	310058
2771188	Microcystis sp. M38BS1	species	233	12	132	76	1052	30	22	1267	14	7
816	Bacteroides	genus	2831	7630	15049	23283	19037	22478	5000	25729	251120	44763
206351	Neisseriales	order	1318	987	6332	8542	7620	2677	583	9395	13231	772
31979	Clostridiaceae	family	363	521	1062	6039	987	702	165	1194	10558	3698
181070	Proteocatella sphenisci	species	1834	2350	15859	17248	16516	808	392	1514	624	683
3085642	Butyricicoccaceae	family	370	232	433	1540	903	734	136	1941	3628	1003
34037	Rahnella	genus	531	16	134	1603	544	1144	2015	3176	1231	1039
273376	Parasphaerochaeta coccoides	species	5	55	14	32	10	5	0	8	86	209
573	Klebsiella pneumoniae	species	1641	938	5412	9803	9764	9664	9078	15374	27846	5899
673862	Candidatus Babela massiliensis	species	7	6	13	21	13	13	2	23	258	329
2049022	Catenibacterium sp.	species	2834	768	2575	5472	6784	716	925	7483	6377	436
59	Vitreoscilla	genus	7579	2290	12111	23301	18772	3179	1009	34403	858	585
1357	Lactococcus	genus	1170	207	931	26081	1195	1419	229	2177	92764	474
84107	Coriobacteriaceae	family	627	522	934	2224	744	1261	144	6105	7984	288
2892396	Vescimonas	genus	1933	737	1767	9733	6348	2096	579	6896	12698	794
2620870	unclassified Cloacibacterium	no rank	50	79	1325	1301	13719	3376	244	273	2979	166
2316020	Mediterraneibacter	genus	1326	1311	2461	4705	2339	3579	358	16532	9639	544
526525	Erysipelotrichales	order	1109	565	1201	3008	2433	805	309	4420	6547	771
3073575	Hominenteromicrobium	genus	86	32	53	332	137	110	16	586	188	38
204457	Sphingomonadales	order	2922	8218	13152	31850	21916	36693	6791	48646	45195	25482
2984193	Ideonella lacteola	species	2	11	34	27	9	30	13	72	24	22
189330	Dorea	genus	2463	1593	3020	6129	3412	2866	508	20685	10810	489
83618	Pseudoxanthomonas	genus	3625	19095	81262	63685	42706	10119	4800	54944	25221	96612
135614	Lysobacterales	order	1841	5128	14339	25226	8801	6049	2210	24937	18126	30913
2206	Methanosarcinaceae	family	20	94	135	152	82	94	14	39	624	4664
76831	Myroides	genus	43	27	168	137	403	139	149	258	315	204
613	Serratia	genus	342	39	198	1794	255	630	3870	11321	895	183
649777	Synergistaceae	family	2611	6737	8490	14852	14658	1715	1201	4875	46240	161250
41275	Brevundimonas	genus	2530	2897	13739	21554	25259	8772	4343	83923	29680	5970
2487334	Ferruginibacter sp. HRS2-29	species	25	218	59	503	63	187	65	265	112	288
826	Sebaldella termitidis	species	4113	2326	17581	14698	38310	1505	624	5362	1075	1178
1892844	Hyphomicrobium sp. CS1BSMeth3	species	22	62	46	39	39	35	4	76	45	96
2737536	Micropruina sp.	species	103	302	993	3184	1108	591	127	980	1215	505
82688	Liquorilactobacillus nagelii	species	15	3	2	133	3	14	2	44	497	8
1917873	Pygmaiobacter massiliensis	species	271	50	236	273	136	51	9	76	1448	557
909932	Negativicutes	class	6507	3117	23337	38457	27313	5932	2842	21344	364149	48275
135621	Pseudomonadaceae	family	2353	4649	23853	26993	19536	23711	130151	55605	44360	20819
152267	Pigmentiphaga	genus	76	16	43	93	53	86	16	139	152	68
853	Faecalibacterium prausnitzii	species	3355	833	1281	6166	8726	1421	242	9576	5842	415
1288636	Ornithinimicrobium flavum	species	1	0	1	2	2	1	0	0	0	162
80840	Burkholderiales	order	15482	41992	405626	460409	387427	964517	397011	629064	137196	300861
2762318	Weeksellaceae	family	6420	5200	113281	194900	722393	247894	124125	280018	167633	17255
3160839	Xanthomonas tesorieronis	species	1	0	2	5	2	2	0	6	2	2
2782232	Chryseobacterium group	no rank	2233	5451	55491	132308	68850	79183	344219	595417	23330	14080
356	Hyphomicrobiales	order	8409	6961	16998	45432	18870	8883	1982	53489	33770	17679
204455	Rhodobacterales	order	3097	4284	25972	35267	22336	32974	7215	76536	18382	49072
1501226	Romboutsia	genus	888	159	327	409	673	97	104	1013	628	402
95818	Candidatus Saccharimonadota	phylum	902	1291	4810	11041	2303	2648	443	2619	23874	19635
2719034	Candidatus Neomicrothrix sp.	species	1297	10658	183	509	100	249	59	199	139	177
200643	Bacteroidia	class	1406	15161	8650	12620	13311	8631	2523	5400	155843	607212
2292706	Flagellimonas nanhaiensis	species	30	2	8	16	65	2	6	33	12	4
48461	Verrucomicrobiales	order	605	321	554	1163	658	240	115	1384	1060	19355
3436058	Pseudolactococcus	genus	5312	1658	19811	338280	1363	58214	6134	58405	1921	2105
2653714	Rectinema subterraneum	species	208	4302	110	212	58	312	42	103	7913	754
2593683	Ancrocorticia	genus	104	113	816	466	380	131	49	154	217	3871
200644	Flavobacteriales	order	6729	9543	160326	222835	691114	330603	313565	410300	188994	39804
2358	Desulfomonile tiedjei	species	85	83	225	227	193	90	26	66	1026	6315
713	Actinobacillus	genus	18	5	51	70	818	33	37	138	40	35
649756	Anaerostipes hadrus	species	271	534	749	1037	559	376	33	2100	621	81
68287	Mesorhizobium	genus	148	234	371	889	438	335	46	820	743	583
239745	uncultured Desulfobulbus sp.	species	3734	5158	32010	32186	11656	3493	1899	4734	12373	1403834
91347	Enterobacterales	order	5088	1529	6570	44628	21897	17766	13922	111508	116572	6236
445219	Reyranella	genus	7976	652	1034	2030	1038	898	222	1688	6245	966
3073565	Hominilimicola	genus	3595	723	1425	6124	3048	929	295	9255	4663	291
487173	Dialister succinatiphilus	species	401	97	346	557	2356	124	213	751	6429	138
59620	uncultured Clostridium sp.	species	1124	610	1998	4193	3737	723	218	3435	7422	1217
57706	Citrobacter braakii	species	19	6	29	46	80	14	39	138	189	7
165179	Segatella copri	species	4128	1264	1565	3067	15183	2389	1676	8141	62289	1813
20	Phenylobacterium	genus	882	2860	6714	10997	8115	2675	1061	22428	4505	4384
1385	Bacillales	order	1247	1994	4972	8112	5565	2074	979	4860	14166	25261
29465	Veillonella	genus	2414	1313	5429	16751	11338	2474	988	15646	270380	2980
445	Legionella	genus	350	76	841	722	794	337	65	483	1114	1167
191	Azospirillum	genus	182	38	88	121	93	89	13	183	1037	1200
2808963	Arcobacteraceae	family	8475	58602	191301	155137	190792	32451	6564	74196	237622	22755
858632	Streptomyces sp. JV178	species	13	4	20	49	65	8	1	35	73	1694
72273	Thiotrichales	order	366	88	5854	678	5943	811	711	548	955	489
1301	Streptococcus	genus	11940	7515	26970	172094	182226	17055	2752	16136	69222	5790
191216	uncultured Microbacterium sp.	species	17	24	273	305	66	104	46	1273	266	87
1207057	Ottowia beijingensis	species	2112	5661	7912	57591	26152	2370	1423	2299	4765	61434
2163168	Kineothrix	genus	43	43	171	264	182	51	5	53	1388	162
1366	Pseudolactococcus raffinolactis	species	1988	468	6437	95424	564	17772	1697	20318	534	633
475	Moraxella	genus	885	223	1381	2439	108270	2414	2921	2321	1068	875
57665	Sulfurospirillum	genus	231	1374	20534	5409	1950	1636	803	2924	100636	515
41294	Nitrobacteraceae	family	678	1003	751	3132	1424	1262	196	2509	2010	3810
1676125	Thermogutta	genus	32	206	78	129	62	65	20	40	810	9963
2847320	Tractidigestivibacter sp.	species	7	9	9	77	10	5	0	27	597	112
2509240	Blautia faecicola	species	29	19	26	96	63	45	11	249	176	13
31977	Veillonellaceae	family	3071	1067	3393	10390	9006	948	1384	11719	39613	665
2722793	Tepidanaerobacter sp. GT38	species	11	13	2	19	6	9	1	3	30	151
307628	Petrimonas	genus	257	1164	1896	3164	3706	777	665	933	7825	557839
222	Achromobacter	genus	219	106	452	710	736	494	173	2805	1886	294
158846	Megamonas	genus	2242	1248	3540	1361	28399	1235	693	10393	80684	620
1263	Ruminococcus	genus	1208	1474	1977	5843	3887	3691	411	6613	14506	3613
1720198	Actinomyces provencensis	species	6	10	69	94	22	19	1	54	261	120
2685852	unclassified Moraxella	no rank	78	26	485	620	2238	952	1436	797	164	106
2419774	Protaetiibacter intestinalis	species	7	2	9	58	2	1	2	6	15	11
286140	uncultured Megamonas sp.	species	109	50	130	290	313	43	32	234	833	104
2810280	Coprobacillaceae	family	2956	1804	3908	6478	4379	1862	752	14893	19078	1923
885	Desulfovibrio sp.	species	338	292	1500	3002	1554	483	206	799	57518	2179
861	Fusobacterium ulcerans	species	49	23	97	75	98	12	4	83	151	70
207244	Anaerostipes	genus	2499	4350	6112	9344	5210	3096	376	18558	4466	526
1629	Weissella viridescens	species	2169	466	1327	1893	2340	5356	1841	4267	3126	3990
1573535	Holdemanella	genus	1790	613	1448	2101	1871	1098	226	6810	5159	474
1470540	Jeotgalibaca	genus	116	97	676	1057	138	182	39	678	33	100
2321111	Aliarcobacter	genus	5915	47200	83508	32586	143077	12110	2318	31172	92269	16799
1715348	Sandaracinobacter neustonicus	species	95	49	184	704	93	98	31	321	4190	1916
1649459	Hungatella	genus	183	167	223	397	581	174	51	358	1682	1049
1434006	Fretibacterium	genus	75	61	235	1055	331	29	68	268	630	1696
196816	unclassified Acinetobacter	no rank	1323	799	20793	10581	8500	14304	49192	206260	1290	1491
28117	Alistipes putredinis	species	1278	665	2477	6179	3120	1601	496	5884	9210	755
51671	Microbacterium sp.	species	95	187	918	1165	739	333	47	1535	3030	712
2957809	Sebaldella sp. S0638	species	627	472	3476	5743	9908	393	106	1976	246	286
2011015	Pseudomonas laurylsulfatiphila	species	37	2	60	39	266	12	294	174	30	12
41978	Ruminococcus sp.	species	737	911	1301	3300	3392	1328	222	3854	5352	2132
1898956	Ottowia sp.	species	2274	15166	31169	93674	12764	21025	2867	18461	20999	45370
346096	Paludibacter	genus	261	853	1730	3304	3111	2686	533	915	55112	180532
59734	Empedobacter	genus	2926	159	739	14198	124142	2390	375	6454	964	725
186828	Carnobacteriaceae	family	2445	2510	25772	35854	1103	13058	3429	26060	809	885
201174	Actinomycetota	phylum	2667	5573	4634	11216	2885	2690	927	10326	28213	21170
1843490	Sporomusaceae	family	1152	757	8244	11101	6922	2382	898	2201	506048	12906
3378765	Bradyrhizobium sp. RDM4	species	4	2	0	0	4	0	0	1	4	10
2665161	Acinetobacter faecalis	species	61	34	377	400	606	296	717	6564	47	51
198437	uncultured Gordonia sp.	species	83	20	66	62	33	24	11	115	98	188
2173	Methanobrevibacter smithii	species	1050	343	1400	3182	2882	484	149	2926	2295	441
1285901	Tessaracoccus defluvii	species	83	209	1769	5845	385	195	51	766	90	607
1006576	Defluviitoga tunisiensis	species	1421	21	5	649	289	819	3	5	594	820
1965304	Intestinibacter sp.	species	836	386	1328	2060	4354	271	150	1924	6279	605
2613769	unclassified Rhizobium	no rank	64	41	216	450	320	95	40	1038	371	156
2569097	Anaerobutyricum	genus	1022	1444	2420	3327	2138	1095	225	12828	3183	263
1783257	PVC group	clade	1181	3964	2194	2834	1993	1278	446	1814	12915	110720
34028	Comamonas sp.	species	79	101	1002	897	1257	2250	2060	2789	479	294
2737	Vagococcus	genus	3506	972	1479	2164	285	232	80	719	251	472
2040	Aeromicrobium	genus	665	184	448	472	326	160	15	159	257	844
68295	Thermoanaerobacterales	order	62	21	5	31	19	23	0	7	58	192
529	Brucella anthropi	species	25	14	48	68	326	16	7	161	44	31
68336	Bacteroidota/Chlorobiota group	clade	797	7063	5645	7621	10999	10710	10653	10788	39191	151204
562	Escherichia coli	species	3889	1205	7321	9629	21437	12577	9671	20398	33928	4937
28111	Bacteroides eggerthii	species	35	36	125	258	256	383	279	385	2185	315
2601088	Acinetobacter sp. YH12099	species	3	2	8	2	12	13	8	86	0	3
497	Psychrobacter	genus	6630	6341	51036	88603	27773	10155	10111	470804	7750	12508
2004797	Luteitalea	genus	126	136	251	1201	812	251	66	779	1009	2997
1843491	Selenomonadaceae	family	2082	693	2496	17171	8103	1945	473	9258	340182	4846
43668	Brachybacterium	genus	74	22	62	176	87	78	20	216	343	507
2049021	Butyricicoccus sp.	species	211	190	371	1115	1026	280	79	1847	881	1356
245	Flavobacterium aquatile	species	19	30	310	84	299	585	3582	543	20	45
670	Vibrio parahaemolyticus	species	105	96	629	708	703	1027	1030	778	1118	812
1921001	Candidatus Bealeia paramacronuclearis	species	27	66	26	129	21	8	11	16	222	38
68	Lysobacter	genus	201	266	1321	2882	660	1435	528	3299	803	624
2982024	Candidatus Brachybacter algidus	species	675	2203	965	2991	658	1039	217	1328	1107	1196
83614	Luteimonas	genus	693	842	2488	3318	1882	623	182	2804	3263	11490
1986204	Candidatus Brevifilum fermentans	species	150	2958	365	955	238	251	76	161	2115	195543
2052943	Trichococcus alkaliphilus	species	49	35	375	508	9	279	65	409	15	14
159275	uncultured Selenomonas sp.	species	45	11	57	351	156	67	7	377	8132	228
1082851	Comamonas serinivorans	species	1112	111	337	1905	7895	409	153	2792	1168	221
587753	Pseudomonas chlororaphis	species	5	5	57	50	88	30	780	113	23	55
1968276	Spirosoma terrae	species	24	26	68	55	142	26	14	30	78	72
610251	Lactococcus fujiensis	species	5	2	1	41	2	5	0	3	15	2
2890311	Klebsiella/Raoultella group	no rank	253	95	407	3056	582	2732	230	8347	5508	166
1872102	Acidaminobacter sp.	species	11	37	118	235	104	40	14	35	335	372
31989	Paracoccaceae	family	984	1299	8398	8830	8395	16746	3509	31906	4784	10685
1300	Streptococcaceae	family	1734	766	6099	78780	7795	13357	1382	13616	11708	738
1971895	Thermomonas sp.	species	1087	16154	5614	8949	2888	2088	1168	9045	4916	5018
82803	Trichococcus flocculiformis	species	1198	665	7615	10955	290	7032	979	6356	322	1006
1849015	Arcobacter acticola	species	243	1876	11182	4332	287	494	232	3452	265	114
1506599	uncultured Agitococcus sp.	species	844	321	352	81	463	227	112	352	122	46
3420582	Candidatus Pseudoscillospira sp. SGI.172	species	14	2	7	55	26	10	5	33	176	107
503361	Flavobacterium sasangense	species	117	212	2242	910	4680	2715	1231	1334	109	144
1332264	Tessaracoccus aquimaris	species	33	50	181	799	114	137	9	358	73	94
470934	Pantoea vagans	species	3	0	0	5	4	2	6	13	3	4
1982626	Faecalibacillus intestinalis	species	774	342	1100	2722	2783	516	170	3217	1743	202
2292980	Blautia sp. OF03-13	species	13	2	10	19	13	16	1	58	45	2
2070672	Pseudomonas sp. FW215-T2	species	2	0	3	1	56	1	23	5	1	0
1965316	Moheibacter sp.	species	1	35	59	46	47	11	7	143	35	145
3349636	Terrimonas alba	species	7	16	11	25	8	50	10	8	24	267
838	Prevotella	genus	380	352	285	1020	1811	1044	259	1000	14932	1877
83771	Succinivibrio dextrinosolvens	species	61	11	42	58	471	27	40	70	978	43
2491048	Leptotrichia sp. OH3620_COT-345	species	191	84	2316	2812	2889	327	63	499	102	71
506	Alcaligenaceae	family	610	541	3471	6347	4325	1550	939	5725	3991	6785
3414159	Akkermansia sp. JRP_AM1	species	20	8	12	52	25	7	3	37	15	1
2159	Methanobacteriaceae	family	911	364	560	633	818	298	189	407	6109	18378
3085097	Candidatus Promineifilaceae	family	197	710	29	73	54	60	5	21	109	1040
299568	Uruburuella	genus	1716	1434	6365	6722	7840	1548	489	19217	1275	742
85413	Bosea	genus	926	2364	7063	10172	5435	1693	368	20616	3879	2291
40544	Sutterella	genus	551	208	521	843	521	648	145	1959	6167	122
2678885	Faecalibacillus	genus	2268	1432	3227	8346	2633	1892	324	14403	3690	393
1274384	Enterococcus alcedinis	species	23	18	50	185	6	7	0	68	1	6
1485	Clostridium	genus	2129	2217	5504	6925	6641	3148	584	7512	93440	10910
1506	Clostridium sp.	species	611	473	1304	1739	3429	476	205	1817	7382	2026
2767079	Candidatus Binatus	genus	4	32	12	26	10	12	8	19	198	757
203557	Verrucomicrobiaceae	family	1475	1832	2100	2234	1608	1069	367	2640	2699	53145
1646498	Acinetobacter sp. TTH0-4	species	4	4	156	28	38	38	503	848	5	4
1134435	Thauera humireducens	species	16	50	172	128	375	75	27	153	169	1166
28196	Arcobacter	genus	1411	6334	59092	46915	6699	8370	2069	23218	19383	1302
74201	Verrucomicrobiota	phylum	918	2812	2116	2432	1359	1079	363	2109	8603	56873
1855303	Pseudoxanthomonas sp. CF125	species	16	7	84	94	14	22	9	231	10	16
1869339	Polaromonas sp.	species	72	179	1821	1886	713	2813	1565	3790	351	585
49546	Flavobacteriaceae	family	3298	7620	76844	61304	76132	208043	355628	240631	19160	47200
350	Zoogloea ramigera	species	23	132	1081	472	886	717	109	215	305	382
375288	Parabacteroides	genus	843	1426	3471	6953	9618	7185	1978	8462	58223	10885
203491	Fusobacteriales	order	2383	1904	41317	47757	26524	5883	1101	10282	24713	1139
1184387	Mesotoga prima	species	120	342	197	203	217	50	32	73	593	8896
879969	Macellibacteroides fermentans	species	713	2225	17828	17287	24099	3384	1688	2879	92862	69293
2812896	Leptolyngbya sp. 7M	species	608	738	440	3791	558	1091	127	1286	1487	478
85006	Micrococcales	order	1519	3369	11082	20236	4842	4826	1496	26278	7420	23611
75309	Rhodanobacter	genus	28	32	116	1623	58	206	38	375	318	226
2633315	unclassified Thermomonas	no rank	62	795	443	843	471	198	41	559	648	1575
1349	Streptococcus uberis	species	23	12	44	157	289	15	10	23	60	29
1033	Afipia	genus	123	81	106	438	122	88	18	442	241	62
240167	Thermovibrio guaymasensis	species	259	9	52	44	585	28	22	413	38	44
1969726	Sulfurovum sp.	species	230	21	201	135	1010	39	36	311	258	110
