taxonomy_id	name	rank	CAN.22a_ERR1713340_db6.diamond	CAN.22_ERR1713339_db6.diamond	AUS.18a_ERR1713333_db6.diamond	AUS.18_ERR1713332_db6.diamond	AUT.70_ERR1713334_db6.diamond	BWA.19_ERR1713338_db6.diamond	BRA.53_ERR1713336_db6.diamond	BGR.66_ERR1713335_db6.diamond	BRA.53a_ERR1713337_db6.diamond	ALB.17_ERR1713331_db6.diamond	DEU.27_ERR1713348_db6.diamond	CHE.67_ERR1713343_db6.diamond	ECU.14a_ERR1713353_db6.diamond	CAN.22b_ERR1713341_db6.diamond	ESP.75_ERR1713354_db6.diamond	COL.2_ERR1713346_db6.diamond	CIV.13_ERR1713345_db6.diamond	DNK.71_RL_ERR1713351_db6.diamond	CAN.22c_ERR1713342_db6.diamond	ETH.24_ERR1713355_db6.diamond	DNK.71_RA_ERR1713349_db6.diamond	CHN.64_ERR1713344_db6.diamond	CZE.23_ERR1713347_db6.diamond	DNK.71_RD_ERR1713350_db6.diamond	ECU.14_ERR1713352_db6.diamond	ISR.29_ERR1713366_db6.diamond	HUN.61_ERR1713361_db6.diamond	HRV.68_ERR1713360_db6.diamond	FIN.25_ERR1713356_db6.diamond	IRN.12_ERR1713364_db6.diamond	ISL.28_ERR1713365_db6.diamond	GEO.59_ERR1713357_db6.diamond	IRL.69_ERR1713363_db6.diamond	IND.11_ERR1713362_db6.diamond	GHA.4_ERR1713358_db6.diamond	LVA.31_ERR1713373_db6.diamond	MDA.65_ERR1713374_db6.diamond	MLT.63_ERR1713376_db6.diamond	MKD.62_ERR1713375_db6.diamond	KAZ.6_ERR1713368_db6.diamond	KEN.72_ERR1713369_db6.diamond	KHM.21_ERR1713370_db6.diamond	LUX.32_ERR1713372_db6.diamond	LKA.40_ERR1713371_db6.diamond	ITA.30_ERR1713367_db6.diamond	NLD.43_ERR1713379_db6.diamond	MYS.54_ERR1713377_db6.diamond	NGA.50_ERR1713378_db6.diamond	POL.36_ERR1713383_db6.diamond	PER.35_ERR1713385_db6.diamond	NOR.34_ERR1713380_db6.diamond	NPL.33_ERR1713381_db6.diamond	PAK.7_ERR1713384_db6.diamond	SEN.8_ERR1713386_db6.diamond	NZL.56_ERR1713382_db6.diamond	TCD.1_ERR1713393_db6.diamond	SVK.9_ERR1713389_db6.diamond	SGP.52_ERR1713387_db6.diamond	SRB.37_ERR1713388_db6.diamond	SVN.38_ERR1713390_db6.diamond	TUR.46_ERR1713395_db6.diamond	SWE.41a_ERR1713392_db6.diamond	TZA.15_ERR1713396_db6.diamond	SWE.41_ERR1713391_db6.diamond	TGO.44_ERR1713394_db6.diamond	USA.74b_ERR1713399_db6.diamond	USA.74a_ERR1713398_db6.diamond	USA.74d_ERR1713401_db6.diamond	USA.74c_ERR1713400_db6.diamond	USA.74_ERR1713397_db6.diamond	USA.74g_ERR1713404_db6.diamond	USA.74f_ERR1713403_db6.diamond	USA.74e_ERR1713402_db6.diamond	USA.74i_ERR1713406_db6.diamond	USA.74h_ERR1713405_db6.diamond	ZAF.39_ERR1713409_db6.diamond	ZMB.49b_ERR1713411_db6.diamond	ZMB.49_ERR1713410_db6.diamond	XK.60_ERR1713408_db6.diamond	VNM.48_ERR1713407_db6.diamond
44	Melittangium	genus	0.0	0.0	2.0	0.0	5.0	11.0	2.0	4.0	21.0	7.0	0.0	8.0	5.0	3.0	4.0	81.0	16.0	10.0	4.0	4.0	20.0	330.0	8.0	10.0	1.0	0.0	2.0	1.0	2.0	3.0	3.0	1.0	2.0	16.0	50.0	7.0	0.0	1.0	5.0	6.0	7.0	41.0	13.0	13.0	116.0	17.0	2.0	14.0	5.0	2.0	20.0	4.0	24.0	1.0	2.0	0.0	2.0	17.0	1.0	8.0	1.0	6.0	3.0	9.0	4.0	17.0	1.0	1.0	3.0	42.0	0.0	5.0	7.0	38.0	9.0	2.0	7.0	3.0	1.0	4.0
47	Archangium	genus	6.0	2.0	7.0	17.0	36.0	107.0	24.0	36.0	281.0	27.0	8.0	50.0	56.0	16.0	17.0	272.0	117.0	96.0	63.0	38.0	250.0	3550.0	91.0	62.0	31.0	7.0	27.0	13.0	38.0	18.0	38.0	9.0	24.0	139.0	587.0	21.0	14.0	39.0	17.0	28.0	63.0	502.0	55.0	14.0	1019.0	175.0	30.0	385.0	99.0	33.0	154.0	39.0	191.0	55.0	25.0	3.0	39.0	158.0	14.0	79.0	19.0	44.0	73.0	186.0	91.0	188.0	27.0	38.0	25.0	568.0	5.0	33.0	18.0	272.0	52.0	8.0	266.0	63.0	29.0	33.0
50	Chondromyces	genus	0.0	2.0	1.0	17.0	15.0	32.0	13.0	10.0	3726.0	22.0	4.0	38.0	29.0	1.0	8.0	23.0	13.0	46.0	19.0	7.0	74.0	3503.0	22.0	22.0	2.0	2.0	16.0	3.0	8.0	5.0	21.0	2.0	9.0	88.0	97.0	3.0	25.0	13.0	6.0	14.0	19.0	82.0	14.0	3.0	996.0	150.0	9.0	35.0	33.0	6.0	131.0	27.0	77.0	28.0	21.0	4.0	21.0	46.0	5.0	54.0	2.0	17.0	222.0	78.0	16.0	117.0	9.0	11.0	17.0	435.0	10.0	22.0	8.0	69.0	20.0	3.0	14.0	17.0	10.0	6.0
53	Nannocystis	genus	19.0	12.0	13.0	54.0	275.0	232.0	316.0	1165.0	835.0	304.0	64.0	308.0	340.0	39.0	167.0	248.0	265.0	1146.0	212.0	99.0	946.0	258973.0	355.0	372.0	63.0	68.0	101.0	212.0	97.0	82.0	159.0	164.0	156.0	255.0	750.0	94.0	180.0	665.0	270.0	92.0	307.0	1003.0	328.0	65.0	76539.0	3766.0	181.0	619.0	408.0	158.0	443.0	312.0	728.0	962.0	285.0	17.0	321.0	525.0	82.0	370.0	103.0	334.0	203.0	1105.0	211.0	2955.0	308.0	164.0	157.0	13459.0	161.0	118.0	167.0	1657.0	259.0	79.0	213.0	290.0	168.0	140.0
55	Polyangium	genus	14.0	6.0	10.0	58.0	121.0	283.0	45.0	97.0	698.0	116.0	21.0	364.0	154.0	20.0	75.0	207.0	187.0	277.0	147.0	67.0	508.0	23595.0	325.0	168.0	25.0	18.0	93.0	48.0	63.0	25.0	96.0	48.0	58.0	374.0	483.0	19.0	57.0	95.0	62.0	93.0	169.0	1058.0	156.0	41.0	6612.0	1129.0	80.0	527.0	140.0	46.0	727.0	278.0	249.0	173.0	84.0	4.0	85.0	361.0	43.0	207.0	26.0	154.0	412.0	387.0	91.0	1671.0	86.0	133.0	63.0	11118.0	46.0	77.0	77.0	540.0	84.0	57.0	67.0	140.0	74.0	62.0
59	Vitreoscilla	genus	4582.0	2762.0	6749.0	24292.0	14267.0	1206.0	23782.0	13526.0	718.0	40810.0	11751.0	8825.0	606.0	40042.0	37437.0	549.0	6982.0	22606.0	55063.0	105141.0	20754.0	2005.0	19935.0	64696.0	20121.0	7579.0	2290.0	12111.0	23301.0	18772.0	3179.0	1009.0	34403.0	858.0	585.0	4713.0	31351.0	11874.0	15003.0	27743.0	14711.0	487.0	45999.0	594.0	21615.0	403.0	691.0	1767.0	10725.0	27643.0	11841.0	4346.0	3449.0	2006.0	21526.0	148.0	13389.0	841.0	24528.0	63836.0	3847.0	15879.0	19744.0	60672.0	751.0	1651.0	9571.0	33396.0	12907.0	18281.0	2608.0	1662.0	33909.0	41082.0	136277.0	9040.0	3616.0	5062.0	56949.0	796.0
64	Herpetosiphon	genus	32.0	7.0	8.0	20.0	60.0	331.0	18.0	93.0	188.0	39.0	42.0	487.0	72.0	1301.0	52.0	142.0	121.0	324.0	222.0	63.0	217.0	1076.0	220.0	537.0	5.0	8.0	40.0	39.0	535.0	20.0	153.0	7.0	25.0	123.0	806.0	66.0	42.0	19.0	18.0	60.0	73.0	382.0	214.0	12.0	431.0	135.0	41.0	129.0	213.0	54.0	181.0	76.0	176.0	60.0	40.0	6.0	144.0	226.0	71.0	239.0	6.0	395.0	348.0	606.0	59.0	203.0	102.0	246.0	66.0	479.0	19.0	78.0	40.0	251.0	239.0	25.0	28.0	89.0	308.0	27.0
68	Lysobacter	genus	221.0	488.0	231.0	1888.0	1513.0	496.0	626.0	4203.0	823.0	1451.0	1402.0	3579.0	501.0	1354.0	2350.0	377.0	989.0	2339.0	2803.0	1559.0	82725.0	4084.0	2358.0	6053.0	2510.0	201.0	266.0	1321.0	2882.0	660.0	1435.0	528.0	3299.0	803.0	624.0	992.0	1815.0	591.0	1150.0	1233.0	1739.0	1314.0	4873.0	273.0	4274.0	380.0	756.0	1972.0	1054.0	1426.0	5050.0	2123.0	1537.0	602.0	3825.0	12.0	3417.0	890.0	2335.0	2066.0	164.0	2597.0	824.0	3567.0	208.0	4580.0	1316.0	1592.0	5611.0	2631.0	197.0	379.0	740.0	1722.0	8734.0	370.0	706.0	747.0	1811.0	683.0
75	Caulobacter	genus	235.0	200.0	140.0	834.0	673.0	182.0	1088.0	1623.0	745.0	808.0	297.0	281.0	396.0	870.0	2400.0	139.0	256.0	868.0	21836.0	304.0	903.0	4878.0	710.0	1093.0	492.0	66.0	106.0	194.0	816.0	308.0	680.0	97.0	2102.0	2923.0	249.0	354.0	446.0	235.0	485.0	756.0	261.0	347.0	2210.0	395.0	902.0	210.0	3890.0	296.0	974.0	166.0	1167.0	184.0	739.0	127.0	3498.0	4.0	1017.0	2625.0	590.0	403.0	211.0	1470.0	542.0	1764.0	2036.0	1267.0	2600.0	1635.0	671.0	4968.0	149.0	408.0	1904.0	833.0	1615.0	210.0	239.0	312.0	657.0	4827.0
81	Hyphomicrobium	genus	194.0	137.0	352.0	171.0	1011.0	1866.0	352.0	162.0	1414.0	490.0	661.0	2243.0	1021.0	442.0	495.0	656.0	568.0	1201.0	863.0	452.0	509.0	7991.0	3399.0	1014.0	139.0	174.0	489.0	256.0	694.0	224.0	127.0	67.0	683.0	799.0	876.0	297.0	403.0	252.0	327.0	416.0	403.0	2267.0	1774.0	155.0	4714.0	1121.0	514.0	3201.0	2321.0	252.0	13491.0	1280.0	1213.0	884.0	291.0	16.0	452.0	2891.0	700.0	8948.0	97.0	799.0	186.0	4411.0	242.0	1446.0	547.0	635.0	1043.0	22696.0	155.0	527.0	981.0	2172.0	1975.0	575.0	243.0	513.0	502.0	308.0
85	Hyphomonas	genus	41.0	107.0	15.0	68.0	100.0	60.0	31.0	51.0	150.0	85.0	370.0	195.0	41.0	200.0	107.0	263.0	297.0	809.0	96.0	257.0	4019.0	690.0	203.0	851.0	18.0	10.0	59.0	209.0	78.0	224.0	53.0	14.0	85.0	68.0	3556.0	67.0	451.0	349.0	118.0	118.0	111.0	140.0	387.0	17.0	2016.0	74.0	32.0	63.0	190.0	184.0	55.0	39.0	3341.0	134.0	55.0	5.0	75.0	77.0	260.0	152.0	13.0	96.0	100.0	254.0	8223.0	2831.0	34.0	33.0	171.0	1047.0	35.0	64.0	108.0	779.0	421.0	33.0	101.0	150.0	191.0	79.0
88	Leptothrix	genus	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	7.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	5.0	1.0	0.0	5.0	2.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
93	Stella	genus	8.0	1.0	1.0	6.0	50.0	68.0	16.0	10.0	82.0	10.0	2.0	224.0	10.0	4.0	40.0	32.0	18.0	427.0	128.0	22.0	229.0	573.0	745.0	89.0	11.0	16.0	25.0	13.0	20.0	4.0	17.0	2.0	17.0	31.0	22.0	12.0	7.0	20.0	10.0	77.0	20.0	43.0	57.0	9.0	1456.0	473.0	19.0	13.0	1091.0	12.0	37.0	6.0	37.0	4.0	27.0	0.0	8.0	78.0	7.0	43.0	16.0	25.0	22.0	851.0	57.0	3191.0	3.0	12.0	18.0	138.0	2.0	17.0	15.0	54.0	39.0	2.0	17.0	13.0	22.0	9.0
99	Ancylobacter	genus	12.0	22.0	22.0	36.0	125.0	274.0	75.0	54.0	200.0	180.0	59.0	84.0	105.0	87.0	38.0	185.0	54.0	140.0	1337.0	314.0	267.0	180.0	128.0	259.0	25.0	324.0	16.0	36.0	47.0	127.0	54.0	5.0	136.0	185.0	54.0	32.0	41.0	63.0	56.0	38.0	114.0	538.0	159.0	34.0	147.0	16.0	102.0	93.0	95.0	65.0	45.0	127.0	186.0	175.0	55.0	4.0	143.0	107.0	62.0	154.0	70.0	210.0	41.0	690.0	87.0	40.0	62.0	85.0	153.0	298.0	18.0	169.0	219.0	546.0	129.0	192.0	68.0	99.0	149.0	237.0
101	Flectobacillus	genus	2.0	2.0	2.0	14.0	17.0	7.0	21.0	29.0	29.0	46.0	3.0	27.0	8.0	8.0	5.0	16.0	8.0	23.0	17.0	10.0	38.0	151.0	17.0	14.0	420.0	3.0	3.0	5.0	8.0	10.0	80.0	215.0	18.0	29.0	34.0	3.0	4.0	4.0	13.0	37.0	9.0	11.0	24.0	2.0	110.0	9.0	20.0	13.0	10.0	21.0	80.0	11.0	49.0	6.0	198.0	1.0	20.0	35.0	2.0	18.0	14.0	26.0	11.0	26.0	28.0	48.0	19.0	22.0	10.0	29.0	1.0	4.0	3.0	27.0	44.0	36.0	11.0	15.0	6.0	14.0
105	Runella	genus	43.0	17.0	26.0	645.0	109.0	106.0	101.0	300.0	389.0	94.0	22.0	7391.0	68.0	91.0	227.0	141.0	103.0	397.0	900.0	60.0	775.0	11454.0	833.0	939.0	164.0	26.0	72.0	178.0	186.0	70.0	2011.0	896.0	192.0	225.0	578.0	60.0	76.0	63.0	79.0	149.0	114.0	107.0	306.0	19.0	22398.0	768.0	87.0	88.0	211.0	69.0	2747.0	82.0	177.0	38.0	275.0	8.0	109.0	251.0	195.0	353.0	104.0	440.0	198.0	1434.0	716.0	9064.0	403.0	188.0	58.0	509.0	40.0	29.0	74.0	4688.0	327.0	47.0	55.0	76.0	64.0	79.0
107	Spirosoma	genus	11.0	5.0	11.0	57.0	47.0	101.0	29.0	80.0	428.0	96.0	23.0	166.0	91.0	53.0	60.0	153.0	112.0	133.0	226.0	68.0	720.0	1560.0	223.0	172.0	67.0	18.0	56.0	39.0	136.0	32.0	396.0	41.0	163.0	285.0	572.0	57.0	25.0	30.0	42.0	92.0	76.0	273.0	312.0	21.0	1179.0	168.0	40.0	93.0	177.0	62.0	1834.0	101.0	224.0	37.0	194.0	2.0	1303.0	238.0	92.0	227.0	45.0	273.0	123.0	315.0	914.0	516.0	481.0	153.0	78.0	449.0	9.0	42.0	55.0	306.0	256.0	45.0	52.0	57.0	35.0	34.0
113	Gemmata	genus	9.0	7.0	15.0	10.0	26.0	444.0	30.0	19.0	417.0	54.0	24.0	43.0	341.0	24.0	14.0	247.0	109.0	74.0	120.0	63.0	48.0	2207.0	170.0	68.0	10.0	39.0	33.0	9.0	60.0	39.0	33.0	5.0	38.0	116.0	474.0	17.0	21.0	36.0	25.0	32.0	82.0	515.0	93.0	25.0	549.0	53.0	44.0	193.0	79.0	36.0	32.0	145.0	246.0	92.0	23.0	2.0	50.0	297.0	31.0	95.0	4.0	80.0	52.0	202.0	67.0	160.0	30.0	34.0	58.0	2991.0	8.0	41.0	85.0	330.0	68.0	52.0	83.0	94.0	29.0	26.0
133	Methylocystis	genus	16.0	4.0	42.0	30.0	45.0	404.0	89.0	29.0	1368.0	131.0	19.0	172.0	146.0	34.0	35.0	1057.0	263.0	159.0	255.0	143.0	105.0	1231.0	169.0	135.0	103.0	21.0	11.0	23.0	66.0	27.0	43.0	20.0	30.0	544.0	149.0	30.0	43.0	38.0	32.0	67.0	312.0	1795.0	73.0	89.0	194.0	81.0	117.0	1250.0	157.0	30.0	81.0	430.0	645.0	927.0	35.0	8.0	58.0	148.0	36.0	116.0	22.0	176.0	135.0	805.0	143.0	74.0	104.0	172.0	53.0	2249.0	18.0	37.0	49.0	215.0	146.0	90.0	83.0	281.0	33.0	144.0
138	Borrelia	genus	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	21.0	1.0	1.0	0.0	4.0	0.0	2.0	2.0	6.0	3.0	4.0	5.0	6.0	9.0	3.0	5.0	0.0	0.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	19.0	5.0	1.0	1.0	2.0	0.0	11.0	6.0	9.0	2.0	1.0	10.0	6.0	0.0	3.0	7.0	0.0	1.0	7.0	17.0	2.0	1.0	0.0	3.0	8.0	4.0	4.0	2.0	1.0	7.0	5.0	46.0	6.0	0.0	6.0	4.0	9.0	1.0	2.0	0.0	3.0	17.0	2.0	4.0	2.0	1.0	0.0
146	Spirochaeta	genus	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	55.0	2.0	1.0	0.0	22.0	0.0	0.0	23.0	6.0	2.0	1.0	1.0	9.0	34.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	65.0	20.0	0.0	0.0	6.0	1.0	1.0	7.0	23.0	3.0	1.0	16.0	3.0	0.0	12.0	10.0	5.0	0.0	7.0	50.0	4.0	0.0	0.0	4.0	9.0	0.0	9.0	0.0	2.0	12.0	3.0	15.0	7.0	2.0	1.0	3.0	9.0	0.0	3.0	4.0	7.0	7.0	2.0	5.0	5.0	0.0	2.0
