taxonomy_id	name	rank	TCD.1_ERR1713393_db6.diamond	SVK.9_ERR1713389_db6.diamond	SGP.52_ERR1713387_db6.diamond	SRB.37_ERR1713388_db6.diamond	SVN.38_ERR1713390_db6.diamond	TUR.46_ERR1713395_db6.diamond	SWE.41a_ERR1713392_db6.diamond	TZA.15_ERR1713396_db6.diamond	SWE.41_ERR1713391_db6.diamond	TGO.44_ERR1713394_db6.diamond
1301	Streptococcus	genus	6129	19264	101574	119427	343413	2996	78143	578329	335150	7099
196821	unclassified Pseudomonas	no rank	2377	2947	523	950	887	77922	3069	1283	4770	1999
498	Psychrobacter immobilis	species	42	118	86	112	6389	3329	392	160	1144	65
573	Klebsiella pneumoniae	species	6189	10242	13428	9751	11585	11570	13550	26796	18615	14579
481	Neisseriaceae	family	1249	93236	101522	71628	86630	26975	54939	166943	198616	4772
2316085	Pseudomonas bubulae	species	21	34	10	25	29	750	10	15	37	6
135622	Alteromonadales	order	806	473	793	190	455	7682	714	1037	959	10765
32068	Sebaldella	genus	440	40523	7360	20971	53128	6106	8701	22930	82622	1546
472	Acinetobacter sp.	species	2516	2741	2660	4814	5037	286919	8211	9713	6152	7153
246787	Bacteroides cellulosilyticus	species	49	2727	433	919	1366	2477	1448	7782	1509	7518
1868793	Jeotgalibaca porci	species	186	2701	90	2901	10801	921	1143	567	7154	825
561554	Zeaxanthinibacter	genus	1	91	158	199	296	62	124	200	278	1025
2762318	Weeksellaceae	family	4667	52112	149703	233892	54760	257991	269511	588403	305480	38626
3088717	Bacteriovorax antarcticus	species	16	1051	187	1066	2654	2238	2193	159	1409	236
1960940	Acinetobacter sp. ANC 5600	species	77	4	0	10	3	19	7	4	5	37
632955	Acinetobacter rudis	species	400	476	120	642	313	1600	796	1852	741	80
40323	Stenotrophomonas	genus	1827	11563	11487	7683	9864	67118	11066	13179	18371	75984
2487581	Sandaracinobacter sp.	species	28	4478	1195	4944	2900	67	2714	107	2603	16392
80878	Acidovorax temperans	species	240	24642	20731	77454	10559	4622	25698	68264	47827	3982
49546	Flavobacteriaceae	family	3926	51944	19271	99656	60153	1063919	245255	28582	226783	118169
570	Klebsiella	genus	2786	4144	14214	2095	3517	346	7363	17018	15735	405
944321	Soonwooa	genus	240	72	418	355	122	391	638	767	558	282
2962576	Microbacterium sp. ARD31	species	1	7	4	5	6	0	3	5	2	1
2774531	Deinococcus aestuarii	species	1	19	9	3	5	0	7	3	8	3
280145	Acinetobacter colistiniresistens	species	57	64	69	343	165	283	574	323	186	161
648	Aeromonas caviae	species	1017	1528	616	564	788	2079	913	25291	962	3974
1129771	Leptotrichiaceae	family	905	43933	11923	72880	81775	14274	28719	20848	130673	2918
1871047	Chryseobacterium sp.	species	55	797	721	1564	747	2969	3690	4068	2830	870
2810280	Coprobacillaceae	family	181	5152	4777	18185	25175	963	6304	23198	20295	3383
576	Klebsiella sp.	species	52	18	80	11	33	0	44	124	92	5
756892	Acinetobacter indicus	species	1473	525	334	1637	770	1983	2154	3560	1370	1543
3037798	Providencia huashanensis	species	118	25	56	19	22	29	32	110	43	18
3155201	Kitasatospora sp. NPDC093558	species	370	528	397	751	743	1311	1411	1486	1346	1721
29430	Acinetobacter haemolyticus	species	169	407	282	1397	530	910	1224	1208	1185	555
119060	Burkholderiaceae	family	399	11078	63367	8891	7130	3426	59773	36295	190508	24532
70346	Acinetobacter variabilis	species	1160	220	159	774	470	795	1116	1648	726	1743
81463	Anaeromusa	genus	38	2057	2313	951	2180	90	633	10494	2277	158
213849	Campylobacterales	order	298	48019	3944	13422	27818	70807	66718	61871	48869	331428
33986	Exiguobacterium	genus	789	202	59	204	369	40	440	253	1638	6351
249410	Hydrogenophaga defluvii	species	4	292	124	274	140	88	256	245	359	262
2321111	Aliarcobacter	genus	829	130408	5732	68972	123488	16582	47850	181266	118115	69894
1812935	Enterobacter roggenkampii	species	287	109	619	59	88	53	137	800	180	53
186826	Lactobacillales	order	5927	57995	15315	137898	413415	7171	87605	82258	184228	9904
816	Bacteroides	genus	1068	110555	7656	24972	23027	7377	52296	314995	44448	97251
2302434	Vibrio sinensis	species	67	22	25	14	13	59	24	91	31	69
815	Bacteroidaceae	family	564	170931	10881	47292	37913	3590	78013	348313	63620	42650
32033	Lysobacteraceae	family	1079	127387	117505	95312	145983	25516	105993	65951	156915	53058
881260	Enterobacter bugandensis	species	43	442	75	19	48	13	28	112	21	5
108981	Acinetobacter schindleri	species	1770	393	146	1058	530	1712	1357	1276	982	1239
28216	Betaproteobacteria	class	2198	280919	262189	186268	159014	126226	322716	548715	462578	382796
2963960	Citrobacter sp. Igbk 14	species	14	0	0	1	0	0	0	1	0	0
1246981	Tolypothrix bouteillei	species	859	2182	1297	2666	3308	4616	4336	6068	4935	6498
84999	Coriobacteriales	order	210	2957	1879	4803	7109	469	3268	21480	13248	547
2981787	Dorea acetigenes	species	1	107	26	312	330	2	251	210	718	34
186801	Clostridia	class	4279	285000	105442	396963	859870	23290	302982	687161	735288	662970
29523	Bacteroides sp.	species	44	6147	1015	2079	4372	633	3554	4396	5709	6903
239934	Akkermansia	genus	383	54818	21243	78475	159232	2593	58554	22089	218710	4458
1427172	Aminivibrio	genus	60	1947	6320	347	2449	562	1201	1302	19578	303367
41275	Brevundimonas	genus	298	46756	14255	26812	39688	61866	23045	4703	40364	27946
66430	Streptomyces roseus	species	181	166	62	197	195	798	666	815	413	423
1903411	Yersiniaceae	family	587	725	339	554	565	9813	924	522	1010	87
1	root	no rank	846	817	625	1499	3842	286	443	4006	1090	571
83770	Succinivibrio	genus	92	2454	341	1729	2646	174	591	63169	335	5034
2777978	Acinetobacter sp. FL51	species	965	12	8	9	6	113	42	24	42	525
2005520	Dysgonomonadaceae	family	176	8331	5621	1474	4726	1362	4066	19923	13888	474130
552	Erwinia amylovora	species	484	817	570	860	884	1376	1450	2404	1680	2673
85413	Bosea	genus	69	7622	7355	13381	18593	5839	9459	3111	16693	639
28117	Alistipes putredinis	species	108	9977	3264	7194	9968	654	9538	8490	13807	1764
336566	Stenotrophomonas ginsengisoli	species	47	35	66	47	63	13	38	326	81	1563
181070	Proteocatella sphenisci	species	143	15673	1162	13070	92582	1409	3829	11465	22085	36888
200644	Flavobacteriales	order	6900	83598	180416	212860	100155	595247	349477	645647	328787	84748
1306	Streptococcus sp.	species	161	883	23128	4009	11800	339	4239	28618	28048	836
1903414	Morganellaceae	family	447	1108	410	845	657	2040	1248	1993	1815	699
662	Vibrio	genus	1342	1256	943	1630	1484	4131	3349	5936	2485	3319
1938592	Soonwooa sp.	species	112	158	508	349	235	489	695	1454	737	201
374	Bradyrhizobium	genus	14	803	2481	541	1252	344	1696	505	4666	1174
2691889	unclassified Schaalia	no rank	217	31369	144	4848	18093	1602	709	1766	5018	712
3081679	Acinetobacter sp. USHLN143	species	45	30	11	184	83	60	104	135	79	65
356	Hyphomicrobiales	order	394	23511	43047	24130	53205	21013	30499	14671	99642	17446
645	Aeromonas salmonicida	species	409	525	58	85	163	4898	265	1879	307	1061
2004400	Enterobacter sp. TUM13743	species	30	2	13	2	0	0	2	12	3	0
1385	Bacillales	order	310	7872	6412	8098	38474	1551	5395	9438	16143	36842
1217714	Acinetobacter sp. ANC 3789	species	4	7	10	88	18	12	30	24	12	111
1338420	Denitratimonas tolerans	species	5	749	4093	459	1356	32	1552	2180	3162	259
202956	Acinetobacter towneri	species	635	840	675	3549	1265	1515	1801	9499	1276	1894
2593646	Chryseobacterium binzhouense	species	443	106	165	120	49	196	313	373	224	25
255507	Aliarcobacter cibarius	species	115	686	75	123	449	1416	982	3632	900	17810
81852	Enterococcaceae	family	808	3418	453	9914	31716	429	1552	1623	7148	591
3046369	Aristaeella	genus	41	3275	1523	3295	15544	124	2665	6009	12346	1580
72763	Tessaracoccus	genus	76	3642	760	7270	8101	2419	5742	12747	23543	278
83618	Pseudoxanthomonas	genus	436	116427	46263	82899	133576	3567	62039	22464	98447	5310
1280	Staphylococcus aureus	species	262	1302	298	825	1452	602	1482	1105	1189	411
644	Aeromonas hydrophila	species	1214	516	127	71	145	857	172	5584	217	2603
31957	Propionibacteriaceae	family	211	4762	2571	6199	8407	924	8946	22701	26351	1042
2601131	Acinetobacter sp. YH12151	species	289	10	12	107	10	24	148	49	11	9
287	Pseudomonas aeruginosa	species	1293	5468	3892	4768	4369	9464	4741	8333	7301	4232
713	Actinobacillus	genus	8	46	4877	45	125	27	55	495	69	46
1775558	Acinetobacter sp. CFCC 11171	species	33	22	14	55	29	75	106	63	32	232
3038548	Mesorhizobium sp. WSM4962	species	2	0	0	0	8	0	0	0	2	0
40215	Acinetobacter junii	species	487	1581	1183	3931	2214	1721	4189	6884	2851	23261
190974	Methanobrevibacter gottschalkii	species	54	91	14	11	27	17	47	25	28	31
2049022	Catenibacterium sp.	species	147	10886	4043	11208	16323	549	4588	3883	20943	738
310297	Phocaeicola plebeius	species	222	32932	13820	43484	58398	949	15523	11653	54257	1572
623	Shigella flexneri	species	899	250	373	428	585	122	318	1464	696	124
354276	Enterobacter cloacae complex	species group	638	188	683	109	164	106	138	932	159	119
497721	Desulfoluna	genus	2	39	488	10	52	9	18	75	137	116
2684926	unclassified Acidovorax	no rank	729	345177	18746	183981	85409	168957	212156	21767	289866	8024
1384487	Formosimonas limnophila	species	79	1557	7815	1338	921	160	10763	4301	24049	304
1783257	PVC group	clade	147	4617	28421	1801	11660	1419	2257	8211	21375	13860
1006576	Defluviitoga tunisiensis	species	264	499	22	538	1256021	4233	11	966	21	33
550	Enterobacter cloacae	species	832	393	708	309	380	761	559	4862	667	368
649777	Synergistaceae	family	280	23728	17253	5550	28868	1773	7122	19696	66061	489127
256616	Parvibaculum	genus	2	126	217	71	164	20	195	201	407	118
3029087	Aminobacteriaceae	family	9	1004	3396	137	646	64	312	457	2125	20897
128785	Pseudoxanthomonas mexicana	species	18	2864	1950	2693	3931	109	2178	725	2864	269
2991424	Stenotrophomonas sp. PS02298	species	2	65	42	35	66	455	41	16	77	19
78327	Pseudomonas mosselii	species	82	14	44	22	19	49	29	109	43	28
86185	Pseudomonas lundensis	species	97	49	32	75	75	2586	34	58	614	18
106648	Acinetobacter bereziniae	species	304	597	273	2363	770	2484	3036	2082	1364	787
47917	Serratia fonticola	species	45	43	42	19	42	79	47	35	124	8
2028344	Ereboglobus	genus	3	34	74	25	49	4	12	212	49	140
2985125	Citrobacter sp. Cpo037	species	6	0	0	1	0	0	0	0	2	0
2767221	Moraxella tetraodonis	species	28	79	482	867	410	214	3166	10230	407	22
909929	Selenomonadales	order	54	4617	3513	1680	4462	179	3382	11575	7269	1437
663	Vibrio alginolyticus	species	350	386	23	158	171	171	331	72	815	40
239	Flavobacterium sp.	species	414	28737	10459	46188	32853	128608	128208	17588	85934	27501
1629	Weissella viridescens	species	686	1730	2420	2025	2255	1891	3705	2706	2364	2741
194924	Desulfovibrionaceae	family	261	25532	19944	4504	12574	811	5303	60997	18466	14646
2809020	Paralysiella testudinis	species	57	7893	2089	3938	5704	387	19792	4703	42672	377
561	Escherichia	genus	441	421	474	564	944	55	396	1817	1075	132
1268	Micrococcaceae	family	555	1822	332	1026	1467	1445	12809	986	1543	582
971	Selenomonas ruminantium	species	6	289	213	143	354	12	243	2380	533	256
186803	Lachnospiraceae	family	736	76126	20158	116849	169255	3728	75981	139752	189704	25542
3345986	Streptomyces sp. NPDC056982	species	31	0	1	9	6	0	7	3	3	3
1843490	Sporomusaceae	family	286	18405	21153	6667	17254	877	7988	60927	18263	5828
278064	uncultured Dialister sp.	species	110	12760	6193	15667	16490	995	7336	25627	20841	875
85006	Micrococcales	order	211	13227	5492	17371	25448	19825	18713	12897	43623	21820
192066	Neisseria sp.	species	141	1137	45569	5199	1603	708	3179	24070	8596	682
2699740	Brooklawnia sp.	species	79	1564	471	1216	1701	66	1014	7737	3882	235
2890311	Klebsiella/Raoultella group	no rank	791	1239	2917	661	1002	137	2237	4034	4098	139
55197	Flavobacterium branchiophilum	species	13	525	277	1944	1624	5521	1758	977	1612	644
146784	Bacteriovorax	genus	29	2540	884	3200	6207	3387	5693	951	3371	767
306	Pseudomonas sp.	species	283	19770	967	3185	3289	378164	21494	1784	10072	1643
1291539	Methanomethylophilus	genus	1	11	7	0	11	0	6	7	38	11
2529381	Enterobacter wuhouensis	species	55	8	14	3	1	4	3	23	5	1
2893882	Chryseobacterium sp. C-71	species	5	3	35	13	5	75	91	141	31	3
3141190	Dialister sp. i34-0019-2H8	species	377	4730	15285	7693	30646	1429	16501	60352	11998	1637
2652291	Inconstantimicrobium porci	species	8	277	70	157	479	15	50	202	379	83
2644389	unclassified Citrobacter	no rank	204	46	9	8	10	2	16	28	43	13
204455	Rhodobacterales	order	340	23747	17418	26158	46875	14028	52603	13782	98317	57998
28890	Methanobacteriota	phylum	18	349	2257	256	3222	299	384	1042	1665	691
1796981	Acinetobacter sp. F-1	species	43	7	17	37	20	54	21	5	36	28
2820471	Candidatus Symbiopectobacterium sp. NZEC135	species	51	6	13	2	3	26	2	121	9	45
244366	Klebsiella variicola	species	134	279	829	271	295	184	822	1032	436	511
186828	Carnobacteriaceae	family	311	24080	613	54030	142663	3801	17143	1054	63588	1930
2778646	Qipengyuania sp. YIM B01966	species	17	356	110	178	419	8	259	360	994	116
80865	Delftia	genus	220	4358	967	2294	1692	51202	3917	1865	3822	2156
1643824	Atopobiaceae	family	272	794	1514	1425	2504	231	1507	155157	7013	436
219181	Ottowia	genus	527	107814	142806	67317	156972	6876	140442	15390	289169	45124
1940789	Lactococcus petauri	species	504	83	34	85	191	24	204	102	211	52
909932	Negativicutes	class	642	63799	43309	25101	62699	2550	37565	184414	76326	23724
2136182	Acinetobacter cumulans	species	289	96	58	546	168	545	494	463	329	987
1054034	Arcobacter cloacae	species	10	823	54	216	581	1018	1206	1763	822	18500
200643	Bacteroidia	class	455	32230	46001	7118	23217	6659	13901	110833	30203	875258
34037	Rahnella	genus	808	1151	444	1538	1449	22263	596	1115	302	82
2527877	Methanocorpusculum sp. GPch4	species	1	19	27	13	26	1	11	36	106	253
848	Fusobacterium	genus	66	3648	3755	6118	7291	329	1394	3719	4490	1657
203491	Fusobacteriales	order	262	13375	3410	19579	24341	4062	7814	6462	35945	1098
52225	Mitsuokella	genus	163	3069	3031	1900	2601	105	1552	462372	2441	286
1639133	Citrobacter portucalensis	species	1276	103	134	41	39	32	72	339	173	43
40324	Stenotrophomonas maltophilia	species	143	1051	771	850	1203	908	853	667	1148	2038
39948	Dialister	genus	876	119222	51049	133669	266582	6679	175313	125534	400412	6525
99655	Rhodopseudomonas faecalis	species	3	6	5	2	6	3	3	54	12	5
1443036	Vespertiliibacter pulmonis	species	1	5	10	6	16	0	3	6	14	1
1282	Staphylococcus epidermidis	species	13	1390	72	85	259	244	146	189	377	56
475	Moraxella	genus	367	1006	6010	5301	14387	1544	13115	71316	6794	511
590	Salmonella	genus	243	38	69	33	42	5	15	152	62	29
650	Aeromonas jandaei	species	139	54	16	14	34	146	21	492	34	494
218538	Dialister invisus	species	57	11714	2201	13065	26236	406	17145	1647	41755	609
703	Plesiomonas shigelloides	species	1657	23	12	18	29	16	17	122	28	20
3041175	Brooklawnia propionicigenes	species	62	916	2219	1496	2747	237	1345	5140	6633	147
3085669	Paenimyroides	genus	482	198	46	325	188	16148	238	134	481	196
29580	Janthinobacterium	genus	119	2221	956	1709	1293	449275	4903	677	287079	2364
2606593	Amycolatopsis camponoti	species	12	9	8	101	21	23	71	243	44	10
3387626	Acinetobacter sp. TY1	species	29	256	45	235	177	2976	8220	197	2479	51
3351561	Citrobacter sp. S5	species	4	0	0	0	0	0	0	0	0	0
48296	Acinetobacter pittii	species	600	634	331	3093	1109	2060	2284	2103	1533	1403
28200	Aliarcobacter skirrowii	species	3	720	75	229	1979	311	422	703	589	863
2008795	Azonexaceae	family	78	10920	12142	3937	4576	996	23153	44315	14411	42756
2707330	Sheuella amnicola	species	16	124	19	23	50	276	101	38	75	13364
82976	Buttiauxella	genus	432	228	46	146	94	6015	99	51	478	54
1702170	Citrobacter sp. FDAARGOS_156	species	142	7	5	2	6	0	2	18	9	13
581	Morganella	genus	76	86	73	173	168	19	82	406	168	35
2292959	Blautia sp. AF17-9LB	species	4	71	15	101	102	5	25	70	97	3
265	Paracoccus	genus	248	19408	5856	18997	35142	5201	17207	6371	66293	1408
2841533	Kineothrix sp. MSJ-39	species	7	351	47	775	727	18	486	5026	1724	176
160674	Raoultella	genus	110	144	59	94	142	29	279	83	315	22
1351	Enterococcus faecalis	species	442	969	200	1405	4445	351	436	774	1312	430
3373065	Acinetobacter sp. ULE_I010	species	100	307	211	288	264	33535	84075	353	2160	206
1344959	Citrobacter freundii complex	species group	1102	107	81	30	40	31	53	134	153	66
195930	Cupriavidus respiraculi	species	21	13	8	14	14	6	13	12	19	13
84998	Coriobacteriia	class	192	5305	2989	11061	16134	872	7255	18313	27310	1434
28219	Brachymonas	genus	227	5429	14057	3693	5748	486	3571	51160	15672	1382
3346466	Streptomyces sp. NPDC058374	species	37	644	323	809	1534	945	1157	2073	1800	2456
2678885	Faecalibacillus	genus	78	6527	3593	16997	24306	434	6607	3719	24380	841
868	Cardiobacteriaceae	family	4	19	73	26	47	3	11	435	53	11
1397278	Leucobacter sp. PH1c	species	50	2	0	4	2	5	3	6	3	29
206096	uncultured Dysgonomonas sp.	species	358	910	270	110	189	171	323	1369	682	4002
3114699	Acinetobacter sp. 226	species	96	21	2	32	8	38	29	30	35	18
280147	Acinetobacter courvalinii	species	142	37	12	100	64	139	79	157	75	97
2546350	Citrobacter arsenatis	species	100	4	5	0	1	0	2	16	15	0
207244	Anaerostipes	genus	96	7181	3310	27548	37089	363	7628	4480	21963	735
106651	Acinetobacter genomosp. 15BJ	species	58	22	12	65	27	33	65	47	21	32
1971895	Thermomonas sp.	species	59	6966	22706	10914	7780	1062	9577	5174	17348	1700
670	Vibrio parahaemolyticus	species	229	813	754	761	890	1655	891	1844	1511	1054
2910680	Clostridium sp. YIM B02506	species	2	2	0	2	6	1	6	3	4	17
186817	Bacillaceae	family	241	4581	2025	3331	11713	766	1815	3080	5494	12177
1310720	Acinetobacter sp. 478810	species	21	1	0	11	3	7	3	5	0	4
82803	Trichococcus flocculiformis	species	95	7655	216	15160	36804	817	5148	395	21170	730
292628	Anaerolineaceae	family	195	2894	92483	1393	44795	512	2761	11286	17508	1920
266128	Stenotrophomonas koreensis	species	1023	1039	445	1392	1738	327	584	3239	2356	66916
2222	Methanothrix	genus	341	15143	41372	2725	16024	747	4930	8698	31493	1606
1907941	Alkanindiges hydrocarboniclasticus	species	29	170	29	245	352	311	269	104	162	25
