taxonomy_id	name	rank	NLD.43_ERR1713379_db6.diamond	MYS.54_ERR1713377_db6.diamond	NGA.50_ERR1713378_db6.diamond	POL.36_ERR1713383_db6.diamond	PER.35_ERR1713385_db6.diamond	NOR.34_ERR1713380_db6.diamond	NPL.33_ERR1713381_db6.diamond	PAK.7_ERR1713384_db6.diamond	SEN.8_ERR1713386_db6.diamond	NZL.56_ERR1713382_db6.diamond
171549	Bacteroidales	order	53874	59135	154071	271597	515627	186321	543737	713539	275399	123989
68336	Bacteroidota/Chlorobiota group	clade	20787	4845	6984	20989	5509	21275	6712	31483	3875	45099
2008793	Sterolibacteriaceae	family	5236	117	72	1214	61	457	46	310	50	113
265	Paracoccus	genus	790	9035	8426	16694	49853	5694	44507	16532	32891	27899
1077255	Agitococcus lubricus	species	1671	71	38	312	128	102	46	71	38	65
1760	Actinomycetes	class	30980	53517	165276	169803	89936	49190	564919	276297	126549	71361
1763549	uncultured Holdemanella sp.	species	59	407	881	705	1579	184	4946	1555	777	63
1806508	Candidatus Promineifilum breve	species	543	62	274	18482	111	57	335	453	158	23
28211	Alphaproteobacteria	class	31930	77038	80906	92516	73703	128320	115794	119187	81163	112311
267890	Shewanellaceae	family	251	225	242	49	434	8	53	39	124	626
976	Bacteroidota	phylum	289596	144323	105656	372567	169134	751493	156446	539756	79596	1996600
171	Leptospira	genus	10146	263	1053	953	307	129	618	3988	257	184
200643	Bacteroidia	class	29977	7344	14494	52011	17058	10124	21736	118084	13451	10833
2801997	Prevotella herbatica	species	200	179	81	1688	508	549	2702	3981	305	309
327159	Candidatus Accumulibacter	genus	47218	1035	844	18415	457	1600	253	3220	699	931
328412	Pseudaeromonas sharmana	species	686	893	769	1073	3742	982	1838	11944	1335	625
1185843	Desulfatitalea tepidiphila	species	490	28	465	116	65	16	92	496	106	20
1648491	Aquihabitans	genus	1652	272	234	1517	268	147	1957	756	113	532
3238481	Minisyncoccus archaeiphilus	species	1759	66	145	2680	43	63	461	677	68	96
2769311	Acidovorax sp. ACV01	species	10	150	37	61	25	264	36	85	31	126
57665	Sulfurospirillum	genus	6255	4735	2111	4247	4653	1479	3673	86557	4197	1930
1775176	Corallincola	genus	9	4	23	11	60	4	13	33	22	1
261512	uncultured Fibrobacter sp.	species	75	14	120	597	116	10	361	242	59	14
1925666	Lutibacter sp.	species	251	78	211	597	146	452	337	567	100	510
416212	Ferrovum	genus	22	36	47	32	30	81	38	206	58	10
2321111	Aliarcobacter	genus	56413	14861	22760	55580	237315	46148	255390	157788	62456	10201
224463	Nannocystaceae	family	2547	22	392	110	27	148	136	181	103	35
157592	Sterolibacterium denitrificans	species	502	49	125	231	55	49	20	153	43	33
2808963	Arcobacteraceae	family	108152	26569	29882	168298	256178	366304	326750	226967	70718	35065
1236	Gammaproteobacteria	class	59502	243301	265868	255191	568118	791577	267022	633897	8515263	4819288
717610	Vibrio harveyi group	species group	24	36	19	88	211	97	310	204	380	164
1435036	Acinetobacter bohemicus	species	149	122	96	211	288	4945	763	104	1336	26042
131567	cellular organisms	cellular root	111638	76503	312769	288185	186292	101311	406188	629657	224093	131593
200940	Thermodesulfobacteriota	phylum	17672	7279	77101	19182	10451	2709	26413	84548	56469	3422
1230531	Wocania ichthyoenteri	species	6	6	1	14	2	4	3	6	8	8
292629	Anaerolineales	order	5602	965	15683	11520	559	695	14334	6336	1715	356
28216	Betaproteobacteria	class	111068	182388	152916	159252	240764	516679	57167	407954	140512	181777
53358	Intrasporangium calvum	species	13	3	24	46	5	4	42	17	7	3
2527968	Aureliella helgolandensis	species	284	45	144	687	46	14	344	203	59	21
49181	Zoogloea sp.	species	3110	8671	2818	1193	1524	10157	1331	8106	2101	1478
3088717	Bacteriovorax antarcticus	species	1365	176	180	452	569	1773	2737	240	118	828
2109915	Simplicispira suum	species	7503	156	192	530	185	1882	76	153	68	660
1278212	Arcobacter suis	species	2188	121	63	855	217	5111	1607	627	67	858
1148786	Geminisphaera colitermitum	species	169	29	369	211	186	41	123	573	125	30
2291710	Dokdonella sp.	species	13737	2704	3601	6593	1905	26113	1098	6485	944	4183
816	Bacteroides	genus	23449	10169	16135	40958	41044	62400	53075	131932	18512	38944
28196	Arcobacter	genus	31770	3105	1775	54478	2973	167715	49960	24772	2129	14698
411483	Faecalibacterium duncaniae	species	17	282	195	555	539	286	742	485	134	86
194924	Desulfovibrionaceae	family	1410	10364	37428	25587	18161	2895	6659	102223	132959	3922
958	Bdellovibrio	genus	1998	4105	5341	4254	7563	1799	2588	3621	2046	1297
172900	Victivallis	genus	1760	405	4816	2046	3281	419	1872	6354	1225	311
3140699	Candidatus Amarobacter glycogenicus	species	1956	53	88	2217	21	88	178	110	18	48
2762318	Weeksellaceae	family	5112	129887	25608	31887	74946	189252	16581	156590	14525	766221
146784	Bacteriovorax	genus	3191	1081	819	971	3919	4690	6184	1053	488	1750
82802	Trichococcus	genus	6351	4893	4985	336594	9065	62357	1715518	89916	8985	512021
768507	Cytophagales	order	10264	1498	2354	5657	2192	35166	2637	6899	993	7164
186802	Eubacteriales	order	12141	96943	198666	239674	257053	96471	583089	251356	130004	46117
28065	Rhodoferax	genus	4909	658	565	2181	418	59806	560	801	289	11701
1783257	PVC group	clade	10448	2431	32732	13133	3315	2486	6225	37502	4642	1819
74201	Verrucomicrobiota	phylum	9726	1538	22966	7057	2562	2807	3446	29099	3578	2102
186831	Acetoanaerobium	genus	1709	11163	6288	26104	43622	1635	6856	105240	15445	2446
224999	Tepidanaerobacter syntrophicus	species	843	8	46	218	15	11	79	113	30	11
262323	Lysobacter brunescens	species	86	155	78	268	120	1461	116	147	34	644
70994	Lewinella	genus	360	18	19	247	23	250	31	55	10	28
134623	Opitutaceae	family	8787	552	3978	1649	3304	673	1020	5853	1660	510
135621	Pseudomonadaceae	family	5854	31747	11180	29137	61606	38146	26556	45745	246619	219217
168471	Laribacter hongkongensis	species	579	1617	671	1005	2275	508	285	23712	2246	321
2008795	Azonexaceae	family	21913	16676	6962	8141	2222	26033	2139	19390	3367	11189
73029	Dechloromonas	genus	1389	1915	730	653	236	2123	313	1546	293	1034
978	Cytophaga	genus	1199	122	121	208	242	1035	193	65	36	638
1391654	Labilithrix luteola	species	906	57	233	141	110	6689	199	164	117	235
350	Zoogloea ramigera	species	287	423	87	155	236	375	224	526	122	527
186801	Clostridia	class	29654	231492	425887	455099	639860	171107	1987442	749462	361826	77197
2422	Fervidobacterium	genus	2063	11	40	2138	17	8	50	122	21	9
1385	Bacillales	order	3083	2561	8181	14300	18299	2445	32544	22683	6731	4033
203683	Planctomycetia	class	6302	1569	16632	7307	1603	1106	8396	14187	5140	1157
1783272	Bacillati	kingdom	32215	61990	148814	200910	154430	48050	511083	329909	124519	40688
1779134	Bradymonadales	order	93	8	26	35	23	42	21	70	16	10
415000	Opitutales	order	958	97	797	267	455	81	199	1253	314	76
206379	Nitrosomonadaceae	family	838	61	184	227	158	2793	99	290	78	536
832	Fibrobacter	genus	1448	106	1029	5014	1658	128	3199	2271	536	113
2506422	Flavobacterium amnicola	species	50	4	4	20	7	256	17	7	2	347
42353	Nitrosomonas sp.	species	1265	128	384	384	383	632	204	553	383	145
563835	Chitinophagaceae	family	31277	9980	6063	21735	7276	76635	5558	15178	2167	15983
306	Pseudomonas sp.	species	2859	849	889	5198	3184	28134	10851	3099	18263	56680
50421	Rhodoferax sp.	species	10541	1322	1045	3695	2923	28259	1053	3366	1050	4941
3140593	Candidatus Villigracilis	genus	31294	193	1665	3162	106	1106	1000	681	177	167
2619537	unclassified Methanoculleus	no rank	3362	13	146	188	22	1	154	65	69	16
456827	Candidatus Cloacimonas acidaminovorans	species	61768	208	838	18976	106	141	344	785	273	515
2715735	Candidatus Chazhemtobacterium aquaticus	species	660	113	210	3474	58	61	1435	863	111	208
43773	Syntrophus	genus	10825	239	36383	1182	284	182	1564	5111	985	247
2816908	Sedimentibacter sp. zth1	species	389	13	45	305	66	20	267	162	48	6
283	Comamonas	genus	3029	12332	27062	25731	189837	96276	21246	107578	45801	139975
3031624	Desulfosarcinaceae	family	258	48	468	84	47	14	52	634	63	18
253161	uncultured Methanobrevibacter sp.	species	600	192	654	4131	1293	210	5059	4756	781	106
2024833	Gimesia sp.	species	36	9	74	52	13	9	26	71	15	7
49546	Flavobacteriaceae	family	22532	11545	10070	44639	38449	441281	36587	33683	11519	1389849
239	Flavobacterium sp.	species	8674	7634	4231	15443	20431	120573	25723	14161	5479	499446
2719034	Candidatus Neomicrothrix sp.	species	7354	77	122	108358	236	229	2250	284	168	274
3031651	Desulfuromonadia	class	1377	643	2644	506	227	229	799	3684	830	783
2053492	Accumulibacter sp.	species	15818	2493	1936	20419	2658	2553	2477	8234	2683	1104
213849	Campylobacterales	order	20015	6147	5162	32270	36642	72295	44588	64730	10747	7577
929509	Solitalea	genus	115	10	15	66	13	65	12	43	4	66
120831	Dyadobacter	genus	474	117	157	450	250	19892	455	438	124	10963
2778369	Reticulibacter mediterranei	species	31	14	44	88	7	14	57	108	13	8
32033	Lysobacteraceae	family	7042	80001	168756	94795	96707	63730	108457	286448	97423	104934
39643	Sorangium	genus	1715	113	485	302	86	1205	235	1069	228	122
29523	Bacteroides sp.	species	1196	791	1613	5070	2379	1766	12103	7244	2925	945
186826	Lactobacillales	order	2017	12547	12118	89394	45640	40192	389112	44308	14043	72069
914	Nitrosomonas	genus	10206	526	1245	2504	1694	2543	506	3114	1815	660
3416354	Candidatus Pollutiaquabacter sp.	species	6720	248	228	1214	74	296	78	195	39	335
642	Aeromonas	genus	11157	8355	8613	20677	102694	50977	31059	48774	15672	31749
233189	Anaerolinea	genus	410	108	1433	1182	60	102	1227	772	177	38
191412	Chlorobiaceae	family	108	54	247	161	30	57	39	541	74	24
41949	Candidatus Neomicrothrix	genus	32356	196	206	154273	406	446	2862	596	275	675
204457	Sphingomonadales	order	11377	27626	32615	34147	17619	180420	29451	44986	26864	48176
2528011	Engelhardtia mirabilis	species	122	16	121	73	25	19	24	158	24	17
1874826	Novosphingobium sp.	species	2144	2147	513	862	271	5573	325	1081	301	1326
1427172	Aminivibrio	genus	2376	1062	71118	11145	1735	330	1268	46158	7624	1188
352450	Simplicispira	genus	9295	907	436	1577	609	83496	776	1285	288	20009
52972	Polaromonas	genus	813	530	517	3061	328	30837	314	478	332	5146
1573825	uncultured Sunxiuqinia sp.	species	129	16	40	71	14	29	45	198	25	22
2908004	Terrimonas ginsenosidimutans	species	242	31	11	269	13	286	17	35	13	72
2683261	Runella sp. CRIBMP	species	19	5	5	18	3	53	7	17	1	7
1416776	Chryseobacterium geocarposphaerae	species	1	2	1	1	0	8	1	7	0	23
2053577	Mesotoga sp.	species	439	30	573	698	112	20	627	1125	291	37
160238	uncultured Cytophaga sp.	species	695	41	19	67	13	478	99	36	7	226
75682	Oxalobacteraceae	family	1364	1023	1491	1537	1006	6844	1095	2367	735	76658
3039865	Candidatus Cloacimonadaceae	family	15572	98	351	8805	74	87	223	791	216	206
49	Polyangiaceae	family	3860	142	598	349	100	2235	327	534	481	186
1963018	Chitinimonas lacunae	species	17	15	24	61	9	32	9	30	7	7
562	Escherichia coli	species	1418	9531	13594	11235	30276	12734	17943	43223	72496	24577
1962667	Nannocystis sp.	species	6671	90	187	472	133	224	202	265	68	152
1871053	Phenylobacterium sp.	species	1685	7243	16074	5940	2680	5143	12115	6604	4109	32066
156973	Dysgonomonas	genus	845	1591	2361	8996	12736	3643	3314	11309	1631	4198
2812025	Syntrophotalea	genus	44	9	70	22	9	4	19	122	17	46
281362	Dechloromonas denitrificans	species	235	144	83	113	57	451	59	263	76	136
481	Neisseriaceae	family	3080	35413	75899	80102	527455	15410	21998	141053	95054	25054
3382150	Sphingobacterium sp. Lzh-3	species	4	0	0	6	9	0	9	5	8	2
2812896	Leptolyngbya sp. 7M	species	1264	1229	1233	1971	923	4611	379	1605	281	1520
1965333	Prosthecobacter sp.	species	4918	491	3183	4995	598	1261	937	5319	506	626
200795	Chloroflexota	phylum	10005	1864	17286	31088	861	1951	15718	10158	2421	626
1936988	Saprospirales	order	6450	387	193	5322	262	6619	177	646	130	465
1853230	Crocinitomicaceae	family	924	128	234	425	940	643	247	258	95	474
153949	Nitrosomonas sp. JL21	species	27	12	4	9	5	9	17	10	1	4
31979	Clostridiaceae	family	505	1639	2341	3499	3051	938	23080	5929	2015	453
1854492	Sulfurospirillum diekertiae	species	216	99	30	137	107	103	234	1338	92	47
2630407	unclassified Simplicispira	no rank	1218	393	180	1945	355	17299	284	316	118	4083
3342328	Pseudorhodoferax sp. LjRoot39	species	21	26	108	56	65	129	27	33	52	91
200644	Flavobacteriales	order	15389	154627	38007	53617	109283	352945	36170	189180	24895	1553621
2172	Methanobrevibacter	genus	1026	6709	17408	34292	37906	3588	122810	9898	28602	4637
2609265	unclassified Nitrosomonas	no rank	1255	57	95	186	85	595	77	160	42	88
1116369	Hoeflea sp. 108	species	2	1	1	6	4	18	3	2	3	27
3409690	Pleomorphochaeta sp. DL1XJH-081	species	192	21	55	68	38	9	112	143	20	16
2508720	Oleiharenicola lentus	species	518	36	251	116	197	70	74	393	68	45
401469	Undibacterium	genus	849	334	334	306	190	6021	260	660	178	496
188709	Thermotogaceae	family	108	5	82	77	13	5	25	127	18	6
1099794	Portibacter lacus	species	370	18	20	268	12	278	17	45	11	38
1485	Clostridium	genus	2015	17955	22616	12054	34117	3607	152959	49702	20297	2723
1400862	Candidatus Competibacter denitrificans	species	1415	881	2132	5322	209	145	298	2304	1015	592
426481	Tenacibaculum aiptasiae	species	2	2	0	9	4	4	7	16	1	12
2745493	Pseudomonas urmiensis	species	27	3	0	45	1	2	16	10	42	51
219574	Pseudomonas proteolytica	species	129	71	78	887	224	40	1862	1549	1119	990
2302939	Paludibacter sp. 221	species	874	606	539	4317	399	502	1627	10144	481	567
239759	Alistipes	genus	2737	4555	4422	19044	13611	83297	5058	22422	3621	68995
83766	Propionivibrio	genus	3868	14681	5323	12061	6858	7787	1501	62456	12244	5529
77768	Segatella albensis	species	11	24	67	84	442	42	801	302	204	12
2591109	Casimicrobium huifangae	species	3346	1058	354	256	107	24958	135	322	71	546
909932	Negativicutes	class	3786	59780	111769	77775	52690	10724	54655	567232	109249	9575
3140684	Candidatus Villigracilis saccharophilus	species	5991	50	378	720	33	110	287	335	43	43
356	Hyphomicrobiales	order	10541	31867	33005	33093	21737	27506	60524	35385	34329	22397
1051899	Actimicrobium antarcticum	species	17	8	9	7	2	88	4	16	4	22
202746	Sulfurimonas	genus	441	69	83	617	186	614	578	3318	166	73
1658518	Nitrospira sp. ND1	species	7476	59	75	205	74	8091	102	121	58	191
3043284	Candidatus Southlakia epibionticum	species	67	594	871	1712	512	165	4418	4313	496	216
48463	Prosthecobacter	genus	3854	414	1525	3258	928	1195	612	4707	326	579
2785326	Robertkochia sediminum	species	3	0	4	8	0	9	0	12	2	15
1234	Nitrospira	genus	9245	424	865	500	157	47288	867	937	126	951
3241576	Candidatus Leptofilum sp.	species	1843	72	576	1753	40	65	261	623	63	41
90427	Methanoculleus sp.	species	9373	90	565	1375	266	72	1924	1175	480	101
34062	Faucicola osloensis	species	294	2398	4353	4761	4913	3563	1809	3592	6153	13003
1030	Thiothrix	genus	596	102550	660	714	390	15069	278	88863	2497	3286
252130	Uruburuella suis	species	3088	6560	100475	100450	502919	12885	26337	154756	109341	19203
2818505	Myxococcota	phylum	7182	372	1253	1104	379	9827	708	1349	463	800
34028	Comamonas sp.	species	119	361	391	455	1050	2437	890	990	383	3216
162156	uncultured Bacteroides sp.	species	975	537	1016	2528	1975	866	4580	4678	1627	727
544448	Mycoplasmatota	phylum	210	30	66	207	335	33	405	271	58	34
453816	Pseudobdellovibrio exovorus	species	312	194	179	156	242	303	82	123	59	54
3386177	Candidatus Skiveiella danica	species	21895	1372	538	32874	542	2330	453	1003	341	3609
206389	Rhodocyclales	order	12332	16301	13963	15050	13726	18374	4425	51644	12992	8535
2975441	Sphaerotilaceae	family	3496	15296	2997	2461	1421	20865	884	4745	730	2468
959	Bdellovibrio bacteriovorus	species	211	241	334	466	669	168	290	377	150	96
1506599	uncultured Agitococcus sp.	species	5192	196	189	5140	769	272	453	391	146	144
349	Zoogloea	genus	4786	10281	2781	1260	2287	18170	1916	10170	2210	2440
872965	Ardenticatena maritima	species	130	37	286	273	31	16	123	314	49	13
204455	Rhodobacterales	order	6400	25236	13144	24253	27513	50627	29249	32839	24622	33028
105	Runella	genus	768	87	88	211	69	2747	82	177	38	275
171552	Prevotellaceae	family	9075	48053	168529	104702	915614	79906	662039	699437	230296	21393
2682993	Ruegeria sp. HKCCA4812	species	9	0	1	40	1	1	7	7	1	1
815	Bacteroidaceae	family	6723	15187	14210	54159	36873	115220	40909	76596	14105	60903
2982024	Candidatus Brachybacter algidus	species	9406	570	345	13589	1223	83467	1292	1979	915	1969
292628	Anaerolineaceae	family	7275	2241	33531	25287	1272	1335	31483	15611	3678	751
2903107	Paracholeplasma	genus	2490	1693	1887	100	145	3	114	693	20	3492
1971895	Thermomonas sp.	species	4315	5330	9188	7665	6603	4291	2929	15390	3093	8871
286	Pseudomonas	genus	8070	9965	10463	52920	67771	54974	91015	37566	4918120	3182888
1805029	Candidatus Infernicultor aquiphilus	species	120	64	346	273	35	14	81	825	44	9
3140683	Candidatus Villigracilis proximus	species	4968	42	250	498	32	300	151	186	26	38
203491	Fusobacteriales	order	2483	3712	2183	23950	41232	8484	5287	18552	5703	20136
2025608	Sulfuricurvum sp.	species	698	299	535	884	443	619	964	3011	442	178
375288	Parabacteroides	genus	1364	4374	3456	15861	10741	20835	10203	28783	10914	15271
222	Achromobacter	genus	151	597	1030	902	1561	612	1182	2073	4719	994
2203	Methanospirillum hungatei	species	693	104	2175	2560	196	18	840	1615	2419	20
2214	Methanosarcina acetivorans	species	8	2	7	17	2	1	32	25	9	0
12916	Acidovorax	genus	12956	315165	38758	121121	289518	671696	71436	171637	32326	594834
203492	Fusobacteriaceae	family	2485	644	557	3956	5307	534	1787	5004	2130	927
216851	Faecalibacterium	genus	3076	58030	27546	148554	104121	83315	69039	68423	15530	15841
2584086	Methanoculleus methanifontis	species	22	1	3	15	0	1	4	5	3	0
157	Treponema	genus	1517	709	2642	4322	31246	741	18165	42349	5178	592
186803	Lachnospiraceae	family	4268	75285	140251	111465	192962	38994	620186	169828	95243	21869
2607284	Ginsengibacter hankyongi	species	182	35	49	127	20	460	85	71	9	219
2773299	Desulfolutivibrio sulfoxidireducens	species	28	39	117	40	32	9	18	566	133	6
2910983	Humidesulfovibrio	genus	240	257	115	160	200	90	351	911	290	70
2648079	unclassified Blautia	no rank	40	1147	1342	953	1638	274	13236	1485	787	161
216572	Oscillospiraceae	family	4382	37108	32286	82255	118803	48562	177692	114521	29076	20425
136	Spirochaetales	order	4920	553	2890	2965	1636	374	2654	7207	1664	368
135614	Lysobacterales	order	4094	15530	31510	18762	18872	22902	19604	52739	15828	25153
307628	Petrimonas	genus	1664	1289	15933	7220	3468	869	4465	30628	6447	1387
748811	Sulfuritalea hydrogenivorans	species	2005	72	30	465	54	121	22	162	25	46
2847777	Atribacter	genus	467	25	2849	1049	9	15	65	322	31	19
2008794	Zoogloeaceae	family	1570	2536	5722	5144	6674	4484	2726	14863	4522	2009
831	Butyrivibrio fibrisolvens	species	17	49	175	378	142	19	665	446	204	34
399320	Sphaerochaeta	genus	7973	393	887	610	456	40	754	1549	178	743
2528593	Zhaonella formicivorans	species	43	16	56	42	12	3	54	141	21	5
201174	Actinomycetota	phylum	10551	8296	20069	31882	8225	4542	81222	34485	17015	5758
795748	Ignavibacteriales	order	1969	175	396	1111	60	270	91	665	92	108
1783275	Thermoproteati	kingdom	34	12	53	59	13	6	33	55	14	6
224756	Methanomicrobia	class	1284	421	18679	3319	463	187	7030	5698	6911	115
501783	Cloacibacterium	genus	6258	237644	23012	43317	123580	36886	10726	329250	21711	174976
1783270	FCB group	clade	7311	1593	3825	7728	5691	4459	5809	13900	2326	6517
3160968	Paenibacillus mesotrionivorans	species	13	2	15	10	3	2	29	34	8	0
213422	Geobacteraceae	family	1415	730	3432	698	256	229	736	4582	718	858
1872627	Archangium sp.	species	166	18	103	78	29	119	44	119	21	32
28050	Lachnospira	genus	427	19066	12491	8443	37283	7070	36046	28241	3151	2316
290180	Roseivirga	genus	85	13	30	74	11	42	34	99	12	24
1268272	Paraperlucidibaca	genus	4009	10	10	18	378	19	32	23	7	28
2979469	Maridesulfovibrio sp. FT414	species	5	4	21	10	5	1	7	52	9	2
2952921	Faecousia sp.	species	80	282	351	977	1442	498	2292	1459	450	155
2760873	Tenuifilum	genus	2742	327	1587	1444	420	132	206	4178	1199	221
2621164	unclassified Sorangium	no rank	554	41	179	123	46	362	73	359	70	44
1137985	Lutibacter holmesii	species	6	2	4	9	5	22	13	10	2	18
84567	Pedobacter	genus	1867	1400	545	1851	1478	19601	1565	1406	292	22350
577310	Parasutterella	genus	105	2036	575	6916	2135	1909	1005	2223	491	1802
909930	Acidaminococcaceae	family	468	3776	12659	18845	6433	1260	5600	22712	16588	2231
1649453	Gimesia	genus	241	50	474	250	48	30	163	480	112	45
1883	Streptomyces	genus	807	462	1458	2246	984	503	3245	2852	878	754
28198	Aliarcobacter cryaerophilus	species	11128	2483	3838	12422	38994	10539	44069	24602	10386	2003
1129771	Leptotrichiaceae	family	3901	13800	6415	85064	151719	31169	15344	60820	18343	75871
1307759	Desulfohalovibrio reitneri	species	19	9	54	22	11	2	10	62	87	3
3391832	Horticoccus sp. 23ND18S-11	species	1658	25	330	247	163	386	109	375	68	51
2785325	Pseudomonas sp. N040	species	83	54	22	89	14	112	15	129	19	425
3140679	Candidatus Villigracilis vicinus	species	7775	161	345	848	56	159	270	266	71	47
1054498	Rivihabitans pingtungensis	species	262	3930	2083	604	1045	1500	630	7081	787	570
893	Desulfobulbus	genus	936	3689	54377	22193	13176	2254	66773	94372	70743	3013
2806306	Aggregatilinea	genus	506	46	774	468	21	141	133	276	31	18
468	Moraxellaceae	family	11230	30760	46592	47213	124153	117574	27031	49685	571936	1301227
2715279	Perlabentimonas gracilis	species	19765	151	340	572	153	105	298	1284	282	236
2024612	Mycolicibacterium sp. P9-64	species	2	0	3	1	0	2	5	2	7	1
416	Methylomonas	genus	175	137	340	123	93	404	176	429	126	86
885	Desulfovibrio sp.	species	277	4362	2600	3605	3759	582	760	35152	13578	869
2998507	Draconibacterium aestuarii	species	120	16	59	97	16	36	110	310	55	50
1962975	Rhodoblastus sp.	species	24	106	125	42	19	66	48	83	69	46
374	Bradyrhizobium	genus	916	738	1409	2902	549	3697	1662	1357	649	967
2948575	Anatilimnocola floriformis	species	250	28	236	198	35	28	169	212	96	29
1406512	Candidatus Methanomassiliicoccus intestinalis	species	59	12	111	92	122	10	104	95	59	7
644	Aeromonas hydrophila	species	120	97	123	256	852	280	441	680	249	190
649777	Synergistaceae	family	4711	8523	143729	106430	20302	1943	26173	130601	52272	4184
1332188	Candidatus Saccharimonas aalborgensis	species	464	1385	1684	12447	1068	575	14363	8824	951	749
760260	Oligosphaera ethanolica	species	4776	172	3238	2086	731	107	1069	4526	731	207
2027920	Zavarzinia sp.	species	124	19	129	110	26	13	52	218	32	9
46913	Devosia	genus	1055	360	1149	2356	728	1037	4484	1036	767	957
1413210	Orenia metallireducens	species	38	16	45	34	45	10	68	141	17	9
1931276	Haliangium sp. UPWRP_2	species	834	56	72	34	20	91	16	53	22	94
263370	Peredibacter	genus	1268	813	1362	803	4411	1507	2002	1307	529	1375
1649475	Paludibaculum	genus	788	123	364	149	54	483	131	588	82	197
2772301	Rubrivivax sp. A210	species	333	20	93	106	25	767	18	71	26	60
1903157	Piscinibacter sp.	species	1084	339	655	544	130	1610	95	307	101	383
85015	Nocardioidaceae	family	328	1488	1891	3425	1317	783	5310	3369	917	1167
3415683	Anatilimnocola sp. NA78	species	62	16	131	108	16	12	72	136	61	18
2954382	Candidatus Accumulibacter vicinus	species	924	81	94	2850	323	74	290	627	460	33
32068	Sebaldella	genus	1528	2635	15297	40531	162005	5750	20151	29703	34108	11737
188708	Thermotogae	class	1092	51	159	546	105	44	114	756	109	23
3373601	Haloferula sp. A504	species	195	65	1380	341	77	51	158	855	111	63
28197	Aliarcobacter butzleri	species	5975	1135	1468	6967	10167	12409	14628	9575	4278	1364
153026	Desulforegula conservatrix	species	559	150	272	176	168	56	162	1461	149	76
2202	Methanospirillum	genus	2150	1134	13803	8231	1340	204	8776	8085	11757	234
55	Polyangium	genus	1129	80	527	140	46	727	278	249	173	84
74426	Collinsella aerofaciens	species	46	1351	2163	893	1328	247	10130	2454	2615	297
2719231	Lacrimispora	genus	39	104	255	837	296	71	1251	1286	570	62
47920	Acidovorax delafieldii	species	115	1672	284	576	826	2527	302	688	211	1901
2650926	Aestuariivirga sp.	species	640	578	322	578	99	697	479	439	101	205
45989	Methanoculleus	genus	15521	60	617	1237	170	108	1212	393	710	86
472	Acinetobacter sp.	species	3004	1564	1318	2729	5185	4853	3357	5167	34170	20719
1400857	Candidatus Competibacteraceae	family	4233	5360	8383	6132	490	603	774	12134	5535	3126
83765	Formivibrio citricus	species	645	223	92	207	124	281	106	818	182	96
2893886	Flavobacterium galactosidilyticum	species	536	390	472	255	168	70610	248	143	90	48539
2126556	Flavobacterium artemisiae	species	2	2	0	2	7	32	4	3	0	78
3028117	Cyanophyceae	class	2589	1789	4806	3370	1499	1294	6769	14170	1670	757
328301	Syntrophorhabdus aromaticivorans	species	7829	296	15834	10832	227	133	857	6982	841	212
